#SysTm EventTmStmp Rot:x Rot:y Rot:z
43729521871272 1379267723301823306 0.2387124 -0.10588658 -0.6274732 
43729538596436 1379267723556187320 0.23669773 -0.10822646 -0.6274873 
43729604093154 1379267723619267154 0.23621139 -0.10839091 -0.62756467 
43729649354866 1379267723683262515 0.23571101 -0.10859807 -0.627593 
43729712532036 1379267723746433902 0.23553334 -0.108767755 -0.6274015 
43729776777419 1379267723810398746 0.23528403 -0.10826648 -0.6278478 
43729840778639 1379267723873570132 0.23482385 -0.10819067 -0.6281359 
43729905848072 1379267723937504459 0.2349514 -0.108343616 -0.62794656 
43730057625881 1379267724000797916 0.23515435 -0.108306885 -0.62788755 
43730090923608 1379267724127781558 0.2341808 -0.10883492 -0.6281298 
43730155718357 1379267724191776920 0.23397431 -0.10876183 -0.62822187 
43730221031953 1379267724254978824 0.23398875 -0.10870371 -0.6282244 
43730292174940 1379267724318913150 0.23369066 -0.10877934 -0.6281781 
43730348576587 1379267724382414151 0.23372126 -0.10890539 -0.6279168 
43730411692717 1379267724446378995 0.23346935 -0.1090401 -0.6277217 
43730474747805 1379267724509550382 0.23338552 -0.108792886 -0.6277685 
43730540244524 1379267724573545743 0.23322877 -0.10861891 -0.62769794 
43730609586808 1379267724636656095 0.23326781 -0.10851374 -0.6275507 
43730663790989 1379267724700620938 0.23363352 -0.108441584 -0.6272747 
43730727456485 1379267724763792325 0.23383865 -0.10838155 -0.6270813 
43730791060940 1379267724827757169 0.2333495 -0.10842172 -0.6272813 
43730855611527 1379267724890898038 0.23317108 -0.10817943 -0.6275099 
43730918147769 1379267724954893399 0.23295456 -0.108014256 -0.6278122 
43730982148989 1379267725018064786 0.23311386 -0.10796489 -0.627876 
43731049049644 1379267725082060147 0.23318143 -0.107706785 -0.6281608 
43731116102901 1379267725145201017 0.2331966 -0.107391 -0.6284927 
43731222405357 1379267725207684302 0.23314112 -0.1071075 -0.62889385 
43731237970747 1379267725272473120 0.23286329 -0.1071015 -0.6291345 
43731302216130 1379267725336437964 0.23272774 -0.107311 -0.62908924 
43731362524385 1379267725399609350 0.23261432 -0.10728254 -0.6291682 
43731427441216 1379267725463574194 0.23268265 -0.10709731 -0.62924373 
43731490587866 1379267725526745581 0.23280999 -0.10690438 -0.6292345 
43731557122276 1379267725590812007 0.2323377 -0.106991015 -0.62936354 
43731618987070 1379267725654013911 0.23236379 -0.10701843 -0.6293459 
43731683324014 1379267725717978755 0.23237267 -0.10716884 -0.62919414 
43731821978064 1379267725781241694 0.23234391 -0.10712157 -0.62921804 
43731871604189 1379267725908243729 0.2321176 -0.107438564 -0.62911344 
43731935422287 1379267725972239090 0.23220883 -0.10767123 -0.62886274 
43731998294253 1379267726035471512 0.23237477 -0.10793811 -0.6284736 
43732063333166 1379267726099375321 0.23234305 -0.10807982 -0.6282317 
43732127303865 1379267726162546707 0.23242514 -0.10801305 -0.62803763 
43732192800583 1379267726226520826 0.23271357 -0.10805291 -0.62759835 
43732265255946 1379267726289722730 0.2324037 -0.10808032 -0.62753344 
43732335544363 1379267726353992750 0.23252282 -0.10834216 -0.62719285 
43732413768076 1379267726415912916 0.23251848 -0.108459026 -0.6270144 
43732443739082 1379267726480793287 0.23232841 -0.10843991 -0.6269995 
43732507374057 1379267726543964674 0.23225144 -0.108513735 -0.6269037 
43732579096931 1379267726607929517 0.23241721 -0.10855354 -0.6266459 
43732648469737 1379267726671131422 0.23219593 -0.1089179 -0.62647843 
43732698706269 1379267726735065748 0.23201829 -0.109146915 -0.6263924 
43732773908465 1379267726798237135 0.23228705 -0.10914032 -0.6262619 
43732849751590 1379267726862537672 0.23217332 -0.10938749 -0.6261295 
43732913233963 1379267726925617506 0.23195547 -0.10946717 -0.62617826 
43732999392973 1379267726989368726 0.23193546 -0.10961516 -0.6260746 
43733015843454 1379267727052615734 0.23173754 -0.10975612 -0.62606615 
43733079478430 1379267727116611095 0.23156129 -0.10962131 -0.6262588 
43733143235488 1379267727179721446 0.2317549 -0.10936995 -0.62635416 
43733207816595 1379267727243716808 0.2314459 -0.10966538 -0.62628317 
43733276212752 1379267727306888195 0.23102015 -0.1101904 -0.62609416 
43733335361233 1379267727370853038 0.23135328 -0.11036309 -0.6263626 
43733398019556 1379267727434024425 0.23165527 -0.110373095 -0.6265623 
43733476334832 1379267727498030112 0.23159665 -0.11016706 -0.6266209 
43733552910448 1379267727561415122 0.23179975 -0.1099472 -0.6266907 
43733663668878 1379267727625135825 0.23207922 -0.10994844 -0.6265548 
43733715431429 1379267727752241538 0.23164803 -0.10973313 -0.6270647 
43733778394957 1379267727815443442 0.23127222 -0.10986709 -0.62731403 
43733844685206 1379267727879377769 0.231125 -0.10984393 -0.62758595 
43733907374051 1379267727942579673 0.23099525 -0.10992792 -0.62773126 
43733970612262 1379267728006544517 0.23080987 -0.109884195 -0.6279983 
43734049141180 1379267728069960044 0.2308955 -0.109744325 -0.6281659 
43734114332695 1379267728134046958 0.2305915 -0.10963973 -0.6285052 
43734193960348 1379267728197126792 0.23035206 -0.10956585 -0.628685 
43734251582810 1379267728261000083 0.23019156 -0.10987689 -0.6285006 
43734289519632 1379267728324033429 0.22778729 -0.11119293 -0.62839246 
43734355748841 1379267728387998273 0.22375695 -0.11318622 -0.62768376 
43734417430513 1379267728451169660 0.21746641 -0.11610884 -0.6256587 
43734483598680 1379267728515134503 0.20586379 -0.12140136 -0.6216013 
43734544059539 1379267728578275373 0.18781528 -0.12671912 -0.61355686 
43734607114628 1379267728642270734 0.14627148 -0.11943968 -0.5963007 
43734681828500 1379267728705686261 0.08509092 -0.094018586 -0.5688052 
43734745982322 1379267728769773175 0.053716216 -0.07808389 -0.5380149 
43734812852457 1379267728832822492 0.058113836 -0.07867122 -0.5297717 
43734909052671 1379267728896695783 0.0805996 -0.08153388 -0.5462568 
