#SysTm EventTmStmp Gyro:x Gyro:y Gyro:z
21944868999507 1374856253545049932 0.06813 -0.02203 0.05664 
21944883344082 1374856253550085332 0.03288 -0.03806 0.06198 
21944892774877 1374856253555181768 0.00618 -0.05835 0.06732 
21944933000728 1374856253560156133 -0.00557 -0.08932 0.07266 
21944952381164 1374856253565252569 -0.00771 -0.12885 0.07587 
21944969655695 1374856253570226934 -0.0013 -0.15875 0.07373 
21944989310815 1374856253590399053 0.01259 -0.13739 0.04062 
21945007287314 1374856253610510137 0.02113 -0.07544 0.03421 
21945016290824 1374856253615606573 0.02113 -0.07224 0.03635 
21945025172252 1374856253620580938 0.0222 -0.06903 0.03528 
21945033138069 1374856253625646856 0.02434 -0.07224 0.03635 
21945042935109 1374856253630651739 0.02113 -0.07544 0.02994 
21945052091220 1374856253635748174 0.01579 -0.07544 0.02032 
21945063872084 1374856253640753057 0.01259 -0.07758 0.01285 
21945071502178 1374856253645757940 0.00511 -0.07437 0.00323 
21945078704986 1374856253650823858 -0.0013 -0.06689 -0.00745 
21945085236346 1374856253655889776 -0.00877 -0.05408 -0.0192 
21945093110602 1374856253660864141 -0.01732 -0.03592 -0.03415 
21945099550401 1374856253665930059 -0.02693 -0.01349 -0.04376 
21945107394136 1374856253670934942 -0.03548 0.00253 -0.05231 
21945114017057 1374856253676031377 -0.04295 0.01001 -0.05444 
21945121738711 1374856253681005743 -0.04616 0.00467 -0.05231 
21945127690184 1374856253686041143 -0.04295 -0.00494 -0.04483 
21945134252064 1374856253691076543 -0.03975 -0.0199 -0.03629 
21945139745730 1374856253696172979 -0.03654 -0.03058 -0.02774 
21945146460212 1374856253699926641 -0.03548 -0.03485 -0.02133 
21945153693540 1374856253706182745 -0.03548 -0.03165 -0.01706 
21945159980737 1374856253711218145 -0.03868 -0.02631 -0.01599 
21945167916034 1374856253716314581 -0.04509 -0.02203 -0.01599 
21945176217575 1374856253721319463 -0.04723 -0.01562 -0.01813 
21945184488596 1374856253726324346 -0.04829 -0.00815 -0.02133 
21945190043303 1374856253731359747 -0.04509 -0.00067 -0.02347 
21945195414889 1374856253736456182 -0.04082 0.01108 -0.0256 
21945201549485 1374856253741430547 -0.0312 0.02603 -0.02667 
21945208447089 1374856253746465948 -0.02586 0.04419 -0.02667 
21945214184920 1374856253751501348 -0.01625 0.06235 -0.02454 
21945219464944 1374856253756597784 -0.01305 0.06982 -0.02454 
21945225507978 1374856253761572149 -0.01091 0.06128 -0.02347 
21945232252980 1374856253766638067 -0.00877 0.04846 -0.02774 
21945245407260 1374856253771642950 -0.0013 0.03992 -0.03415 
21945255723146 1374856253776739385 -0.00023 0.04205 -0.04163 
21945268144937 1374856253781713750 -0.0045 0.05273 -0.05017 
21945278430303 1374856253786749151 -0.00877 0.06448 -0.05765 
21945286457160 1374856253791784551 -0.01518 0.07303 -0.06299 
21945295582752 1374856253796880987 -0.01518 0.07196 -0.06406 
21945307333095 1374856253800634649 -0.01732 0.05914 -0.06192 
21945315268392 1374856253806921270 -0.01625 0.03992 -0.05551 
21945321006222 1374856253811926153 -0.01625 0.02176 -0.05017 
21945327690183 1374856253817053106 -0.02159 0.00146 -0.04376 
21945335411837 1374856253821966436 -0.03227 -0.01562 -0.03949 
21945340783423 1374856253827032354 -0.04723 -0.03271 -0.03308 
21945346521252 1374856253832067754 -0.0515 -0.04767 -0.02347 
21945352014919 1374856253837164190 -0.04082 -0.06262 -0.01385 
21945358424198 1374856253842138555 -0.02693 -0.07437 -0.00104 
21945364711395 1374856253847173956 -0.01411 -0.07864 0.00537 
21945370388185 1374856253852209356 -0.00237 -0.0701 0.01071 
21945376095495 1374856253857305791 0.00511 -0.05194 0.00644 
21945383023619 1374856253862310674 0.00832 -0.03058 0.00751 
21945388456245 1374856253867376592 0.01259 -0.01242 0.00537 
21945394194075 1374856253872350957 0.01686 0.00146 0.00751 
21945399382539 1374856253877447393 0.01793 0.00681 0.00858 
21945406371704 1374856253882421758 0.01366 0.00894 0.01071 
21945411865371 1374856253887457159 0.00404 0.01321 0.00858 
21945418030486 1374856253892492559 -0.00664 0.02603 0.00751 
21945423646234 1374856253897588995 -0.01091 0.03351 0.01392 
21945429933431 1374856253901342657 -0.00984 0.02924 0.02567 
21945436220628 1374856253907629278 -0.00023 0.01962 0.03955 
21945446231310 1374856253912634161 0.01045 0.00467 0.04703 
21945461583057 1374856253917730596 0.01793 -0.00601 0.04382 
21945483496684 1374856253922704961 0.01686 -0.00388 0.03421 
21945495063905 1374856253927740362 0.00832 0.01321 0.02567 
21945500282888 1374856253932775762 -0.00023 0.02924 0.01605 
21945511758548 1374856253937872198 -0.00984 0.03885 0.00964 
21945541302269 1374856253942846563 -0.01411 0.03244 0.00217 
21945547314783 1374856253947881963 -0.00877 0.01855 0.0011 
21945552228562 1374856253952917364 0.00298 0.00146 0.00217 
21945557417026 1374856253958013799 0.019 -0.00922 0.00964 
21945563093815 1374856253962988164 0.02861 -0.01669 0.01712 
21945567885513 1374856253968054082 0.02861 -0.01135 0.02246 
21945575210402 1374856253973547247 0.02754 0.00467 0.02032 
21945580032621 1374856253978185918 0.02434 0.02283 0.02139 
21945586563981 1374856253983129766 0.02434 0.03244 0.02139 
21945591538801 1374856253988165166 0.02327 0.03885 0.02246 
21945597337672 1374856253993231084 0.02007 0.04099 0.0246 
21945602343014 1374856253998297002 0.01793 0.04205 0.02887 
21945608447089 1374856254002020147 0.01152 0.04099 0.03207 
21945613666072 1374856254008306768 0.00832 0.03778 0.03741 
21945618610372 1374856254013342168 0.00404 0.03458 0.04062 
21945624134560 1374856254018469122 0.00725 0.0303 0.04276 
21945629719788 1374856254023443487 0.01259 0.03137 0.04382 
21945635030332 1374856254028478887 0.0222 0.03992 0.03955 
21945639699949 1374856254033514288 0.02968 0.0506 0.03635 
21945644705290 1374856254038580206 0.03929 0.06769 0.03207 
21945650229478 1374856254043554571 0.04356 0.08051 0.0246 
21945655692624 1374856254048589971 0.0425 0.08905 0.01926 
21945660423282 1374856254053655889 0.03822 0.09012 0.01285 
21945665214980 1374856254058721807 0.02541 0.08051 0.00751 
21945670952810 1374856254063726690 0.00511 0.06769 0.00858 
21945675897111 1374856254068762090 -0.01518 0.04739 0.00858 
21945680658289 1374856254073858526 -0.03227 0.0271 0.00751 
21945685449987 1374856254078893926 -0.04295 0.00681 0.01071 
21945691981348 1374856254083837774 -0.04616 -0.01242 0.01285 
21945696834087 1374856254088873174 -0.04616 -0.03165 0.01498 
21945701564745 1374856254093908575 -0.04189 -0.04233 0.01605 
21945706264883 1374856254099005010 -0.03334 -0.03912 0.01926 
21945711850111 1374856254102728155 -0.02159 -0.02097 0.02032 
21945716702850 1374856254109014776 -0.01091 0.00574 0.02032 
21945721402987 1374856254114050176 -0.00771 0.03137 0.02246 
21945726774573 1374856254119177129 -0.0045 0.05273 0.02246 
21945732481882 1374856254124090459 -0.00557 0.06555 0.02353 
21945737243060 1374856254129156377 -0.00664 0.06876 0.02567 
21945741943197 1374856254134191778 -0.00877 0.06662 0.02887 
21945746795937 1374856254139288213 -0.00877 0.06342 0.03528 
21945752777929 1374856254144262579 -0.00877 0.05807 0.04169 
21945758668361 1374856254149297979 -0.01305 0.05594 0.0481 
21945763368499 1374856254154363897 -0.01945 0.05167 0.05557 
21945768007595 1374856254159429815 -0.02907 0.04205 0.06198 
21945773928547 1374856254164404180 -0.03654 0.03351 0.06091 
21945779330653 1374856254169470098 -0.04082 0.03351 0.05878 
21945784274953 1374856254174505498 -0.04723 0.04526 0.05664 
21945790287467 1374856254179571416 -0.05043 0.06128 0.05664 
21945797154550 1374856254184576299 -0.05363 0.0741 0.05664 
21945802190412 1374856254189611700 -0.05684 0.07623 0.05878 
21945807043151 1374856254194647100 -0.05898 0.06876 0.06091 
21945812597859 1374856254199713018 -0.05791 0.0538 0.06091 
21945818762974 1374856254203436163 -0.05791 0.03885 0.06305 
21945824195601 1374856254209783819 -0.0547 0.02817 0.06839 
21945829109381 1374856254214758184 -0.0515 0.02176 0.07053 
21945835213456 1374856254219854620 -0.05363 0.01855 0.07159 
21945840768164 1374856254224828985 -0.05257 0.01535 0.0748 
21945845895586 1374856254229894903 -0.04936 0.01215 0.07159 
21945850961968 1374856254234899786 -0.04402 0.02176 0.06839 
21945856425115 1374856254239996221 -0.03441 0.03244 0.06732 
21945861979822 1374856254244970586 -0.02907 0.04099 0.06946 
21945867717652 1374856254250005987 -0.03014 0.04526 0.07053 
21945876538040 1374856254255041387 -0.02907 0.04953 0.06946 
21945883222001 1374856254260137823 -0.02693 0.05273 0.06946 
21945898848432 1374856254265112188 -0.02373 0.0538 0.07159 
21945906478525 1374856254270178106 -0.02266 0.0506 0.07373 
21945915848279 1374856254275182989 -0.02373 0.04953 0.078 
21945923997218 1374856254280279424 -0.0312 0.05273 0.08228 
21945938982721 1374856254285253789 -0.0312 0.05273 0.08228 
21945946521253 1374856254290289190 -0.04509 0.04312 0.08655 
21945958424198 1374856254295355108 -0.05363 0.03458 0.08975 
21945963917865 1374856254300451543 -0.05684 0.01962 0.08655 
21945972646691 1374856254304174688 -0.05684 0.01962 0.08655 
21945979117010 1374856254310430791 -0.06111 -0.01135 0.07266 
21945985617850 1374856254315496709 -0.06538 -0.00922 0.05984 
21945993888872 1374856254320562627 -0.075 0.00253 0.04916 
21946000755956 1374856254325567510 -0.08675 0.01535 0.03955 
21946006341184 1374856254330572393 -0.0985 0.02283 0.03421 
21946013971277 1374856254335607793 -0.10918 0.02603 0.03207 
21946020044831 1374856254340704229 -0.11559 0.0271 0.03635 
21946026484629 1374856254345678594 -0.12306 0.02496 0.04276 
21946036312189 1374856254350713995 -0.13481 0.01962 0.05344 
21946042172100 1374856254355779913 -0.1487 0.01321 0.06305 
21946049435949 1374856254360845831 -0.15724 0.00894 0.07373 
21946056669277 1374856254365820196 -0.16365 0.0036 0.08334 
21946069091068 1374856254370886114 -0.17113 -0.00388 0.09402 
21946089142953 1374856254375982549 -0.1754 -0.01242 0.10043 
21946107912982 1374856254380987432 -0.17647 -0.01883 0.10364 
21946121097782 1374856254385961797 -0.1754 -0.02524 0.1015 
21946126713531 1374856254390997198 -0.17433 -0.02951 0.0983 
21946133031248 1374856254396032598 -0.17113 -0.03271 0.08975 
21946139135322 1374856254401129034 -0.17113 -0.04019 0.08228 
21946145727723 1374856254404852178 -0.17113 -0.04019 0.08228 
21946151526594 1374856254411138799 -0.18394 -0.05942 0.06732 
21946156623496 1374856254416204717 -0.19463 -0.06689 0.05984 
21946162117163 1374856254421270635 -0.20531 -0.07437 0.0545 
21946168434880 1374856254426275518 -0.21812 -0.07651 0.05237 
21946173959067 1374856254431310918 -0.22987 -0.07544 0.04916 
21946227735964 1374856254436346319 -0.23735 -0.06689 0.04489 
21946233565355 1374856254441412237 -0.23949 -0.05194 0.04062 
21946241500652 1374856254446386602 -0.23735 -0.03378 0.03635 
21946247391083 1374856254451422002 -0.22987 -0.01456 0.03421 
21946252854230 1374856254456487920 -0.21706 0.00146 0.03421 
21946258134254 1374856254461584356 -0.19783 0.01535 0.03528 
21946264116247 1374856254466558721 -0.17754 0.0239 0.03741 
21946269213149 1374856254471624639 -0.15831 0.03244 0.04169 
21946274310051 1374856254476599004 -0.14229 0.04099 0.04489 
21946279529035 1374856254481695440 -0.13588 0.04846 0.05023 
21946286304558 1374856254486669805 -0.13481 0.0538 0.0545 
21946291248858 1374856254491705206 -0.13588 0.05807 0.05878 
21946299001032 1374856254496740606 -0.13268 0.06876 0.06305 
21946312155314 1374856254501837041 -0.13054 0.08264 0.06625 
21946318717194 1374856254505560186 -0.13054 0.08264 0.06625 
21946324638147 1374856254511907842 -0.13161 0.12003 0.08121 
21946330314936 1374856254516882207 -0.13268 0.12643 0.09189 
21946338006070 1374856254521978643 -0.13802 0.11896 0.10577 
21946369136849 1374856254526953008 -0.14763 0.104 0.12073 
21946377102666 1374856254531988409 -0.15938 0.08478 0.13782 
21946383084659 1374856254537023809 -0.17006 0.06342 0.1517 
21946388608846 1374856254542120245 -0.17647 0.03992 0.172 
21946396544143 1374856254547125127 -0.18074 0.01962 0.19656 
21946403716430 1374856254552130010 -0.18394 -0.00494 0.21686 
21946415436253 1374856254557195928 -0.18394 -0.02951 0.24036 
21946429017819 1374856254562261846 -0.18394 -0.05301 0.26172 
21946445041015 1374856254567236211 -0.18608 -0.07437 0.28308 
21946454624413 1374856254572332647 -0.18715 -0.09146 0.2991 
21946460484324 1374856254577825811 -0.18929 -0.10107 0.30978 
21946465520186 1374856254582433965 -0.19356 -0.09894 0.31619 
21946472967156 1374856254587408331 -0.19569 -0.09253 0.3194 
21946477880936 1374856254592413213 -0.19997 -0.08612 0.3226 
21946482977838 1374856254597479131 -0.19997 -0.08505 0.32581 
21946488959831 1374856254602545049 -0.20103 -0.08826 0.32581 
21946495094426 1374856254606622617 -0.20103 -0.09467 0.32687 
21946499916645 1374856254612970273 -0.19783 -0.10001 0.32581 
21946505990199 1374856254617944638 -0.19569 -0.10107 0.33115 
21946512094273 1374856254623071591 -0.18715 -0.0968 0.33221 
21946517710022 1374856254628045957 -0.18074 -0.08719 0.33542 
21946523875137 1374856254633081357 -0.17113 -0.06903 0.33755 
21946528849957 1374856254638086240 -0.16365 -0.05408 0.33755 
21946535839123 1374856254643182675 -0.15617 -0.03806 0.33435 
21946546551773 1374856254648157041 -0.14336 -0.0231 0.33115 
21946555250079 1374856254653192441 -0.13374 -0.01456 0.32687 
21946563337978 1374856254658258359 -0.12413 -0.01562 0.32153 
21946569869337 1374856254663324277 -0.12093 -0.0231 0.30872 
21946579483255 1374856254668298642 -0.12627 -0.04126 0.29483 
21946589982262 1374856254673364560 -0.13908 -0.06369 0.28094 
21946598070161 1374856254678460996 -0.15938 -0.0936 0.2692 
21946604632042 1374856254683496396 -0.18074 -0.13098 0.26492 
21946613055665 1374856254688440244 -0.19783 -0.16302 0.26279 
21946618701933 1374856254693475644 -0.20317 -0.18546 0.26492 
21946624836528 1374856254698511045 -0.1989 -0.19293 0.27454 
21946630665919 1374856254703607480 -0.1786 -0.18225 0.28629 
21946638967460 1374856254707330625 -0.14442 -0.15341 0.30444 
21946645315698 1374856254713617246 -0.10277 -0.11176 0.3226 
21946650931446 1374856254718683164 -0.05684 -0.05835 0.33969 
21946658073213 1374856254723749082 -0.01945 0.0036 0.35037 
21946665886429 1374856254728753964 0.01045 0.06662 0.35999 
21946672021023 1374856254733789365 0.03075 0.1243 0.36746 
21946678308220 1374856254738794248 0.04036 0.17023 0.37067 
21946685541549 1374856254743890683 0.04143 0.19586 0.37173 
21946693965172 1374856254748865048 0.03502 0.20654 0.36853 
21946701167980 1374856254753900449 0.02861 0.198 0.36746 
21946716855451 1374856254758966367 0.01472 0.17236 0.36105 
21946748352475 1374856254764032285 0.00084 0.13391 0.35358 
21946770479745 1374856254769006650 -0.01091 0.08691 0.3429 
21946779696898 1374856254774072568 -0.02266 0.03458 0.33221 
21946786716583 1374856254779107968 -0.03227 -0.02097 0.32047 
21946794835002 1374856254784173886 -0.03654 -0.07224 0.30978 
21946802709258 1374856254789178769 -0.03654 -0.11176 0.2959 
21946813025144 1374856254794183652 -0.04082 -0.13846 0.28522 
21946822059174 1374856254799249570 -0.04616 -0.15448 0.27454 
21946827797004 1374856254804315488 -0.05363 -0.16302 0.26279 
21946840951284 1374856254808038632 -0.06218 -0.16623 0.25638 
21946846780675 1374856254814386289 -0.075 -0.15982 0.24356 
21946852549026 1374856254819360654 -0.09422 -0.14166 0.23074 
21946861155772 1374856254824457089 -0.11665 -0.11176 0.21579 
21946868144937 1374856254829431455 -0.13908 -0.07117 0.20724 
21946881024534 1374856254834466855 -0.16045 -0.02951 0.2019 
21946895277548 1374856254839532773 -0.17326 0.01001 0.20297 
21946904708343 1374856254844598691 -0.1786 0.04205 0.20724 
21946910598775 1374856254849573056 -0.17647 0.06982 0.21152 
21946916977533 1374856254854608457 -0.17326 0.09546 0.21579 
21946922318598 1374856254859674375 -0.16472 0.11469 0.22006 
21946927537581 1374856254864740293 -0.16045 0.1275 0.22327 
21946936876815 1374856254869714658 -0.15724 0.13818 0.22433 
21946943713378 1374856254874780576 -0.15617 0.14352 0.22433 
21946950763584 1374856254879785459 -0.16045 0.14673 0.21899 
21946957661188 1374856254884881894 -0.17006 0.14566 0.21152 
21946968221237 1374856254889856259 -0.18501 0.14246 0.19977 
21946974020108 1374856254894891660 -0.20103 0.13712 0.18909 
21946980429387 1374856254899927060 -0.21812 0.13284 0.17947 
21946986289298 1374856254905023496 -0.23201 0.12857 0.17307 
21946993339504 1374856254908777158 -0.2459 0.12323 0.17413 
21946998894212 1374856254915063779 -0.26192 0.12003 0.17947 
21947005364531 1374856254920099179 -0.26939 0.11469 0.18695 
21947012567339 1374856254925165097 -0.27473 0.11362 0.2019 
21947018976617 1374856254930139462 -0.2758 0.11148 0.22006 
21947025507976 1374856254935205380 -0.2726 0.11575 0.24142 
21947031917254 1374856254940210263 -0.27153 0.11682 0.2724 
21947037533003 1374856254945306699 -0.26619 0.11682 0.30551 
21947044583209 1374856254950281064 -0.25444 0.11362 0.33969 
21947049924274 1374856254955316464 -0.23949 0.11469 0.3728 
21947061064210 1374856254960382382 -0.22133 0.12109 0.40485 
21947066649438 1374856254965448300 -0.19997 0.13712 0.43475 
21947074249011 1374856254970422666 -0.1786 0.15955 0.46786 
21947079773199 1374856254975488584 -0.15831 0.17984 0.4967 
21947088410464 1374856254980585019 -0.13802 0.20013 0.52554 
21947096437322 1374856254985589902 -0.12947 0.21295 0.54904 
21947104891465 1374856254990564267 -0.12947 0.2215 0.56827 
21947110934498 1374856254995599668 -0.14122 0.22256 0.58109 
21947122165995 1374856255000665586 -0.15404 0.2247 0.5907 
21947130589618 1374856255005731504 -0.16685 0.22577 0.60031 
21947142645165 1374856255009454648 -0.17754 0.23004 0.60779 
21947153388336 1374856255015741269 -0.18608 0.22577 0.61526 
21947159919695 1374856255020807187 -0.18929 0.21188 0.62061 
21947170510266 1374856255025873105 -0.19249 0.19266 0.62488 
21947180795632 1374856255030877988 -0.18715 0.1745 0.62701 
21947189097173 1374856255035913388 -0.16472 0.16382 0.63129 
21947198436407 1374856255040948789 -0.12947 0.16275 0.63556 
21947213666072 1374856255046014707 -0.08675 0.16809 0.64517 
21947224287162 1374856255051050107 -0.04402 0.17984 0.64838 
21947234053681 1374856255056054990 -0.00771 0.20227 0.65158 
