#SysTm EventTmStmp Grav:x Grav:y Grav:z
28372772570486 28371802095000 0.060540978 9.361683 2.9198658 
28372791499528 28371812468000 0.085854284 9.364746 2.9093893 
28372804347194 28371822437000 0.11050065 9.368245 2.8972692 
28372821623445 28371832476000 0.13272856 9.372123 2.8837655 
28372830569028 28371842541000 0.15229104 9.376208 2.869481 
28372838938195 28371853358000 0.16900428 9.379836 2.8566585 
28372847360778 28371862776000 0.18321313 9.382865 2.8458157 
28372910051195 28371873153000 0.19625352 9.384887 2.8382719 
28372916936528 28371884479000 0.21418081 9.385651 2.834447 
28372922415111 28371893793000 0.21763329 9.3848295 2.8368976 
28372929480569 28371903377000 0.21766777 9.383809 2.8402696 
28372935256528 28371913187000 0.21482524 9.382824 2.8437424 
28372941029737 28371923267000 0.20892479 9.382177 2.8463118 
28372946931195 28371933325000 0.20280805 9.382215 2.8466318 
28372954253736 28371943414000 0.19752952 9.382819 2.8450089 
28372962402778 28371953555000 0.19466947 9.383945 2.8414872 
28372969891069 28371963575000 0.19503859 9.38637 2.8334465 
28372977724320 28371974003000 0.19915245 9.389558 2.822579 
28372987585820 28371986518000 0.22329146 9.395908 2.7995424 
28372993599653 28371995594000 0.2396192 9.397929 2.7913952 
28373000331570 28372005434000 0.25832593 9.399224 2.7853649 
28373007733695 28372015558000 0.2760507 9.399772 2.7818139 
28373014884278 28372026086000 0.29032618 9.399838 2.780135 
28373025191112 28372036201000 0.29766893 9.399908 2.7791207 
28373032803403 28372046112000 0.298456 9.400456 2.7771852 
28373039398236 28372055770000 0.29441842 9.401625 2.7736561 
28373045433987 28372066019000 0.28842095 9.402789 2.770338 
28373051457695 28372076117000 0.28269583 9.40399 2.7668512 
28373058813361 28372087191000 0.2826698 9.405594 2.7613955 
28373065429487 28372096427000 0.28560618 9.406042 2.7595668 
28373074503569 28372107913000 0.2953528 9.406818 2.7558928 
28373081743237 28372117153000 0.30070087 9.407266 2.753787 
28373089144778 28372127327000 0.30554247 9.407746 2.7516096 
28373096181695 28372137402000 0.3103294 9.408171 2.7496238 
28373119088403 28372147578000 0.31545419 9.40888 2.7466083 
