#SysTm EventTmStmp Mag:x Mag:y Mag:z
43743810838112 1379267737615600872 -27.778625 -7.319641 -20.759583 
43743836688868 1379267737869507122 -28.199768 -6.8389893 -20.759583 
43743899957599 1379267737933471966 -28.259277 -6.6589355 -20.759583 
43743955077391 1379267737996643352 -28.379822 -6.478882 -20.878601 
43744019109132 1379267738060638714 -28.49884 -6.298828 -21.058655 
43744082988272 1379267738123779583 -28.379822 -5.999756 -20.939636 
43744146195963 1379267738187759087 -28.439331 -5.819702 -20.759583 
43744210746550 1379267738250960991 -28.49884 -5.819702 -20.579529 
43744276151709 1379267738314925835 -28.619385 -5.5786133 -20.458984 
43744379341089 1379267738378066704 -28.858948 -5.218506 -20.219421 
43744400827430 1379267738442031548 -29.159546 -4.978943 -19.918823 
43744463699397 1379267738505202934 -29.399109 -4.73938 -19.67926 
43744527731139 1379267738569167778 -29.519653 -4.3792725 -19.439697 
43744590938829 1379267738632339165 -29.759216 -4.1397095 -19.378662 
43744655275773 1379267738696334526 -29.818726 -4.019165 -19.378662 
43744718269822 1379267738759536430 -29.99878 -3.8986206 -19.378662 
43744782454165 1379267738823501274 -29.99878 -3.779602 -19.319153 
43744848347649 1379267738886581108 -29.99878 -3.8391113 -19.499207 
43744909876720 1379267738950576469 -29.93927 -3.6590576 -19.73877 
43745065439058 1379267739013747856 -29.818726 -3.5995483 -19.67926 
43745112135227 1379267739140884087 -29.99878 -3.779602 -19.378662 
43745181385953 1379267739204909966 -29.99878 -3.6590576 -19.439697 
43745226556104 1379267739267989799 -29.93927 -3.479004 -19.499207 
43745290862528 1379267739331985161 -29.87976 -3.5385132 -19.619751 
43745353734495 1379267739395187065 -29.699707 -3.5385132 -19.799805 
43745418926011 1379267739459151909 -29.399109 -3.5995483 -20.039368 
43745481034968 1379267739522323296 -29.399109 -3.779602 -20.219421 
43745572107760 1379267739586288139 -28.858948 -3.8391113 -20.518494 
43745608152319 1379267739649429008 -28.73993 -3.779602 -20.878601 
43745672428223 1379267739713393852 -28.49884 -4.019165 -20.999146 
43745735727476 1379267739776565239 -28.379822 -4.258728 -21.11969 
43745799270890 1379267739840770405 -28.439331 -4.6188354 -20.999146 
43745863180550 1379267739903941791 -28.318787 -4.6798706 -20.939636 
43745932065031 1379267739967906635 -28.619385 -4.9194336 -20.579529 
43746023259904 1379267740031078022 -28.49884 -5.039978 -20.639038 
43746055611498 1379267740095042866 -28.619385 -5.279541 -20.819092 
43746139267839 1379267740158214252 -28.619385 -5.519104 -20.819092 
43746180653464 1379267740222209614 -28.678894 -5.5786133 -20.759583 
43746243769593 1379267740285381000 -28.73993 -5.6396484 -20.639038 
43746309815680 1379267740349345844 -28.73993 -5.4595947 -20.878601 
43746374854593 1379267740412547748 -28.979492 -5.6396484 -20.819092 
43746437482396 1379267740476482075 -28.858948 -5.758667 -20.939636 
43746509113710 1379267740539714496 -29.09851 -5.819702 -20.759583 
43746564813390 1379267740603679340 -29.278564 -5.758667 -20.518494 
43746625548931 1379267740666924087 -29.399109 -5.6396484 -20.399475 
43746764141943 1379267740731072036 -29.399109 -5.3390503 -20.27893 
43746816606463 1379267740857994643 -29.458618 -5.3390503 -20.159912 
43746879936234 1379267740921074477 -29.3396 -5.218506 -20.27893 
43746943418610 1379267740985039321 -29.3396 -4.798889 -20.27893 
43747008365962 1379267741048302260 -29.278564 -4.559326 -20.339966 
43747072611345 1379267741112267104 -29.219055 -4.499817 -20.399475 
43747145310871 1379267741175438491 -29.09851 -4.73938 -20.399475 
43747198813084 1379267741239342299 -29.3396 -5.039978 -20.458984 
43747283201915 1379267741302696792 -29.3396 -4.9194336 -20.639038 
43747334598221 1379267741366448012 -29.399109 -4.9194336 -20.698547 
43747388191996 1379267741429619399 -29.3396 -4.978943 -20.698547 
43747452528941 1379267741493614760 -29.159546 -5.3390503 -20.759583 
43747515431427 1379267741556755630 -29.039001 -5.5786133 -20.759583 
43747579280046 1379267741620750991 -28.919983 -5.3985596 -20.759583 
43747650667198 1379267741683922378 -28.799438 -5.1589966 -20.999146 
43747706885723 1379267741747887221 -28.379822 -4.978943 -21.11969 
43747771863596 1379267741811089126 -28.259277 -4.9194336 -21.1792 
43747838764252 1379267741875115005 -28.079224 -5.0994873 -21.299744 
43747982423644 1379267741938347426 -28.079224 -5.1589966 -21.539307 
43748024114473 1379267742065422622 -28.199768 -4.798889 -21.77887 
43748087871530 1379267742129326430 -28.259277 -4.978943 -21.77887 
43748152879925 1379267742192497817 -28.379822 -4.978943 -21.899414 
43748215049922 1379267742256429932 -28.49884 -4.978943 -21.899414 
43748278135532 1379267742319662354 -28.49884 -5.039978 -21.899414 
43748342228314 1379267742383627198 -28.858948 -5.0994873 -21.71936 
43748405710689 1379267742446798584 -29.09851 -5.1589966 -21.299744 
43748477830329 1379267742510763428 -29.219055 -5.1589966 -20.939636 
43748605985372 1379267742574117920 -29.458618 -5.0994873 -20.579529 
43748612638813 1379267742637869141 -29.519653 -5.218506 -20.219421 
43748659975911 1379267742701101563 -29.99878 -5.3390503 -19.799805 
43748723580368 1379267742765066407 -30.358887 -5.4595947 -19.558716 
43748786727017 1379267742828207276 -30.53894 -5.3985596 -19.1391 
43748852986746 1379267742892172120 -30.479431 -5.1589966 -18.838501 
43748914668418 1379267742955343506 -30.299377 -5.218506 -18.659973 
43748977876109 1379267743019338868 -30.299377 -5.279541 -18.598938 
43749043311788 1379267743082510254 -30.239868 -5.6991577 -18.539429 
43749107068845 1379267743144583008 -30.239868 -5.5786133 -18.539429 
43749168323233 1379267743209615967 -30.119324 -5.6396484 -18.719482 
43749236017418 1379267743273550293 -29.87976 -5.819702 -18.719482 
43749295410063 1379267743336752198 -29.818726 -5.8792114 -18.899536 
43749359411285 1379267743400717041 -29.579163 -6.1187744 -19.07959 
43749422771577 1379267743463888428 -29.519653 -5.8792114 -19.1391 
43749491778139 1379267743527914307 -29.458618 -5.999756 -18.959045 
43749556847573 1379267743591055176 -29.278564 -5.6991577 -19.198608 
43749614470035 1379267743655020020 -29.399109 -5.6991577 -19.198608 
43749681645376 1379267743718221924 -29.399109 -5.6396484 -18.959045 
43749765759521 1379267743782156250 -29.579163 -5.4595947 -18.778992 
43749803848946 1379267743845266602 -29.818726 -5.519104 -18.778992 
43749872977589 1379267743909261963 -29.93927 -5.4595947 -18.838501 
43749936398922 1379267743972463868 -30.119324 -5.519104 -18.959045 
43750011753723 1379267744036489746 -30.239868 -5.4595947 -19.259644 
43750059182381 1379267744099539063 -30.059814 -5.5786133 -19.259644 
43750122664755 1379267744163564942 -30.059814 -5.758667 -19.378662 
43750187459506 1379267744226675293 -29.93927 -5.5786133 -19.319153 
43750254482243 1379267744290731690 -29.818726 -5.6396484 -19.259644 
43750316163917 1379267744352865479 -29.519653 -5.6396484 -19.07959 
43750376594253 1379267744417806885 -29.519653 -5.819702 -18.899536 
43750439649342 1379267744480917237 -29.519653 -5.9387207 -18.778992 
43750503650563 1379267744544943116 -29.519653 -5.8792114 -18.598938 
43750569116761 1379267744608114502 -29.818726 -5.9387207 -18.23883 
43750632324454 1379267744672140381 -29.759216 -5.819702 -17.819214 
43750696356194 1379267744735311768 -29.699707 -6.059265 -17.69867 
43750761822393 1379267744799246094 -29.759216 -6.239319 -17.57965 
43750830218548 1379267744862447998 -29.818726 -6.059265 -17.459106 
43750920131564 1379267744926321289 -29.759216 -5.819702 -17.338562 
43750958190469 1379267744989523194 -29.93927 -5.819702 -17.158508 
43751012272568 1379267745053457520 -29.93927 -5.758667 -17.03949 
43751077006278 1379267745116689942 -29.87976 -5.6991577 -17.098999 
43751144547863 1379267745180624268 -30.239868 -5.758667 -17.158508 
43751203269059 1379267745243795655 -30.299377 -5.6991577 -17.219543 
43751266965075 1379267745307760498 -30.299377 -5.6396484 -17.219543 
43751329776002 1379267745370962403 -30.599976 -5.819702 -17.279053 
43751393746702 1379267745434896729 -30.659485 -5.6396484 -17.399597 
43751509296831 1379267745498364937 -30.778503 -5.519104 -17.518616 
43751520375727 1379267745561810982 -30.958557 -5.5786133 -17.399597 
43751583980182 1379267745625470650 -30.899048 -5.5786133 -17.399597 
43751648042446 1379267745689466011 -30.599976 -5.6396484 -17.459106 
43751712043666 1379267745753430855 -30.659485 -5.758667 -17.57965 
43751775129275 1379267745816571724 -30.659485 -5.519104 -17.69867 
43751838611650 1379267745879804146 -30.659485 -5.519104 -17.819214 
43751902734952 1379267745943738472 -30.718994 -5.5786133 -17.819214 
43751965667961 1379267746006940376 -30.479431 -5.5786133 -17.878723 
43752055458895 1379267746070905220 -30.299377 -5.5786133 -18.058777 
43752092571668 1379267746133985054 -30.358887 -5.6396484 -18.359375 
43752156603409 1379267746198010933 -30.299377 -5.519104 -18.418884 
