#SysTm EventTmStmp Rot:x Rot:y Rot:z
41696405272550 41695886760000 0.022934005 -0.14555891 -0.98328525 
41696418919508 41695953395000 0.015479425 -0.145274 -0.98344165 
41696428185216 41696020110000 0.0062151696 -0.14343745 -0.9842677 
41696436998675 41696086741000 0.0023571912 -0.14414656 -0.98423845 
41696446608883 41696153408000 -0.005140554 -0.14321701 -0.98482764 
41696454963966 41696220099000 -0.010185645 -0.14216211 -0.9853373 
41696465306050 41696286872000 -0.017861206 -0.14468046 -0.98533946 
41696476792508 41696353573000 -0.02215848 -0.14924103 -0.9848151 
41696517054258 41696420077000 -0.024953203 -0.14883311 -0.9849031 
41696528511675 41696486769000 -0.031219728 -0.15201262 -0.9844312 
41696609790466 41696553442000 -0.026941974 -0.15505148 -0.9841156 
41696624628883 41696620091000 -0.020640625 -0.15752281 -0.98360956 
41696691745925 41696686813000 -0.015489625 -0.15770511 -0.9833422 
41696762470092 41696753550000 -0.0039788084 -0.16015033 -0.98232996 
41696825932550 41696820429000 -0.0051867035 -0.14806351 -0.9846351 
41696895091883 41696887596000 0.004879809 -0.15846512 -0.98298925 
41696963426050 41696954960000 0.017751215 -0.15693636 -0.98192793 
41697026328008 41697020184000 0.021497594 -0.14470848 -0.9822921 
41697093177967 41697086817000 0.025987474 -0.1295239 -0.9858632 
41697160060550 41697153510000 0.03774792 -0.1517622 -0.9815477 
41697227435176 41697220363000 0.043676164 -0.14820185 -0.98159903 
41697292790259 41697286765000 0.0661053 -0.12794971 -0.98394984 
41697364597384 41697353571000 0.07105976 -0.13618116 -0.98347455 
41697427424676 41697420748000 0.08203715 -0.14380635 -0.9815664 
41697491061009 41697486728000 0.07584293 -0.13945912 -0.9831824 
41697561225134 41697553470000 0.074884064 -0.14032137 -0.98350257 
41697629516883 41697620374000 0.0731131 -0.14009996 -0.98410577 
41697691457009 41697686767000 0.06864849 -0.14883998 -0.98337746 
41697762035217 41697753485000 0.06983029 -0.12654303 -0.98672473 
41697827686759 41697820145000 0.0599137 -0.15788077 -0.9836307 
41697891940926 41697887177000 0.06183152 -0.14561959 -0.9850099 
41697962902717 41697953406000 0.053018946 -0.13895963 -0.98620284 
41698026662593 41698020176000 0.03735845 -0.12665889 -0.98849696 
41698094036426 41698086793000 0.027566964 -0.14407182 -0.986555 
41698160365384 41698153446000 0.024529025 -0.13158475 -0.9881926 
41698226712676 41698220144000 0.02477026 -0.1331582 -0.98773885 
41698291918884 41698286772000 0.012116591 -0.1313226 -0.98842835 
41698358375009 41698353436000 0.011013846 -0.12206397 -0.9899621 
41698427821510 41698420140000 0.011421015 -0.13751294 -0.987882 
41698491987801 41698486748000 0.020185163 -0.13565075 -0.9879704 
41698557743676 41698553431000 0.0290017 -0.13911462 -0.98726 
41698625747468 41698620138000 0.030982193 -0.13717864 -0.9879153 
41698691516843 41698686790000 0.036076438 -0.15281153 -0.98566353 
41698758424093 41698753445000 0.031638533 -0.15981013 -0.984518 
41698826744177 41698820165000 0.024382558 -0.13815382 -0.98786926 
41698891984968 41698886773000 0.023265004 -0.13132268 -0.9897665 
41698962645926 41698953425000 0.034705292 -0.14375474 -0.98777133 
41699026299510 41699020201000 0.029682525 -0.1286214 -0.99049664 
41699093076301 41699086816000 0.023203202 -0.1253784 -0.99149275 
41699159635093 41699153547000 0.02031953 -0.1277371 -0.9914307 
41699225652968 41699220146000 0.030774446 -0.121789984 -0.9919558 
41699292261593 41699286839000 0.008490144 0.11009291 0.99385965 
41699361033302 41699353487000 0.018574063 -0.12964812 -0.9913806 
41699425673094 41699420136000 0.015419858 0.09163989 0.99545956 
41699493410927 41699487127000 -0.0041234232 0.14192703 0.9898665 
41699559118635 41699553519000 0.024444623 0.099271476 0.9946907 
41699625862260 41699620561000 0.02158646 0.12552252 0.9918126 
41699692127718 41699686790000 -0.018992465 -0.12914115 -0.99143857 
41699758908302 41699753431000 -0.024580615 -0.10644181 -0.9940075 
41699828495593 41699820214000 -0.025471237 -0.120270945 -0.9923931 
41699893568885 41699886819000 -0.015414052 -0.12664166 -0.99172765 
