#SysTm EventTmStmp Gyro:x Gyro:y Gyro:z
42639378992039 42638856819000 0.01191 0.07544 0.03512 
42639403318581 42638923452000 -0.04154 -0.12645 -0.08613 
42639411450498 42638990150000 -0.01619 -0.01191 -0.03329 
42639420287331 42639056854000 -0.03146 -0.07758 -0.06506 
42639427515414 42639123572000 -0.00489 -0.02291 -0.03085 
42639433686164 42639190315000 -0.03971 -0.0168 -0.0339 
42639442267498 42639257093000 -0.02474 -0.0507 0.00305 
42639450666248 42639323558000 -0.01772 -0.03635 0.00153 
42639458707581 42639390168000 -0.0281 -0.06353 0.02779 
42639495804039 42639456795000 -0.03787 -0.12126 0.08369 
42639565169540 42639523527000 -0.11942 -0.21533 0.10599 
42639590692123 42639590169000 -0.08766 -0.08186 0.13928 
42639658455664 42639656881000 -0.05712 -0.09682 0.0226 
42639726022622 42639723536000 -0.05467 0.05437 0.01894 
42639791344622 42639790209000 -0.18906 0.00153 0.04398 
42639857584457 42639856868000 -0.01222 0.05742 0.16188 
42639935651790 42639923557000 -0.06811 0.07819 0.14325 
42639990924915 42639990210000 0.09835 -0.26603 0.01985 
42640057341790 42640056847000 -0.10721 0.2135 0.09346 
42640124116290 42640123524000 0.49419 0.07819 0.03635 
42640191130499 42640190403000 0.20617 -0.17257 -0.0452 
42640257394290 42640256825000 0.1182 -0.00275 0.09316 
42640324084498 42640323500000 0.08735 -0.11332 0.19548 
42640390931415 42640390355000 0.37202 -0.32895 -0.27519 
42640457593581 42640457018000 -0.22571 -0.12034 -0.10232 
42640524081665 42640523518000 -0.10721 0.05651 0.02077 
42640591162415 42640590532000 0.21747 -0.32162 0.12462 
42640657840415 42640657262000 -0.2865 -0.1909 0.0788 
42640724593415 42640724015000 0.10385 0.06781 0.28863 
42640790972999 42640790280000 0.00092 -0.10171 0.26053 
42640857635540 42640856889000 0.42364 -0.3317 -0.2978 
42640944528498 42640923696000 -0.36682 -0.146 -0.42119 
42640990966207 42640990253000 -0.56902 0.43097 0.343 
42641057562124 42641056874000 0.32101 0.25443 -0.06933 
42641124226290 42641123546000 0.00947 0.4047 0.0223 
42641190956332 42641190256000 0.23976 0.7984 0.00122 
42641257548207 42641256877000 0.2306 -0.28711 -0.21075 
42641324261082 42641323549000 -0.2361 0.97983 -0.45907 
42641390947541 42641390251000 -0.18112 -0.03176 -0.02199 
42641457405207 42641456880000 0.11576 -0.13195 -0.01466 
42641524023915 42641523490000 -0.16952 0.38179 0.4102 
42641592977874 42641592438000 -0.16768 -0.41294 0.04093 
42641657340124 42641656818000 -0.36927 0.53939 0.56627 
42641724016874 42641723485000 -0.05376 -0.74831 0.02352 
42641790777583 42641790175000 0.03543 -0.20189 0.06872 
42641857521666 42641856875000 -0.2419 -0.36408 -0.19548 
42641940291666 42641923549000 0.1014 -0.13317 -0.13592 
42641990936666 42641990256000 0.00916 -0.281 0.00733 
42642057923666 42642056898000 0.02474 -0.34544 -0.02932 
42642124152416 42642123525000 0.04429 -0.31704 0.13408 
42642190709333 42642190213000 -0.33017 -0.67409 0.32009 
42642257608958 42642256870000 0.13836 0.25717 -0.01283 
42642324114124 42642323525000 0.02321 -0.22846 -0.24709 
42642394387333 42642390223000 -0.02474 -0.20556 -0.22846 
42642457642625 42642456918000 0.24709 0.07208 -0.25351 
42642524260749 42642523543000 0.18967 0.19823 -0.1179 
42642591041916 42642590232000 0.36988 -0.03299 0.13195 
42642657853250 42642656950000 0.27611 -0.1689 -0.08827 
42642724680874 42642723660000 -0.21625 0.02993 0.15027 
42642791231083 42642790304000 0.05712 0.18173 -0.00489 
42642857643833 42642857046000 0.01069 0.03115 0.05406 
42642945120208 42642923573000 -0.21869 0.09468 -0.20342 
42642991249750 42642990688000 -0.19731 -0.16799 0.19761 
42643057422541 42643056861000 0.06017 -0.29841 0.26603 
42643124051500 42643123555000 -0.30665 0.04643 0.02016 
42643190895250 42643190232000 0.00305 -0.13164 0.12767 
42643257442416 42643256855000 0.04734 -0.05223 -0.01619 
42643324120541 42643323515000 0.06781 -0.20311 -0.01283 
42643395193708 42643390618000 0.12981 -0.33017 -0.02566 
42643457258208 42643456822000 0.12187 -0.36255 -0.4609 
42643523922041 42643523514000 -0.3036 0.15027 -0.5287 
42643590725625 42643590202000 -0.3821 -0.29841 0.4945 
42643657342542 42643656866000 0.50732 0.12584 -0.23243 
42643724007333 42643723549000 0.04856 0.49175 0.08186 
42643790815417 42643790241000 0.33078 0.09407 0.2868 
42643857471875 42643856868000 0.29566 0.11698 0.07269 
42643936967084 42643923595000 0.20953 0.16035 0.06536 
42643991069418 42643990439000 0.15058 0.19456 0.0394 
42644057531459 42644056907000 0.20067 -0.22052 0.2135 
42644123999250 42644123532000 -0.44868 0.20861 0.17226 
42644190682042 42644190214000 0.01222 -0.54 0.23824 
42644257440751 42644256857000 0.18326 -0.53145 0.10996 
