3,1,1,1,11,-5.969472,-0.082109,0.018564
3,2,1,2,57,-2.931196,0.045053,0.207000
3,3,1,3,27,-33.549326,0.594042,0.007413
3,4,1,4,77,-11.963289,-0.118771,0.066418
3,5,1,5,113,-9.570906,-0.100438,0.225337
3,6,5,2,17,-2.461901,0.057076,0.000126
11,1,2,2,102,-21.735950,0.029096,0.027455
11,2,2,3,15,-23.167997,0.010453,0.156618
11,3,2,5,79,-12.021947,-0.116959,0.063290
11,4,4,2,39,-37.208351,0.770593,0.007373
11,5,5,1,191,-34.934437,0.621676,0.658389
3  5,1,3,1,41,-33.513008,0.593428,0.005020
