#SysTm EventTmStmp Pressure
114439813811548 1379347431611603497 995.1031 
114439858645975 1379347431929810284 995.1031 
114439931681226 1379347431993012188 995.163 
114439988540679 1379347432056885479 995.3529 
114440045735857 1379347432120880841 994.96313 
114440107875335 1379347432184052227 995.1031 
114440171144067 1379347432247284649 994.9032 
114440240120110 1379347432311218976 995.13306 
114440303999248 1379347432374420880 994.8432 
114440364856870 1379347432438385724 995.193 
114440428400286 1379347432501587628 995.1031 
114440492493068 1379347432565552472 995.193 
114440564582187 1379347432628693341 995.1031 
114440647475518 1379347432692627667 995.13306 
114440679643990 1379347432755768536 995.4729 
114440743614692 1379347432819733380 995.0731 
114440809080890 1379347432882904767 995.02313 
114440875737384 1379347432946961163 994.9032 
114440938670391 1379347433010102032 995.0731 
114441004838557 1379347433074279254 995.13306 
114441067496883 1379347433137450641 995.0731 
114441126065477 1379347433201446002 995.163 
114441254464684 1379347433264617389 995.163 
114441267344281 1379347433329802936 995.193 
114441328171382 1379347433391692584 994.93317 
114441379476129 1379347433455687945 995.0731 
114441444118277 1379347433518889850 995.29297 
114441507661693 1379347433582793658 995.163 
114441571510312 1379347433646026080 995.193 
114441635267370 1379347433709990924 995.13306 
114441697406847 1379347433773162311 995.193 
114441763086689 1379347433837127154 995.0731 
114441824096913 1379347433900282594 995.163 
114441888403337 1379347433964186403 995.163 
114441957989786 1379347434027388307 995.1031 
114442015215485 1379347434091322634 994.96313 
114442078331614 1379347434154524538 995.13306 
114442142271794 1379347434218489382 995.13306 
114442205540526 1379347434281660768 995.1031 
114442274455527 1379347434345686647 995.163 
114442355609197 1379347434408766481 995.163 
114442455319253 1379347434472731325 995.02313 
114442462888306 1379347434535902712 995.163 
114442531742267 1379347434599837038 994.99316 
114442589395249 1379347434663069460 995.02313 
114442655654978 1379347434727095339 994.78326 
114442723654368 1379347434790205690 995.0731 
114442788601719 1379347434854201051 995.253 
114442851900973 1379347434917341921 995.02313 
114442916939885 1379347434981276247 995.13306 
114442985549682 1379347435044508669 995.163 
114443045583255 1379347435108412477 995.163 
114443108516262 1379347435171675417 995.193 
114443169953773 1379347435235579225 995.163 
114443239082415 1379347435298781130 995.1031 
114443300214721 1379347435362715456 995.13306 
114443362171077 1379347435425917360 995.163 
114443426660623 1379347435489851686 995.1031 
114443493805443 1379347435553230628 995.223 
114443549932407 1379347435617225989 995.13306 
114443854067918 1379347435680397376 995.13306 
114443889959876 1379347435934639319 994.87317 
114443932902040 1379347435998634681 994.99316 
114443985519162 1379347436061806067 995.223 
114444051931492 1379347436125770911 995.13306 
114444113826808 1379347436188942298 994.87317 
114444183230134 1379347436252876624 995.02313 
114444258157648 1379347436316489119 995.02313 
114444324325815 1379347436380545515 995.163 
114444397818873 1379347436444479842 995.1031 
114444451900972 1379347436507132429 995.193 
114444494110647 1379347436570364851 994.78326 
114444558081347 1379347436634329695 995.193 
114444624402116 1379347436697531599 994.9032 
114444688891664 1379347436761496443 994.5334 
114444766566011 1379347436825034041 995.0731 
114444836762867 1379347436889059920 995.13306 
114444875615301 1379347436951834578 995.0731 
114444939555481 1379347437015677351 995.163 
114445003007336 1379347437078848738 994.56335 
114445067741045 1379347437143820662 994.7533 
114445129911044 1379347437206076521 994.7533 
114445194461630 1379347437269949812 994.62335 
114445257760884 1379347437333151717 994.87317 
114445322067307 1379347437397116560 995.1031 
114445389151087 1379347437460318465 995.02313 
114445455441335 1379347437524313826 995.13306 
114445523379683 1379347437587424177 995.193 
114445602610569 1379347437651389021 994.99316 
114445642348095 1379347437714560408 994.71326 
114445702473229 1379347437778525252 994.5934 
114445766413410 1379347437841696638 994.9032 
114445845613775 1379347437905814070 994.77325 
114445905159021 1379347437969472375 995.38293 
114445977583864 1379347438033559289 995.0731 
114446039082417 1379347438096639123 994.96313 
114446103694044 1379347438160726037 995.02313 
114446170869383 1379347438223775353 995.0731 
114446247506038 1379347438287251916 995.1031 
114446274363965 1379347438350453820 994.9032 
114446338273627 1379347438414418664 994.78326 
114446402885254 1379347438477620568 994.7433 
114446468351452 1379347438541585412 994.6833 
114446532963080 1379347438604756799 995.163 
114446694537933 1379347438668843713 995.0731 
114446747490778 1379347438795841888 995.02313 
114446791440114 1379347438859074310 995.163 
114446856417987 1379347438922978119 995.02313 
114446909889678 1379347438986118988 994.6533 
114446974043502 1379347439050053314 994.62335 
114447037190152 1379347439113285736 995.1031 
114447112880676 1379347439177311615 994.93317 
114447182345044 1379347439240879730 994.6533 
114447245980019 1379347439304936127 995.13306 
114447311537779 1379347439367985443 995.13306 
114447371632391 1379347439432072357 995.163 
114447452419818 1379347439495121674 995.1031 
114447485778585 1379347439558781342 995.02313 
114447545873199 1379347439621830658 994.81323 
114447613689465 1379347439685826019 995.0731 
114447674486046 1379347439748997406 994.6533 
114447774348705 1379347439812901215 995.1031 
114447814757678 1379347439874424652 995.253 
114447878880980 1379347439940586761 995.13306 
114447957928746 1379347440003666595 995.193 
114448003343059 1379347440067265228 995.223 
114448098688703 1379347440130406097 995.193 
114448118252262 1379347440194370941 995.02313 
114448181520993 1379347440257542328 994.71326 
114448245766378 1379347440321507172 995.13306 
114448313552124 1379347440384678558 995.223 
114448376363049 1379347440448855785 994.99316 
114448452755541 1379347440512423900 995.0731 
114448513491082 1379347440576510814 995.02313 
114448577583865 1379347440639590648 995.223 
114448653823755 1379347440703708080 995.13306 
114448748742113 1379347440766696361 995.163 
114448756768971 1379347440830233959 995.1031 
114448817138267 1379347440893405346 994.71326 
114448881170009 1379347440957400707 994.99316 
114448944408220 1379347441020572094 995.28296 
114449009569215 1379347441083560375 994.99316 
114449071891815 1379347441147738842 995.193 
114449136106678 1379347441212222484 995.1031 
114449199131248 1379347441274767594 995.13306 
114449297010081 1379347441338762956 995.1031 
114449325790794 1379347441401903825 994.96313 
114449389669932 1379347441465899186 994.8432 
114449453610112 1379347441529101091 995.13306 
114449517031446 1379347441593065934 995.13306 
114449581856716 1379347441656237321 994.99316 
114449644148797 1379347441720202165 995.0731 
114449707417529 1379347441783373552 995.13306 
114449771449269 1379347441847338395 995.1031 
114449841005199 1379347441910509782 995.193 
114449937205413 1379347441974688249 995.13306 
114449961560670 1379347442037615495 994.93317 
114450025683971 1379347442101549821 994.7433 
114450094965218 1379347442164751725 995.1031 
114450158661234 1379347442228747087 994.8432 
114450221991006 1379347442291613298 995.163 
114450282634986 1379347442355913835 995.223 
114450343126364 1379347442419054704 995.13306 
114450409691295 1379347442483202653 995.13306 
114450473723038 1379347442546190934 995.163 
114450571784995 1379347442610338884 995.0731 
114450597300026 1379347442673327165 995.193 
114450664261722 1379347442737292009 994.96313 
114450728293463 1379347442800493913 994.96313 
114450788357556 1379347442864428239 995.253 
114450851504206 1379347442927811963 995.313 
114450921792623 1379347442991807324 995.0731 
114450985061356 1379347443054978711 995.193 
114451046620946 1379347443118943555 995.1031 
114451112697553 1379347443182114942 995.13306 
114451174318185 1379347443246079785 995.253 
114451237007029 1379347443309251172 995.193 
114451297040602 1379347443373216016 995.28296 
114451368244630 1379347443436387403 995.193 
114451425012523 1379347443500352246 994.99316 
114451487426685 1379347443563523633 994.93317 
114451551733108 1379347443627518994 995.13306 
114451615246004 1379347443691361768 995.1031 
114451682757067 1379347443754639399 995.163 
114451742912721 1379347443817780268 995.163 
114451849825585 1379347443881745112 995.0731 
114451868839777 1379347443944947016 995.13306 
114451932871519 1379347444009094965 994.8432 
114451995865567 1379347444072022211 995.13306 
114452059927829 1379347444135987055 995.4429 
114452141234101 1379347444199433100 994.99316 
114452192264163 1379347444263153803 995.193 
114452250954840 1379347444326325190 994.99316 
114452314315132 1379347444390320551 995.163 
114452378468955 1379347444453522456 995.13306 
114452450191830 1379347444517395747 995.0731 
114452504396011 1379347444580567133 994.8432 
114452568397232 1379347444644531977 995.02313 
114452631665964 1379347444707703364 994.62335 
114452701954381 1379347444771729243 994.99316 
114452758813835 1379347444834839594 994.8432 
114452833130943 1379347444899567377 995.1031 
114452887762408 1379347444962006342 995.13306 
114452954113698 1379347445025940668 995.13306 
114453016100574 1379347445089264643 995.163 
114453076958196 1379347445153046381 995.02313 
114453140776296 1379347445216217768 995.02313 
114453204167108 1379347445280182612 994.96313 
114453267313759 1379347445343353998 994.81323 
114453331803305 1379347445408111016 994.8432 
114453394522671 1379347445470733086 995.0731 
114453458615452 1379347445534728447 995.02313 
114453522128347 1379347445597930352 995.13306 
114453591989480 1379347445661895195 995.1031 
114453674028242 1379347445725066582 995.193 
114453715078142 1379347445789000908 995.02313 
114453778621556 1379347445852233330 994.87317 
114453840089586 1379347445916137139 994.8432 
114453907722732 1379347445979339043 994.77325 
114453973463614 1379347446043334404 994.8032 
114454034504359 1379347446106505791 995.223 
114454096033429 1379347446170440117 995.163 
114454157562499 1379347446233656632 995.1031 
114454222296209 1379347446297621475 995.13306 
114454303785605 1379347446360792862 995.1031 
114454355517635 1379347446424727188 994.77325 
114454411858243 1379347446487898575 995.38293 
114454481719374 1379347446551863419 994.6833 
114454543858852 1379347446615126358 995.34296 
114454602946294 1379347446678999649 994.81323 
114454666764392 1379347446742201553 995.163 
114454731437060 1379347446806166397 995.163 
114454793271336 1379347446869307266 995.0731 
114454864536404 1379347446933485733 995.223 
114454943919893 1379347446996596085 995.1031 
114454988174432 1379347447060408340 994.93317 
114455047506036 1379347447123579727 994.6833 
114455111537780 1379347447187514053 995.0731 
114455174653909 1379347447250715958 995.193 
114455238746690 1379347447314711319 995.163 
114455302595309 1379347447377852188 995.193 
114455365955601 1379347447441847549 995.163 
114455429895783 1379347447505018936 995.193 
114455497864652 1379347447568953262 995.163 
114455579445606 1379347447632124649 995.28296 
114455620464987 1379347447695784317 995.0731 
114455686175348 1379347447761000382 995.193 
114455757776143 1379347447824135167 994.78326 
114455811949803 1379347447887367589 994.6833 
114455875401657 1379347447951393468 994.8432 
114455939677561 1379347448013313634 995.1031 
114456003068375 1379347448078468663 995.223 
114456075096453 1379347448141365392 995.163 
114456143858852 1379347448206978185 995.253 
114456231635443 1379347448269569737 995.193 
114456263254550 1379347448332649571 995.163 
114456319808799 1379347448395912511 995.0731 
114456383840540 1379347448459846837 994.96313 
114456447261873 1379347448522468907 994.9032 
114456516024273 1379347448587562902 995.253 
114456592111560 1379347448652364273 995.193 
114456659378461 1379347448714437027 995.193 
114456725882354 1379347448777638931 995.163 
114456786739975 1379347448839589615 995.193 
114456878270573 1379347448904378433 995.163 
114456895911348 1379347448969655533 994.9032 
114456956189082 1379347449031148453 994.9032 
114457022845577 1379347449095540542 995.313 
114457087945530 1379347449158711929 995.13306 
114457168488793 1379347449222493667 994.99316 
114457227820397 1379347449286641617 995.13306 
114457287243561 1379347449349996109 995.13306 
114457352160394 1379347449413381119 995.223 
114457414788197 1379347449478139419 995.02313 
114457537693737 1379347449540822525 995.13306 
114457555883879 1379347449604573746 995.13306 
114457621502680 1379347449667256851 995.02313 
114457655075090 1379347449731130142 995.28296 
114457720480247 1379347449795522232 994.77325 
114457783443775 1379347449858327408 995.223 
114457849947667 1379347449921498794 995.193 
114457909798116 1379347449985524673 994.9032 
114457975630560 1379347450047658462 995.1031 
114458048696331 1379347450112813492 995.163 
114458111598819 1379347450175923843 995.1031 
114458191867397 1379347450240676610 995.1031 
114458242195493 1379347450303909032 995.13306 
114458291028088 1379347450367080419 994.93317 
114458354052656 1379347450430343358 994.93317 
114458418420121 1379347450494186131 995.1031 
114458481475211 1379347450557357518 995.28296 
114458593759661 1379347450622054784 995.223 
114458614727157 1379347450686874120 995.193 
114458672746384 1379347450748611180 995.193 
114458735923556 1379347450811752049 995.1031 
114458847475516 1379347450873977391 995.193 
114458862888304 1379347450938766210 995.0731 
114458929727920 1379347451004653661 995.0731 
114458991897917 1379347451065915507 994.87317 
114459064933169 1379347451130734843 995.02313 
114459128751268 1379347451193692607 995.1031 
114459181124227 1379347451256741923 995.0731 
114459249978188 1379347451320218486 995.1031 
114459318587984 1379347451386166972 995.163 
114459404746996 1379347451449246806 995.13306 
114459455807578 1379347451512601298 995.13306 
114459530796132 1379347451574979228 995.163 
114459562415238 1379347451638516825 995.223 
114459626324898 1379347451701627177 994.77325 
114459694110644 1379347451765683573 994.9032 
114459767542661 1379347451830716532 995.28296 
114459828461324 1379347451892850321 995.223 
114459897010081 1379347451956754130 995.163 
114459959424242 1379347452020169657 995.163 
114460022754015 1379347452082425517 995.1031 
114460091669015 1379347452147214335 995.1031 
114460191195949 1379347452210812968 995.163 
114460207341226 1379347452275235575 995.223 
114460260965521 1379347452335416239 995.0731 
114460324447894 1379347452400510234 994.93317 
114460388204953 1379347452463742655 995.0731 
114460455960179 1379347452527646464 995.34296 
114460533817649 1379347452591245097 995.0731 
114460602824211 1379347452655814499 995.163 
114460656112782 1379347452718589157 995.1031 
114460732718916 1379347452782645554 995.1031 
114460797696789 1379347452845328659 995.193 
114460878880979 1379347452909446091 995.163 
114460898658180 1379347452972434372 994.96313 
114460963544493 1379347453036399216 995.02313 
114461036274539 1379347453099936814 994.87317 
114461107051283 1379347453164023728 995.02313 
114461155365032 1379347453226706833 994.9032 
114461231177637 1379347453290915818 994.93317 
114461294843134 1379347453354209275 995.163 
114461357623539 1379347453418296189 995.1031 
114461418114918 1379347453481360230 995.1031 
114461505922030 1379347453545660767 995.13306 
114461574898070 1379347453608160767 995.0731 
114461595835046 1379347453672064576 994.77325 
114461659042737 1379347453735266480 995.223 
114461723043958 1379347453799170289 994.8432 
114461787197780 1379347453862341675 994.87317 
114461868229369 1379347453926794800 994.81323 
114461948284306 1379347453989905152 995.1031 
114461978346872 1379347454053778443 995.13306 
114462042348093 1379347454116888794 995.1031 
114462124936222 1379347454180640015 995.1031 
114462218298040 1379347454243841919 995.193 
114462231604922 1379347454307745728 995.0731 
114462295484061 1379347454371649537 995.13306 
114462358844354 1379347454434912476 994.9032 
114462423578064 1379347454498022828 994.93317 
114462488189693 1379347454562018189 995.1031 
114462549291477 1379347454625250611 994.99316 
114462629773699 1379347454689337525 995.28296 
114462692401503 1379347454752783570 995.163 
114462756067001 1379347454816748414 995.1031 
114462837861598 1379347454879889283 995.13306 
114462915596987 1379347454943640503 995.13306 
114462930674050 1379347455006659302 995.1031 
114462995346719 1379347455071417603 994.8432 
114463063987038 1379347455134038253 994.7433 
114463138151542 1379347455198491378 995.28296 
114463199650092 1379347455261601729 994.96313 
114463264902648 1379347455325627608 994.93317 
114463329788959 1379347455388707442 995.0731 
114463391806357 1379347455452794356 995.02313 
114463455227690 1379347455515843673 995.1031 
114463521884183 1379347455580754561 995.13306 
114463602885251 1379347455642918868 995.0731 
114463630597749 1379347455706548018 995.1031 
114463693439197 1379347455769719405 994.93317 
