#SysTm EventTmStmp Acc:x Acc:y Acc:z
498971321036319 1379826134460947200 -0.4099121 4.635147 8.403717 
498971330436593 1379826134524881526 -0.30755615 4.6184845 8.448944 
498971343102548 1379826135669138118 -0.32421875 4.576828 8.523926 
498971384762855 1379826135732309505 -0.36468506 4.608963 8.513214 
498971449466045 1379826135796243831 -0.38134766 4.6256256 8.596527 
498971508553486 1379826135859445735 -0.37420654 4.607773 8.509644 
498971571852737 1379826135923592403 -0.38372803 4.5280304 8.503693 
498971636891652 1379826135986794307 -0.37301636 4.58992 8.554871 
498971699549976 1379826136050728634 -0.36706543 4.5684967 8.562012 
498971763581718 1379826136113869503 -0.32659912 4.582779 8.48703 
498971826484204 1379826136177925899 -0.35992432 4.551834 8.540588 
498971890119182 1379826136241036251 -0.43371582 4.5792084 8.590576 
498971953601556 1379826136305001094 -0.3789673 4.550644 8.5513 
498972016870287 1379826136368172481 -0.3527832 4.519699 8.525116 
498972081817639 1379826136432137325 -0.3932495 4.5613556 8.583435 
498972144414923 1379826136495308712 -0.35516357 4.5613556 8.590576 
498972235823439 1379826136588997676 -0.3944397 4.550644 8.48941 
498972256180527 1379826136609169796 -0.39682007 4.532791 8.512024 
498972281970241 1379826136629952266 -0.37301636 4.550644 8.525116 
498972296803142 1379826136649452999 -0.37301636 4.550644 8.525116 
498972316488782 1379826136669594600 -0.4099121 4.5851593 8.529877 
498972371211811 1379826136690132930 -0.37182617 4.550644 8.526306 
498972390226003 1379826136709847286 -0.37182617 4.550644 8.526306 
498972393491683 1379826136730110958 -0.43728638 4.6065826 8.5513 
498972397550892 1379826136748342773 -0.43728638 4.6065826 8.5513 
498972456729893 1379826136769521972 -0.34207153 4.6172943 8.537018 
498972458316953 1379826136790121337 -0.33374023 4.58873 8.609619 
498972460514419 1379826136810262939 -0.34207153 4.558975 8.456085 
498972478063633 1379826136830709716 -0.39801025 4.5601654 8.557251 
498972497901875 1379826136850851318 -0.3444519 4.5613556 8.5513 
498972517770639 1379826136870992919 -0.3444519 4.59111 8.469177 
498972537853044 1379826136891134521 -0.3932495 4.610153 8.491791 
498972558027010 1379826136911276122 -0.40396118 4.5851593 8.519165 
498972578262016 1379826136931478759 -0.38967896 4.58873 8.4965515 
498972599656797 1379826136952963134 -0.35635376 4.6125336 8.448944 
498972618701509 1379826136971731445 -0.34683228 4.6387177 8.563202 
498972638753394 1379826136991842529 -0.35754395 4.608963 8.501312 
498972663444376 1379826137012014648 -0.40396118 4.622055 8.554871 
498972679589652 1379826137032156249 -0.3694458 4.5732574 8.541779 
498972699244772 1379826137052297851 -0.37182617 4.5673065 8.4965515 
498972723813671 1379826137072439453 -0.40039063 4.6006317 8.48465 
498972739501142 1379826137092581054 -0.3456421 4.5482635 8.514404 
498972759705630 1379826137112692138 -0.3849182 4.562546 8.604858 
498972786197313 1379826137134725830 -0.370636 4.5720673 8.497742 
498972798802227 1379826137150900146 -0.39562988 4.58992 8.448944 
498972820105447 1379826137172109863 -0.39086914 4.616104 8.490601 
498972842537920 1379826137192922851 -0.38253784 4.5863495 8.507263 
498972861216388 1379826137213094970 -0.39920044 4.6446686 8.606049 
498972880932549 1379826137233541747 -0.3861084 4.6375275 8.504883 
498972900679231 1379826137253713867 -0.40872192 4.653 8.546539 
498972920731115 1379826137273855468 -0.3789673 4.629196 8.546539 
498972940844040 1379826137293997070 -0.36468506 4.6375275 8.490601 
498972960956965 1379826137314138671 -0.34683228 4.614914 8.557251 
498972981405615 1379826137334524414 -0.40396118 4.5851593 8.437042 
498973001335417 1379826137354421874 -0.38729858 4.5673065 8.441803 
498973021417822 1379826137374563476 -0.3932495 4.570877 8.55249 
498973042141156 1379826137394705078 -0.3849182 4.582779 8.531067 
