#SysTm EventTmStmp Grav:x Grav:y Grav:z
77363498881521 1374940396089336307 0.2717761 4.8227754 8.534481 
77363742769818 1374940396255474002 0.3643039 4.8697352 8.504313 
77364229111951 1374940396557567508 0.5013252 4.7454395 8.567372 
77364416049231 1374940396683525761 0.5477707 4.6933274 8.593196 
77364494974914 1374940396723778447 0.5513248 4.686268 8.596821 
77364552749979 1374940396738884648 0.5578805 4.682038 8.598702 
77364655451032 1374940396798027714 0.58408976 4.6594706 8.609214 
77364715057319 1374940396834618290 0.5768113 4.653514 8.612926 
77364952994142 1374940396915184697 0.60786563 4.616551 8.630663 
77365101017947 1374940396970543583 0.6239366 4.6045313 8.635936 
77365106664216 1374940396975609501 0.62980783 4.6018815 8.636922 
77365140114544 1374940396980583867 0.6364251 4.598813 8.638071 
77365347408913 1374940397051079472 0.7880759 4.504104 8.675388 
77365412661469 1374940397091393193 0.77793914 4.407057 8.725999 
77365510784467 1374940397156914433 0.257215 4.0888457 8.909858 
77365690274777 1374940397282738408 -0.4394109 3.4685988 9.162212 
77365772954464 1374940397343132695 -0.6662545 3.094661 9.281679 
77365979394263 1374940397469078740 -1.0181123 2.483813 9.4321 
77366197889609 1374940397579857548 -0.6820176 2.4657714 9.467059 
77366203200154 1374940397584862431 -0.6865717 2.4607708 9.468031 
77366296592494 1374940397640282353 -0.60747 2.3624015 9.498444 
77366323267299 1374940397645256718 -0.579922 2.3606145 9.500609 
77366328455762 1374940397650292119 -0.55206937 2.3621566 9.501885 
77366410647125 1374940397720879277 -0.24044602 2.5741985 9.459708 
77366483102488 1374940397766106328 -0.25034156 2.7864742 9.39911 
77366493570976 1374940397771202763 -0.2502991 2.8030007 9.3941965 
77366632804916 1374940397805138310 -0.23829299 2.7881541 9.398926 
77366669520924 1374940397826531132 -0.20941089 2.6821313 9.430414 
77366687772106 1374940397831597050 -0.2178426 2.6455379 9.440555 
77366697202901 1374940397836632451 -0.23131336 2.604301 9.451693 
77366856763407 1374940397927269658 -1.0546505 2.0074246 9.540878 
77366867842302 1374940397937340458 -1.1946157 1.9423015 9.537858 
77366972740823 1374940398027977665 -1.9851521 2.2356722 9.339771 
77367548232964 1374940398380602298 1.443497 4.78849 8.435465 
77367748385566 1374940398510271488 2.5827193 5.4779186 7.713129 
77368187085396 1374940398778459964 2.473922 2.0791438 9.258902 
77368706236930 1374940399136016220 0.8044474 -0.7752092 9.742807 
77368825510547 1374940399196410507 0.73195606 -0.6778819 9.755773 
77368851300261 1374940399221648545 0.7402706 -0.47000942 9.767368 
77368918414559 1374940399266936631 0.5432409 -0.277274 9.787665 
77369045684512 1374940399372741074 0.7015882 -0.27351704 9.777697 
77369056916009 1374940399382781357 0.69885254 -0.26080936 9.77824 
77369187299040 1374940399508635849 0.6383635 -0.47817424 9.774161 
77369231950344 1374940399558989853 0.69790095 -0.42185402 9.772685 
77369288687717 1374940399614409775 0.7580228 -0.46868408 9.766069 
77369369505662 1374940399679808945 0.7134281 -0.4105065 9.772046 
77369380584557 1374940399699981064 0.69967014 -0.39238912 9.773786 
77369604878775 1374940399901397080 0.35485488 -0.36218122 9.793533 
77369822550070 1374940400037413925 0.22679132 -0.38342983 9.796527 
77370478890677 1374940400415007920 0.25082907 -0.3562465 9.796967 
77370484475905 1374940400420073838 0.2511038 -0.3559264 9.796971 
77370530103862 1374940400440215439 0.25185883 -0.35451865 9.797003 
77370580676118 1374940400475463242 0.25331327 -0.35254067 9.797037 
77371272450879 1374940400943871564 0.307875 -0.2675871 9.798162 
77371514691075 1374940401165307111 0.3314381 -0.23352094 9.798265 
77371665797437 1374940401336388654 0.3446385 -0.2123974 9.798291 
77371749118054 1374940401391778058 0.34821215 -0.20845445 9.798249 
77372292594324 1374940401699010750 0.36474046 -0.18672906 9.798085 
77372316796979 1374940401714116951 0.36547738 -0.18548341 9.798082 
77372322778972 1374940401719152352 0.36581612 -0.18525982 9.798073 
77372341091195 1374940401724187752 0.3662467 -0.18472448 9.798068 
77372421146132 1374940401769628426 0.36746946 -0.18281473 9.798058 
77372430668488 1374940401779577156 0.36769924 -0.18266298 9.798052 
77372440160323 1374940401789708992 0.3677027 -0.1822816 9.7980585 
77372453619809 1374940401804754158 0.36788183 -0.18194528 9.7980585 
77372466957212 1374940401809881111 0.36810884 -0.18164472 9.798056 
77372497599665 1374940401814824959 0.36813676 -0.18126234 9.798061 
77372507549307 1374940401819860360 0.36798534 -0.18107492 9.79807 
77372519391211 1374940401824895760 0.36814693 -0.18126906 9.79806 
77372744875721 1374940401920568367 0.3730902 -0.17700829 9.797952 
77372850781414 1374940401980993172 0.37431496 -0.17632093 9.797917 
77373143441264 1374940402135900399 0.37666315 -0.17118397 9.797918 
77373951803847 1374940402499639412 0.38052312 -0.16408446 9.797891 
77374051666505 1374940402600347420 0.38072857 -0.16456214 9.797875 
77374119971097 1374940402650701424 0.38298917 -0.16312814 9.797811 
77374396882436 1374940402862249276 0.38396114 -0.16046548 9.797817 
77374476388006 1374940402932683846 0.3840194 -0.1608931 9.797807 
77374522748451 1374940402962926766 0.38348004 -0.16042884 9.797836 
77374586902275 1374940403023321053 0.38477764 -0.15739359 9.797834 
77374592487503 1374940403028356453 0.38510957 -0.15742356 9.797821 
77374749209614 1374940403129241573 0.3857431 -0.15734059 9.797797 
77374781194965 1374940403164550411 0.3865593 -0.15710168 9.797769 
77374803749519 1374940403189666378 0.3871848 -0.1566762 9.797751 
77374893998261 1374940403275268184 0.38745737 -0.1566743 9.79774 
77374960013826 1374940403320647823 0.38788038 -0.15613143 9.797732 
77374992395942 1374940403355834591 0.38796335 -0.156175 9.797729 
77375157877399 1374940403461639034 0.3883878 -0.15713061 9.797696 
77375233232200 1374940403532073604 0.38876784 -0.15686354 9.797686 
77375243914330 1374940403537109005 0.38885212 -0.15690713 9.797682 
