#SysTm EventTmStmp Acc:x Acc:y Acc:z
152342758334804 1379389026037209510 0.07925415 0.17433167 9.57962 
152342764988245 1379389026100350379 0.08163452 0.19218445 9.562958 
152342780462073 1379389026227456092 0.080444336 0.1790924 9.571289 
152342840404084 1379389026291512488 0.08282471 0.18504333 9.558197 
152342898820077 1379389026354622840 0.07211304 0.18623352 9.571289 
152342962882337 1379389026418587683 0.08163452 0.18861389 9.57486 
152343026059510 1379389026481759070 0.07092285 0.18504333 9.565338 
152343089755527 1379389026545738496 0.08163452 0.18147278 9.570099 
152343153024258 1379389026608909883 0.075683594 0.18266296 9.585571 
152343217025480 1379389026672844209 0.06616211 0.18147278 9.571289 
152343280294212 1379389026736046113 0.056640625 0.1802826 9.551056 
152343343929187 1379389026799980439 0.08401489 0.19099426 9.57843 
152343407197918 1379389026863151826 0.07211304 0.18980408 9.584381 
152343471534863 1379389026927208222 0.05783081 0.19218445 9.582001 
152343534254230 1379389026990318574 0.08163452 0.18504333 9.573669 
152343598469092 1379389027054344453 0.08401489 0.17552185 9.585571 
152343661646263 1379389027117485322 0.059020996 0.18980408 9.593903 
152343725311759 1379389027181419648 0.06378174 0.1802826 9.582001 
152343788855175 1379389027244621553 0.080444336 0.18623352 9.57605 
152343852520672 1379389027308555879 0.091156006 0.18385315 9.587952 
152343915911485 1379389027371757783 0.080444336 0.1719513 9.564148 
152343979638023 1379389027435692109 0.075683594 0.1802826 9.57605 
152344042967795 1379389027498863496 0.07449341 0.17552185 9.596283 
152344107060578 1379389027562889375 0.059020996 0.18623352 9.584381 
152344170542952 1379389027626060762 0.06616211 0.19456482 9.585571 
152344234452611 1379389027690056123 0.07687378 0.18147278 9.583191 
152344297233018 1379389027753135957 0.07925415 0.17314148 9.559387 
152344361386840 1379389027817161836 0.069732666 0.18980408 9.580811 
152344424533491 1379389027880302705 0.07092285 0.20170593 9.5677185 
152344488260027 1379389027944237031 0.07449341 0.1790924 9.568909 
152344551650841 1379389028007438935 0.075683594 0.1802826 9.57486 
152344615591022 1379389028071373262 0.064971924 0.1802826 9.562958 
152344678829233 1379389028134782696 0.067352295 0.1790924 9.583191 
152344742860975 1379389028198839092 0.064971924 0.17790222 9.57486 
152344806007625 1379389028261918926 0.06378174 0.17433167 9.609375 
152344869673120 1379389028325853252 0.067352295 0.195755 9.541534 
152344932911333 1379389028389055157 0.078063965 0.19218445 9.587952 
152345002986107 1379389028453050518 0.08520508 0.20289612 9.620087 
152345060913774 1379389028516191387 0.07092285 0.16600037 9.597473 
152345124335108 1379389028580247784 0.06021118 0.18504333 9.557007 
152345187237595 1379389028643297100 0.06616211 0.19218445 9.582001 
152345251696622 1379389028707353497 0.056640625 0.17552185 9.57486 
152345314477027 1379389028770433331 0.06021118 0.18385315 9.565338 
152345378539290 1379389028834459209 0.061401367 0.17671204 9.591522 
152345441899582 1379389028897569561 0.06021118 0.19932556 9.57486 
152345505442998 1379389028961548039 0.054260254 0.17552185 9.589142 
152345568833811 1379389029024719426 0.05307007 0.19694519 9.584381 
152345632590868 1379389029088684269 0.06854248 0.18504333 9.585571 
152345695981682 1379389029151855656 0.06616211 0.17076111 9.596283 
152345759738740 1379389029215820500 0.06616211 0.17671204 9.592712 
152345823037992 1379389029278991886 0.07925415 0.1802826 9.573669 
152345887130774 1379389029343048283 0.06854248 0.18504333 9.596283 
152345950643669 1379389029406158635 0.08163452 0.17671204 9.573669 
152346014278645 1379389029470184513 0.08639526 0.18504333 9.590332 
152346077608419 1379389029533294865 0.06616211 0.17076111 9.590332 
152346141334955 1379389029597229191 0.069732666 0.16600037 9.582001 
152346204725769 1379389029660461613 0.07330322 0.1790924 9.598663 
152346268757509 1379389029724426457 0.067352295 0.1802826 9.580811 
152346334315269 1379389029787536808 0.054260254 0.1802826 9.591522 
152346395783300 1379389029851593205 0.07092285 0.18385315 9.601044 
152346458899429 1379389029914703556 0.06259155 0.20051575 9.57843 
152346522961692 1379389029978729435 0.06259155 0.1874237 9.591522 
