#SysTm EventTmStmp Pressure
152342757541274 1379389025984810828 995.7527 
152342764347317 1379389026048806189 995.7827 
152342787237596 1379389026239052771 996.1625 
152342853955129 1379389026303109168 995.84265 
152342909227524 1379389026366250037 995.6628 
152342973808632 1379389026430184363 995.84265 
152343038603383 1379389026493370332 995.7527 
152343102329920 1379389026557335176 995.8127 
152343165476569 1379389026620476045 995.7227 
152343234208450 1379389026684471406 995.8127 
152343291586749 1379389026748710908 995.7827 
152343353970390 1379389026811577119 995.7227 
152343417635886 1379389026874748506 995.7527 
152343481576066 1379389026938957490 995.7527 
152343544478554 1379389027001915254 995.6628 
152343608662897 1379389027066093721 995.7527 
152343672267353 1379389027129204072 995.7527 
152343735566604 1379389027192985810 995.7227 
152343799048979 1379389027256370820 995.6328 
152343862744997 1379389027320152558 995.84265 
152343926074769 1379389027383476533 995.7227 
152343991144204 1379389027447288789 995.8727 
152344053039518 1379389027510460176 995.7827 
152344117376464 1379389027574638642 995.7827 
152344180950399 1379389027637810029 995.7227 
152344244432773 1379389027701774873 995.7227 
152344307487863 1379389027764793672 995.7827 
152344372496255 1379389027828911103 995.69275 
152344434788336 1379389027892051972 995.8127 
152344498514872 1379389027955833711 995.8727 
152344561875165 1379389028019127168 995.7227 
152344625845867 1379389028083092012 995.7227 
152344689114598 1379389028146531963 995.7527 
152344753512585 1379389028210557842 995.69275 
152344816262470 1379389028273668194 995.7827 
152344879927965 1379389028337449932 995.7527 
152344943196699 1379389028400743389 995.7527 
152345008968100 1379389028464738751 995.7527 
152345080935138 1379389028527940655 995.7527 
152345136299094 1379389028591966534 995.7827 
152345197431399 1379389028654893780 995.8127 
152345262073549 1379389028719072247 995.7527 
152345324579270 1379389028782030010 995.7827 
152345388733094 1379389028846177959 995.90265 
152345452368070 1379389028909240910 995.84265 
152345515697844 1379389028973144718 995.7527 
152345579180217 1379389029036468693 995.7527 
152345642815193 1379389029100280949 995.69275 
152345706144966 1379389029163604924 995.7527 
152345769993586 1379389029227417179 995.8127 
152345833201276 1379389029290588566 995.7827 
152345897507702 1379389029354767033 995.7527 
152345960929035 1379389029417907902 995.8127 
152346024441929 1379389029481842228 995.7827 
152346089084078 1379389029545044133 995.90265 
152346154031430 1379389029608825871 995.7827 
152346217086519 1379389029672210881 995.7527 
152346278920793 1379389029736206242 995.7227 
152346343379820 1379389029799133488 995.8127 
152346407930408 1379389029863311955 995.7827 
152346474922625 1379389029926300236 995.84265 
152346535108800 1379389029990448185 995.8727 
152346596790472 1379389030053558537 995.7827 
152346660517009 1379389030117401310 995.84265 
