#SysTm EventTmStmp Light
186148201132597 1379435812267999161 1.0 
186149345493958 1379435813412341648 2.0 
186149472580790 1379435813539477879 1.0 
186151125533634 1379435815192263571 0.0 
186155957702107 1379435820023980016 1.0 
186157228814574 1379435821295371577 2.0 
186158373145414 1379435822439886857 3.0 
186158883262918 1379435822949133684 4.0 
186159136063162 1379435823202881245 6.0 
186159263241553 1379435823329803852 9.0 
186159390206303 1379435823456940083 15.0 
186159517415215 1379435823584137348 16.0 
186159644746208 1379435823711426167 26.0 
186159771619396 1379435823838379292 30.0 
186159898462063 1379435823965346179 35.0 
186160025945658 1379435824092726551 39.0 
186160153032489 1379435824219923816 41.0 
186160280607646 1379435824347304187 42.0 
186160407541875 1379435824474104724 41.0 
186160534445581 1379435824601210437 35.0 
186160661440851 1379435824728438221 26.0 
186160789107569 1379435824855727039 21.0 
186161043098108 1379435825109816394 20.0 
186161170917427 1379435825237166248 19.0 
186161297699053 1379435825364271961 17.0 
186161425030047 1379435825491408191 14.0 
186161551628552 1379435825618479575 12.0 
186161678776423 1379435825745615805 9.0 
186161805954814 1379435825872752036 3.0 
186161933224766 1379435826000010336 2.0 
186162060586280 1379435826127207602 1.0 
186162695867832 1379435826762748478 0.0 
