#SysTm EventTmStmp Mag:x Mag:y Mag:z
73733239319572 1379301182624341494 -26.519775 -4.258728 -25.559998 
73733328957906 1379301182878644472 -26.159668 -4.6188354 -25.679016 
73733362804999 1379301182942578798 -26.039124 -4.6798706 -25.738525 
73733433856426 1379301183005750185 -26.039124 -4.6798706 -25.85907 
73733480399993 1379301183071088320 -26.278687 -4.559326 -25.85907 
73733543668725 1379301183132855898 -26.039124 -4.4387817 -25.979614 
73733606845896 1379301183196820742 -26.399231 -4.4387817 -25.79956 
73733671549086 1379301183259961611 -26.278687 -4.559326 -26.098633 
73733729385192 1379301183323956972 -26.339722 -4.4387817 -26.039124 
73733793722136 1379301183387340681 -26.339722 -4.258728 -25.679016 
73733857387633 1379301183451336042 -26.45874 -4.1992188 -25.498962 
73733920839487 1379301183514537947 -26.339722 -4.1992188 -25.439453 
73734013896103 1379301183578502790 -26.159668 -4.0786743 -25.619507 
73734054244035 1379301183641613142 -25.979614 -4.1397095 -25.619507 
73734110676204 1379301183705608503 -25.559998 -4.0786743 -25.85907 
73734173822853 1379301183768749372 -25.379944 -3.779602 -25.79956 
73734246247698 1379301183832714216 -25.19989 -3.6590576 -25.85907 
73734301001245 1379301183895885603 -25.138855 -3.718567 -26.159668 
73734364910905 1379301183959819929 -24.839783 -3.718567 -26.399231 
73734428088075 1379301184023021833 -24.35913 -3.718567 -26.579285 
73734494042600 1379301184086986677 -23.699951 -3.8391113 -26.939392 
73734597567703 1379301184150158064 -22.679138 -4.0786743 -27.479553 
73734619206647 1379301184214137607 -21.11969 -4.6798706 -28.079224 
73734682414338 1379301184277370028 -19.499207 -5.819702 -28.858948 
73734746323997 1379301184341243319 -18.058777 -6.3598633 -29.699707 
73734810935628 1379301184404475741 -16.018677 -6.478882 -30.419922 
73734874112798 1379301184468440585 -13.798523 -6.298828 -31.3797 
73734937656212 1379301184531642489 -11.459351 -6.059265 -32.159424 
73735003458135 1379301184595210605 -8.938599 -5.6396484 -32.699585 
73735067520398 1379301184658778720 -6.6589355 -4.6798706 -33.17871 
73735185481635 1379301184722713046 -4.9194336 -3.3599854 -33.599854 
73735193477973 1379301184785853915 -3.4194946 -1.3793945 -33.839417 
73735254976523 1379301184849788241 -2.0385742 0.059509277 -33.898926 
73735318336816 1379301184912990146 -1.3198853 0.7797241 -34.259033 
73735386855053 1379301184976954989 -1.1398315 1.6799927 -34.318542 
73735452138129 1379301185040126376 -1.499939 2.519226 -34.61914 
73735509791112 1379301185104152255 -2.519226 2.758789 -34.739685 
73735572632558 1379301185167323642 -3.8391113 2.758789 -34.739685 
73735636572740 1379301185231288486 -5.1589966 2.4597168 -34.739685 
73735739304313 1379301185294520907 -6.5994263 2.0996094 -34.67865 
73735764117375 1379301185357966952 -8.279419 1.739502 -34.55963 
73735826714658 1379301185421535068 -9.658813 1.4389038 -34.07898 
73735890776920 1379301185485499911 -10.798645 0.95977783 -33.839417 
73735953832011 1379301185548671298 -11.878967 0.0 -33.47931 
73736034466834 1379301185613154941 -12.719727 -0.6591797 -32.939148 
73736096087465 1379301185676234775 -13.679504 -1.499939 -32.51953 
73736162194591 1379301185740291171 -14.518738 -2.218628 -32.03888 
73736232116764 1379301185803371005 -15.359497 -2.9388428 -31.678772 
73736330148200 1379301185867116156 -15.779114 -3.3599854 -31.619263 
73736337473089 1379301185930287542 -16.018677 -3.718567 -31.559753 
73736399276844 1379301185994252386 -16.139221 -4.0786743 -31.498718 
73736464712521 1379301186057454290 -16.378784 -4.1397095 -31.259155 
