#SysTm EventTmStmp Gyro:x Gyro:y Gyro:z
156117065262256 1375030619083606274 0.00491 -0.00436 -0.00542 
156117075913866 1375030619146564038 0.00491 -0.02039 -0.00542 
156117090258442 1375030619210406811 0.00919 -0.0097 -0.00114 
156117103595844 1375030619273730786 -0.00363 -0.01184 0.00526 
156117116109197 1375030619337573559 -0.01004 -0.02573 0.01381 
156117129385559 1375030619400836499 -0.04742 -0.01611 0.03517 
156117179713653 1375030619464709790 -0.03568 -0.01825 0.02663 
156117210569749 1375030619527972729 -0.02393 -0.01505 0.01167 
156117241914171 1375030619591815502 -0.03888 -0.01932 0.02663 
156117325875716 1375030619655108959 -0.03033 -0.01291 0.02876 
156117368939961 1375030619718982250 -0.02393 -0.01611 0.02556 
156117432971703 1375030619782245190 -0.02499 -0.01398 0.02342 
156117497430729 1375030619846087963 -0.03781 -0.01291 0.04585 
156117561645593 1375030619909411938 -0.03995 -0.02359 0.05974 
156117627203353 1375030619973224194 -0.03354 -0.0065 0.05653 
156117687786291 1375030620036517651 -0.02179 -0.01291 0.05653 
156117751573869 1375030620100421459 0.00171 -0.0097 0.03197 
156117814323756 1375030620163684399 -0.00363 0.00845 0.00847 
156117878050293 1375030620227496655 -0.00363 -0.0065 -0.00221 
156117942845044 1375030620291125805 0.00598 -0.00864 -0.01183 
156118004984522 1375030620354632885 0.01666 -0.0065 -0.02037 
156118068314293 1375030620417956860 0.03268 -0.00009 -0.0396 
156118154931111 1375030620481799633 0.03696 0.03302 -0.03105 
156118224425998 1375030620545274852 0.11813 0.03622 -0.08232 
156118283299796 1375030620609117625 0.07968 0.02127 -0.08553 
156118341959952 1375030620672411082 0.01025 0.01913 -0.03532 
156118400925311 1375030620736284373 0.00278 -0.00543 -0.02785 
156118460958885 1375030620799547313 0.02094 -0.0065 -0.03746 
156118514400056 1375030620863451121 0.08502 0.06934 -0.09727 
156118579530532 1375030620926714061 0.0925 0.10565 -0.10475 
156118656777593 1375030620990556834 0.05191 0.08215 -0.04494 
156118703901048 1375030621053850291 0.03589 0.10992 -0.05775 
156118773670620 1375030621117693065 0.02948 0.07681 -0.03105 
156118845698697 1375030621180956004 0.0188 0.03409 -0.00648 
156118949284842 1375030621244798778 -0.01218 -0.03748 0.01488 
156118986794379 1375030621308122752 -0.03568 -0.03961 0.02983 
156119055739901 1375030621371949623 -0.05276 -0.07486 0.05013 
156119113453924 1375030621435243080 -0.05811 -0.07272 0.05119 
156119186214493 1375030621499391029 -0.05704 -0.0535 0.06294 
156119235932179 1375030621562379310 -0.07626 -0.06631 0.05974 
156119354076541 1375030621626252602 -0.05383 -0.05243 0.03517 
156119363385254 1375030621687653969 -0.00897 -0.01184 0.00206 
156119404862440 1375030621753388832 0.01025 0.00311 -0.01183 
156119494622855 1375030621816651771 0.03055 0.01807 -0.02785 
156119532040831 1375030621880525062 -0.03674 0.00845 0.02663 
156119594973839 1375030621943818519 -0.0282 -0.00116 0.02876 
156119660256916 1375030622007661293 -0.03568 0.00204 0.01167 
156119722091190 1375030622070954750 -0.05704 -0.01611 0.04799 
156119785512524 1375030622134828041 -0.08588 -0.06097 0.05867 
156119848445532 1375030622198060463 -0.0314 -0.01718 0.01488 
156119916078676 1375030622261903236 0.03482 0.04477 -0.01823 
156119976325891 1375030622325227211 0.0455 0.017 -0.02357 
156120039686184 1375030622389069984 0.04657 0.02234 -0.03532 
156120102527631 1375030622452332924 0.03802 0.02768 -0.03853 
156120166498331 1375030622516206215 -0.01538 -0.00116 -0.00755 
156120302008784 1375030622579469154 0.02948 -0.02359 0.00206 
156120376234330 1375030622643342445 -0.02713 -0.03 0.01381 
156120393814064 1375030622706635902 -0.02072 -0.01077 0.03517 
156120448140327 1375030622770478676 -0.02286 -0.02039 0.02449 
156120547636742 1375030622833772133 0.01025 -0.01291 0.00526 
156120616154977 1375030622896455238 0.00171 -0.00436 -0.00114 
156120654763248 1375030622960877846 0.00705 -0.01077 -0.00221 
156120695019619 1375030623024933025 0.00385 0.00204 -0.00328 
156120738602711 1375030623088226482 -0.00577 -0.00223 0.00633 
156120803305900 1375030623152099773 0.00385 0.01059 0.00206 
156120866360990 1375030623215362713 0.00064 0.00311 -0.00648 
156120929812843 1375030623279236004 0.00598 -0.00116 -0.00755 
156120993905626 1375030623342529461 0.01025 0.00739 -0.00862 
156121057326959 1375030623406341716 -0.00684 0.00098 0.0042 
156121121724945 1375030623469665691 0.01666 0.01059 -0.01183 
156121183772862 1375030623533508465 0.022 0.02768 -0.01717 
156121302283468 1375030623596771404 -0.03568 0.02982 -0.01289 
156121339640403 1375030623660614177 0.0188 -0.02145 -0.02998 
156121401535718 1375030623723938152 -0.04422 -0.04175 0.02129 
156121464102483 1375030623787750408 -0.02927 -0.00436 0.02556 
156121529690762 1375030623851027947 0.00919 0.01273 0.00847 
156121603061737 1375030623914901238 0.01132 0.00311 0.0042 
156121627844279 1375030623978164177 0.01453 0.00845 -0.00008 
156121691570817 1375030624042006951 0.01239 0.00098 0.0074 
156121754595387 1375030624104842644 0.00598 0.00525 0.00206 
156121844599964 1375030624169143181 0.00385 0.00311 -0.00008 
156121912751955 1375030624232436638 0.00598 -0.00543 0.01167 
156121990456823 1375030624296309929 0.01346 -0.00116 0.00313 
156122031720366 1375030624359603386 0.03802 0.00311 -0.01183 
156122103260120 1375030624423415642 0.02094 -0.00009 -0.02251 
156122177516185 1375030624486709099 0.03162 0.02127 -0.02251 
156122255556777 1375030624550582390 0.01559 0.017 -0.00969 
156122296515117 1375030624613814812 0.00598 0.01379 -0.00648 
156122362957968 1375030624677688103 0.01346 0.01166 -0.01396 
156122430774236 1375030624741012078 0.00491 -0.00223 -0.02357 
156122505243944 1375030624804824334 0.01025 0.00098 -0.02037 
156122540220290 1375030624868117791 -0.01111 -0.01718 -0.01289 
156122582155282 1375030624931991082 -0.00256 -0.01932 -0.00328 
156122671732575 1375030624995284539 -0.06558 -0.04388 0.02983 
156122710340847 1375030625059127312 -0.01645 -0.0332 0.01701 
156122773518017 1375030625122420769 -0.04956 -0.04602 0.02449 
156122863522594 1375030625186233025 -0.07733 -0.07059 0.06294 
156122914003292 1375030625249526482 -0.10724 -0.04282 0.11742 
156122978340236 1375030625313399773 -0.18414 -0.07379 0.18257 
156123026806586 1375030625376662713 -0.12433 -0.09302 0.16548 
156123091021450 1375030625440746048 -0.00577 -0.03214 0.04478 
156123154137580 1375030625504039505 0.03696 0.01593 0.0042 
156123217619955 1375030625567882278 0.00812 0.03302 0.02769 
156123303778966 1375030625631480911 -0.00577 0.02661 0.0341 
