#SysTm EventTmStmp Ori:x Ori:y Ori:z
197103951318169 1378672931040051358 0.3634646 -0.0039381385 0.0043999995 
197103993314201 1378672931294323819 0.36183712 -0.004075993 0.0033957127 
197104047426821 1378672931357495206 0.3609575 -0.0041485596 0.003431425 
197104111367000 1378672931421460050 0.36003718 -0.004175841 0.0034763468 
197104166578355 1378672931484631436 0.35961014 -0.004161002 0.0036917587 
197104230060729 1378672931548565763 0.35864568 -0.0042616185 0.0037843375 
197104294916521 1378672931612010577 0.3577049 -0.004226394 0.0038298166 
197104358582017 1378672931675914386 0.35680398 -0.0043847472 0.003878688 
197104425299552 1378672931739146807 0.3560884 -0.004260716 0.0038334015 
197104489789098 1378672931803111651 0.3556302 -0.004136639 0.0038610252 
197104550616199 1378672931866252520 0.3551013 -0.0041136406 0.0039230087 
197104614464818 1378672931930217364 0.35476843 -0.004156715 0.0040552253 
197104677611469 1378672931993388751 0.35404354 -0.0040944614 0.003996914 
197104775001978 1378672932057384112 0.35337514 -0.0040768515 0.0039579845 
197104801951466 1378672932118907550 0.3530092 -0.0040107355 0.0040228344 
197104865800084 1378672932184520343 0.35245097 -0.0040021148 0.004007304 
197104929160378 1378672932247691729 0.35191137 -0.0039310805 0.0039870553 
197104993436282 1378672932311687091 0.35161462 -0.00386653 0.00406907 
197105056369290 1378672932374827960 0.351162 -0.0039277114 0.0041352045 
197105122384855 1378672932438715888 0.35034582 -0.004039262 0.004144859 
197105183425600 1378672932501948310 0.34978732 -0.0041200756 0.0042407173 
197105248464513 1378672932565913154 0.34912813 -0.004192582 0.0041950652 
197105361328850 1378672932629084541 0.34835738 -0.004313074 0.0041293395 
197105377046843 1378672932693018867 0.34761855 -0.004428237 0.0040750676 
197105439918809 1378672932756251289 0.34690526 -0.004392788 0.004009073 
197105502821297 1378672932820124580 0.34565213 -0.0044121104 0.0038113093 
197105564869213 1378672932883357002 0.34519747 -0.004285172 0.0038158714 
197105628687313 1378672932947291328 0.3447239 -0.0042476826 0.0037901378 
197105692230727 1378672933010523750 0.34419984 -0.004250601 0.003786102 
197105755926744 1378672933074427558 0.34346497 -0.0042341286 0.0036819167 
197105823285206 1378672933137629463 0.34303072 -0.004295455 0.0037712413 
