#SysTm EventTmStmp Mag:x Mag:y Mag:z
42512425302521 42512423845000 -3.24 -38.399998 -18.24 
42512491955645 42512490568000 -2.9399998 -38.46 -17.699999 
42512558435312 42512557298000 -2.76 -38.399998 -17.16 
42512625335187 42512624037000 -2.52 -38.52 -16.44 
42512692285312 42512690813000 -2.34 -38.64 -15.96 
42512759477104 42512757496000 -2.04 -38.64 -15.54 
42512826839479 42512824766000 -1.92 -38.7 -15.24 
42512893695354 42512891495000 -1.74 -38.52 -14.759999 
42512958827104 42512957706000 -1.4399999 -38.399998 -14.5199995 
42513028354854 42513024550000 -1.1999999 -38.28 -14.219999 
42513092668562 42513091319000 -0.96 -38.16 -13.98 
42513159088437 42513158059000 -0.84 -37.86 -13.679999 
42513225785396 42513224771000 -0.78 -37.62 -13.5 
42513294409604 42513292517000 -0.65999997 -37.44 -13.5 
42513360351896 42513359182000 -0.53999996 -37.079998 -13.559999 
42513426546105 42513425102000 -0.53999996 -37.079998 -13.62 
42513493607521 42513491939000 -0.35999998 -36.719997 -13.679999 
42513563708896 42513558586000 -0.17999999 -36.54 -13.5 
42513626459855 42513625435000 -0.06 -36.12 -13.38 
42513693050063 42513692067000 0.17999999 -35.82 -13.32 
42513760223689 42513758922000 0.35999998 -35.46 -13.259999 
42513826913272 42513825729000 0.42 -35.1 -13.2 
42513894617313 42513893005000 0.35999998 -34.739998 -12.96 
42513960483064 42513959231000 0.59999996 -34.559998 -12.96 
42514026986314 42514025875000 0.59999996 -34.2 -12.84 
42514093950897 42514092635000 0.48 -33.6 -12.78 
42514160487730 42514159393000 0.35999998 -33.059998 -12.66 
42514228713897 42514226297000 0.17999999 -32.64 -12.78 
42514296050980 42514293032000 0.06 -32.219997 -12.78 
42514361489855 42514359582000 -0.24 -31.74 -12.66 
42514428549105 42514427005000 -0.53999996 -31.32 -12.719999 
42514494398355 42514493014000 -0.71999997 -30.779999 -12.719999 
42514561272105 42514560002000 -0.84 -30.599998 -12.84 
42514628387563 42514626732000 -0.84 -30.3 -13.08 
42514696087397 42514693638000 -1.02 -30.179998 -13.44 
42514761705439 42514760306000 -1.0799999 -29.939999 -13.5 
42514828641147 42514827086000 -1.3199999 -29.939999 -13.679999 
42514895311481 42514893761000 -1.5 -29.88 -13.98 
42514962280355 42514961008000 -1.4399999 -29.82 -14.219999 
42515028749980 42515027381000 -1.62 -29.88 -14.28 
42515095102689 42515094082000 -1.56 -29.88 -14.34 
42515162161147 42515160864000 -1.62 -30.179998 -14.46 
42515229154897 42515227795000 -1.68 -30.48 -14.46 
42515295976064 42515294395000 -1.74 -30.779999 -14.4 
42515364392939 42515362751000 -1.68 -31.019999 -14.34 
42515456093689 42515427827000 -1.56 -31.26 -14.219999 
42515496519189 42515495145000 -1.68 -31.439999 -14.099999 
42515562730939 42515561646000 -1.92 -31.619999 -13.98 
42515632344356 42515628465000 -2.28 -31.56 -13.799999 
42515696499356 42515694997000 -2.46 -31.74 -13.799999 
42515762783605 42515761762000 -2.52 -31.8 -13.74 
42515829704105 42515828514000 -2.6399999 -32.04 -13.799999 
42515896228647 42515895207000 -2.52 -32.04 -13.74 
42515963106980 42515962005000 -2.3999999 -32.16 -13.62 
42516030774147 42516029617000 -2.28 -32.34 -13.62 
42516097116397 42516095521000 -2.1599998 -32.46 -13.799999 
42516163980105 42516162986000 -2.28 -32.34 -13.799999 
42516240704189 42516230931000 -2.52 -32.34 -13.92 
42516297531106 42516295838000 -2.58 -32.16 -13.98 
42516363574189 42516362457000 -2.7 -32.1 -14.04 
42516430821397 42516429519000 -3.0 -32.1 -14.099999 
42516497648772 42516496206000 -3.24 -32.34 -14.28 
42516564543647 42516563494000 -3.4199998 -32.399998 -14.28 
42516630656897 42516629509000 -3.6 -32.7 -14.639999 
42516698176481 42516696529000 -3.6599998 -33.12 -14.94 
42516764497773 42516763356000 -3.9599998 -33.18 -14.82 
42516831204231 42516830089000 -4.38 -33.48 -14.82 
42516897733856 42516896709000 -4.7999997 -33.48 -14.82 
42516964509939 42516963443000 -5.22 -33.96 -14.759999 
42517031237898 42517030238000 -5.52 -34.32 -14.94 
42517098242565 42517097355000 -5.8199997 -34.8 -15.0 
42517165146732 42517163788000 -6.12 -35.219997 -14.94 
42517232048231 42517230673000 -6.18 -35.82 -15.0 
42517298560772 42517297342000 -6.12 -36.18 -15.0 
42517365095273 42517364120000 -6.18 -36.6 -15.0 
42517431919689 42517430822000 -6.18 -36.96 -15.059999 
42517498884981 42517497607000 -6.0 -37.44 -15.179999 
42517566068898 42517564429000 -6.18 -37.559998 -15.179999 
42517634272273 42517632369000 -6.0 -38.34 -15.299999 
42517699057773 42517697872000 -5.94 -38.46 -15.179999 
42517765929273 42517764635000 -5.94 -38.7 -15.0 
42517832770773 42517831495000 -5.8799996 -38.94 -14.759999 
42517899363606 42517898199000 -5.64 -39.18 -14.58 
42517966788398 42517965045000 -5.58 -39.42 -14.4 
42518033164981 42518031741000 -5.52 -39.48 -14.5199995 
42518099534648 42518098473000 -5.58 -39.42 -14.34 
