#SysTm EventTmStmp La:x La:y La:z
312697177944848 1379577204676527989 0.50941366 0.3133559 0.6810198 
312697185208696 1379577204740523351 0.10559134 -0.07148576 -0.396595 
312697237642695 1379577205057967198 -0.017533466 0.13127215 -0.048264503 
312697285254477 1379577205121901525 0.044975795 0.021987095 0.22821903 
312697350629116 1379577205186131708 0.07023165 0.12592588 -0.26520634 
312697415240744 1379577205249425165 -0.02037542 0.088134184 0.082728386 
312697475701601 1379577205312596551 0.031880498 0.07783512 0.15192318 
312697539977504 1379577205376500360 -0.06788878 -0.01601062 -0.0750103 
312697603459879 1379577205439702264 0.09518935 0.030658334 -0.22149181 
312697669689089 1379577205503819696 0.0067467466 -0.028726295 -0.022397041 
312697731126598 1379577205566838495 0.07938928 0.07904772 0.093346596 
312697793113473 1379577205630925409 -0.0015889555 0.079721145 -0.23964024 
312697855649715 1379577205693974725 -0.06418774 0.11543922 0.0508461 
312697919559375 1379577205757909051 -0.075713284 0.14069131 -0.0025997162 
312697984872974 1379577205821233026 -0.06639236 0.30063894 -0.25301266 
312698048385868 1379577205885106317 -0.18277271 0.29107583 0.07539749 
312698110922110 1379577205948369256 -0.19147676 0.24239992 -0.01881218 
312698176052584 1379577206012242547 -0.15325837 0.10193364 -0.16929913 
312698237612175 1379577206075352899 -0.052449383 -0.04919052 -0.24988651 
312698301216632 1379577206139348260 -0.0065856315 0.13148466 -0.43118763 
312698364271721 1379577206202489129 0.4315811 0.29509848 0.6026888 
312698430500929 1379577206266637079 0.5282341 0.39524078 -0.070747375 
312698493708620 1379577206329655878 0.6270635 0.5639878 0.11651611 
312698556305904 1379577206393620721 0.46326318 0.47559482 0.44668484 
312698619574635 1379577206456914178 0.678689 0.3241847 0.43650246 
312698684827192 1379577206520756952 1.1522415 1.1286294 -0.5286608 
312698751147961 1379577206584050409 0.48003286 0.081323385 0.096019745 
312698811059452 1379577206648015253 1.2522228 1.2162104 -0.3563938 
312698874633387 1379577206711095086 -0.09185493 -0.15884247 2.8784037 
312698938054720 1379577206775182001 0.17729276 0.50338376 -1.3386297 
312699000590963 1379577206838413085 -0.48695308 -0.27383298 0.094828606 
312699063340850 1379577206902377929 -0.33700275 0.1009773 0.09311199 
312699129844741 1379577206965640869 -0.8018031 -0.5531925 -2.394555 
312699193388157 1379577207029514160 -0.123218775 -0.397824 0.49916172 
312699256199083 1379577207092777099 -1.3050206 -0.40385658 0.6218548 
312699319437293 1379577207156802978 -0.99012804 0.120517485 -1.0220251 
312699382980709 1379577207219852294 -0.7952622 0.2044204 0.11714363 
312699445059146 1379577207283908691 -0.50386614 0.6320565 -0.80470085 
312699511349395 1379577207346988525 -0.625327 0.22818282 -0.48212624 
312699575014892 1379577207411075439 0.37402153 1.0076993 0.5781355 
312699636940728 1379577207474216308 0.57601553 -0.07771775 1.2956266 
312699701369234 1379577207538089599 -0.3918969 -0.36793837 0.63818073 
312699765065251 1379577207601352539 0.44204438 0.01015681 0.4568386 
312699828639186 1379577207665240498 0.6124849 0.29102063 -0.5886307 
312699893006652 1379577207728411884 0.39815855 -0.16771987 0.037823677 
312699956092261 1379577207792346210 0.45315847 0.23983315 -0.40554523 
312700018903187 1379577207855517597 0.6420452 0.68041676 -1.118084 
312700083820019 1379577207919635029 1.0329279 0.80243444 -1.5409708 
312700145440651 1379577207982684345 0.6918708 0.5706202 -0.19598484 
312700209838638 1379577208046771259 0.23678392 0.8082788 0.6794901 
312700273565174 1379577208109912128 -0.041861057 0.56506616 1.6592798 
312700336376102 1379577208173785419 0.30072165 0.41675457 0.6090174 
312700399705873 1379577208237048359 -0.68343717 -0.8949119 2.8555536 
312700464409062 1379577208300891132 -0.72579217 -0.0073501505 -2.2604303 
312700529020691 1379577208364184589 0.17030716 -0.4689809 -0.01890564 
312700591556934 1379577208428240986 -0.034982562 -0.41409644 0.082369804 
312700654581503 1379577208491229267 -0.12356746 0.19799054 -1.5421915 
312700721176955 1379577208555316181 -0.487795 0.17525136 -1.6617184 
312700783835279 1379577208618365498 -0.14930797 0.51760375 -0.32820892 
312700851315823 1379577208682330341 0.013229281 0.10473168 0.8205948 
312700909914937 1379577208745623798 0.11368349 -0.4480303 -0.8636427 
312700973336272 1379577208809527607 -0.049651146 -0.6936916 4.1813707 
312701038375185 1379577208872729511 -0.2386745 -0.6781401 -1.4560719 
312701099263327 1379577208936572285 1.4130181 -0.3456388 0.4275198 
312701163386630 1379577208999743671 0.65901464 -0.056755126 -0.552392 
312701228272941 1379577209063830585 0.27315795 0.12922162 -1.8904257 
312701291511153 1379577209127001972 0.87493587 0.8488656 -2.528428 
312701353742192 1379577209190997333 0.45390272 0.5425037 -0.086523056 
312701416858322 1379577209254046650 -0.06512937 0.64956284 1.5456123 
312701481683594 1379577209318190814 0.030105501 -0.11276543 1.4553394 
312701544921804 1379577209381484271 0.1593397 -0.5068375 4.121463 
312701607427527 1379577209445357562 -1.3861532 -0.2803319 -1.4485254 
312701674541827 1379577209508589984 -0.94390714 -0.4754363 -0.45887947 
312701736345580 1379577209572615863 0.5439137 -0.12835327 0.63491917 
312701799156506 1379577209635787250 -0.02041519 -0.039519504 -1.1352329 
312701862303156 1379577209699752093 0.05537468 0.06699306 -2.2374554 
312701925236164 1379577209762801410 0.056557756 0.08975363 -0.22510433 
312701992167342 1379577209826796771 -0.21586427 -0.46750474 1.471694 
312702052292475 1379577209889968158 -0.38202256 -0.3370127 0.6157656 
312702116415778 1379577209953963519 0.894264 -0.3214202 -0.9537983 
312702179257224 1379577210017256976 -0.49317652 -1.4230002 1.5986509 
312702242953240 1379577210081069232 2.09239 -0.12416121 -0.6043196 
312702305672605 1379577210144191870 0.568738 -0.4288887 0.6379318 
312702369521225 1379577210208248266 0.052787364 0.15989983 -0.9628649 
312702432423712 1379577210271328100 0.5819175 1.1016606 -2.4588366 
312702497859391 1379577210335415014 1.0027502 0.52532256 -0.87199783 
312702560517714 1379577210398464331 0.85390705 1.0837892 0.6068907 
312702644906545 1379577210462703832 0.32228458 0.06298518 1.9124355 
312702772176497 1379577210525844702 0.0700607 -0.5310954 0.5444851 
312702779318264 1379577210589870581 -0.8880309 -1.4474611 1.9071264 
312702815423865 1379577210652767309 -1.5032296 -0.16007158 -1.4503412 
312702879760809 1379577210716793188 -0.14649788 -0.42632928 1.1462927 
312702942846420 1379577210779873022 -0.6314938 -0.47314376 -0.08627224 
312703008221057 1379577210843959936 -0.37034446 0.08402884 -1.1584091 
312703093922262 1379577210907253393 -0.44656238 0.22304916 -1.5456047 
312703155054568 1379577210971248754 -0.5298516 0.046237707 -0.1275549 
312703196623314 1379577211034176000 -0.16429016 0.31753975 -0.09656525 
312703260990781 1379577211098079809 0.01185146 -0.008690357 1.206356 
312703325083562 1379577211161373266 0.41274837 -0.76288056 1.0576487 
312703388688018 1379577211225246557 -0.14157069 -0.9683069 2.9514265 
312703460868699 1379577211288631567 1.1850065 -0.2896595 0.29303455 
312703521909444 1379577211352810034 -0.049613222 -0.42757463 -0.5815096 
312703591465372 1379577211415767797 0.30596238 0.099753976 -2.195941 
312703652689240 1379577211479824194 0.92319506 0.13957715 -0.605258 
312703715256002 1379577211543026098 0.6694468 0.23105049 0.78340626 
312703779592947 1379577211606960424 0.21277988 -0.046870112 1.1201954 
312703841183060 1379577211670162329 0.33143094 -0.14124715 0.39396858 
312703905214800 1379577211734247163 0.85386205 -0.7720961 2.0815048 
312703969399143 1379577211797449067 -0.6442579 -1.1031575 -0.28455734 
312704034224413 1379577211861413911 -0.7027533 -0.35611156 -1.3877077 
312704100789346 1379577211924493745 -0.052738834 -0.5527755 -0.6096525 
312704161769051 1379577211988672212 -0.55032843 -0.32170856 -0.16955662 
312704225861832 1379577212051660493 -0.18063153 0.6055819 -1.7834597 
312704292152081 1379577212115838960 -0.22002888 0.3962294 0.40470028 
312704354322078 1379577212178766206 -0.9168078 0.23116423 1.0613937 
312704415790108 1379577212242822603 -0.6798056 -0.35678735 1.2334061 
312704481836195 1379577212306085542 0.7405187 -0.18041515 0.046566963 
312704533903950 1379577212369653657 -0.57839453 -1.1619703 4.089816 
312704595494061 1379577212432916597 0.29099503 -0.55707884 -1.8642387 
