#SysTm EventTmStmp La:x La:y La:z
521160898875931 1379848325070719737 -0.13473892 0.06694889 0.3427 
521160908764532 1379848325133905723 0.21398735 -0.051944017 -0.016879082 
521160913861434 1379848325261041953 0.040107846 0.00416255 -0.11981678 
521160989918201 1379848325325006797 0.11539388 -0.070598364 0.26637554 
521161041650234 1379848325388147666 -0.012606502 -0.029715776 -0.04085064 
521161105529372 1379848325452112510 -0.037996292 -0.14996982 0.13339901 
521161168309777 1379848325515314414 0.16789067 -0.026989698 -0.17159176 
521161230846022 1379848325579248741 -0.037389874 -0.0065710545 -0.027087212 
521161294694640 1379848325642389610 -0.12442899 0.01403594 -0.1700201 
521161358817942 1379848325706415489 0.03343308 -0.15023398 0.45338535 
521161421873031 1379848325769556358 -0.11782265 0.007885456 -0.19954586 
521161486728822 1379848325833551719 -0.027268171 0.022311449 -0.17788506 
521161549265066 1379848325896723106 -0.018786907 -0.18545008 0.15050888 
521161612900042 1379848325960626914 0.10331726 -0.13817978 0.11070347 
521161675070041 1379848326023828819 -0.03402126 -0.026859522 -0.122709274 
521161740078434 1379848326087793662 -0.05756235 0.03307581 -0.21996593 
521161803621848 1379848326150995567 0.025553584 -0.14214921 0.45828915 
521161865944449 1379848326214960411 -0.04129839 0.005295038 -0.16862965 
521161930800240 1379848326278131797 0.023420691 -0.042433023 0.103152275 
521161994343655 1379848326342066123 -0.06142962 -0.010826111 -0.113695145 
521162057215623 1379848326405237510 -0.106196284 -0.048895597 0.06872845 
521162123933156 1379848326469202354 0.004566312 -0.044846058 -0.030840874 
521162184607657 1379848326532373741 -0.2659409 -0.08043027 0.05249405 
521162248334194 1379848326596338584 -0.15476358 0.19549036 -0.093185425 
521162311847090 1379848326659509971 -0.20476568 0.13226628 -0.4269247 
521162375298943 1379848326723474815 0.3164178 -0.25201273 0.60050297 
521162438720277 1379848326786858553 0.84819853 -0.42286396 0.6165972 
521162503728670 1379848326850853914 0.024679601 0.09196901 -0.37873745 
521162565807107 1379848326914025301 0.4159211 0.23935342 -0.2991867 
521162629258961 1379848326977959627 -0.13184619 -0.02029705 -0.37112427 
521162693077060 1379848327041131013 0.2613567 -0.10263038 0.5877819 
521162756986719 1379848327105095857 -0.33090556 0.029996872 -0.42175388 
521162821598348 1379848327168297762 0.2011177 0.09381175 0.3583994 
521162883585223 1379848327232232088 0.032168448 0.288373 0.52124214 
521162946670834 1379848327295433992 0.09408581 0.029210329 -0.56040096 
521163011038299 1379848327359398836 -0.14932042 -0.20454383 -0.2225151 
521163074459634 1379848327422539705 -0.46321 -0.37438416 -0.1439991 
521163137880967 1379848327486504549 -0.4154284 -0.17713213 0.28293133 
521163202095829 1379848327549706453 0.0132831335 -0.10077739 0.32742977 
521163264967796 1379848327613624925 0.17109427 -0.08838129 -0.10027313 
521163328907977 1379848327676826829 0.037624836 -0.20830154 -0.040947914 
521163391779945 1379848327740791673 -0.20703536 -0.21251798 -0.25906754 
521163456025328 1379848327803963059 -0.07593475 -0.058852434 -0.2521286 
521163519568743 1379848327867927903 -0.1901225 0.039038897 -0.32942677 
521163582745914 1379848327931129807 0.092999235 0.058652878 0.31461048 
521163646686093 1379848327995064134 0.10707369 0.056592464 0.3569107 
521163717127114 1379848328058357591 0.119076684 0.072734356 0.16615868 
521163783081638 1379848328122505540 0.05277247 0.022086859 -0.17616844 
521163852973290 1379848328185646409 0.13621691 0.090132475 -0.38473225 
521163910168468 1379848328249611253 -0.068443894 -0.105122566 0.14007759 
521164011312983 1379848328312721604 0.010108335 -0.09127855 0.19192791 
521164059352049 1379848328376747483 -0.06729236 -0.096625805 0.34412003 
521164091032195 1379848328439674729 -0.01672956 -0.0050325394 0.017430305 
521164154545091 1379848328503609055 0.00857465 -0.048141718 -0.06828785 
521164220224932 1379848328566780442 -0.057179157 0.010823965 0.15171814 
521164296953147 1379848328630745286 0.020405099 -0.09735799 -0.19582272 
521164344961692 1379848328693916673 0.050945297 0.06633735 -0.48931503 
521164409084995 1379848328757881516 -0.24259384 0.104709625 -0.19509125 
521164475649927 1379848328821052903 0.0407535 -0.024966002 0.14099312 
521164547800087 1379848328885139817 -0.011818185 -0.23080683 0.76869583 
521164612167553 1379848328948219651 0.15774299 -0.06551075 0.08588505 
521164663899583 1379848329012153977 0.21044335 -0.052120924 -0.14042282 
521164726466347 1379848329075325364 0.41523492 -0.026422739 0.028671265 
521164791108495 1379848329139290208 -0.014083162 0.07278061 -0.12826157 
521164860298181 1379848329202431077 0.16073808 0.035273552 0.5395622 
521164927290397 1379848329266913587 -0.13725859 -0.11373615 -0.049510956 
521164993153361 1379848329330023939 -0.08560187 -0.17926407 0.32873058 
521165059291007 1379848329393866712 0.28140262 -0.1948111 0.76234245 
521165132967186 1379848329456977064 0.0861855 -0.03751111 -0.49368572 
521165188117500 1379848329521216566 -0.43544525 -0.17495823 -0.3937664 
521165247265981 1379848329584326917 -0.7585196 -0.5249686 0.27097797 
521165314990687 1379848329648383314 -0.21473902 -0.18551826 -0.2640276 
521165380212723 1379848329711249525 -0.47738597 -0.1804235 -0.14523697 
521165426206923 1379848329775183851 -0.6068548 -0.47130132 0.13054657 
521165489231493 1379848329838324720 0.39245367 0.35742354 -0.88673687 
521165557017240 1379848329902350599 -0.5732373 -0.048102856 -0.90514755 
521165634111700 1379848329965735609 -0.7672436 -0.43138313 0.30333614 
521165707299553 1379848330029730970 0.39494228 0.24915862 0.71958256 
521165769835795 1379848330092841322 0.6919291 0.38951135 0.51074696 
521165808566149 1379848330156729604 0.6467137 0.39237285 0.2233429 
521165872231645 1379848330219870474 0.3789262 0.4875133 -0.43210888 
521165936354948 1379848330283865835 0.00929898 0.034513474 -0.6256151 
521166000936056 1379848330347037222 0.23517215 0.021606207 -0.07359123 
521166067623068 1379848330410941030 -0.033062637 0.07797003 -0.18425941 
521166127046234 1379848330474173452 -0.3264305 0.07860589 -0.29685688 
521166192481912 1379848330538117539 -0.39196724 -0.02706027 0.05021 
521166261610555 1379848330601288926 -0.21547097 0.019803762 0.2842512 
521166317401796 1379848330665253770 -0.2821045 -0.058696747 0.2869053 
521166386469398 1379848330728455674 -0.106417716 0.047825813 -0.20680904 
521166443573016 1379848330792420518 -0.1667425 -0.021530628 -0.2815752 
521166506506023 1379848330855561387 -0.5854485 0.10327935 -0.44634533 
521166570140999 1379848330919556748 -0.06611568 0.12003875 0.18234825 
521166644580189 1379848330982880723 0.4051336 0.27380037 0.47876263 
