#SysTm EventTmStmp Light
41930236647662 41929742472000 67.0 
41930248618745 41929818724000 69.0 
41930259931370 41929875909000 64.0 
41930269255953 41929942576000 67.0 
41930280408454 41930009213000 71.0 
41930293490995 41930075966000 67.0 
41930326481203 41930142578000 64.0 
41930360524287 41930209104000 64.0 
41930423089245 41930275845000 67.0 
41930436134620 41930343373000 71.0 
41930448428703 41930409095000 66.0 
41930486390620 41930475836000 66.0 
41930542817037 41930542524000 61.0 
41930609400787 41930609094000 69.0 
41930676085620 41930675788000 71.0 
41930742825412 41930742498000 67.0 
41930809379037 41930809091000 61.0 
41930881446995 41930880939000 64.0 
41930942926453 41930942533000 67.0 
41931009394453 41931009117000 64.0 
41931076232204 41931075878000 62.0 
41931142862370 41931142478000 64.0 
41931209470203 41931209116000 61.0 
41931278267287 41931275922000 61.0 
41931342750537 41931342428000 57.0 
41931410228454 41931409850000 64.0 
41931476467120 41931476063000 50.0 
41931542795662 41931542507000 57.0 
41931609461995 41931609144000 61.0 
41931677578412 41931675885000 50.0 
41931742882245 41931742520000 61.0 
41931809562662 41931809187000 57.0 
41931876598370 41931876029000 50.0 
41931942718329 41931942447000 54.0 
41932009953162 41932009110000 61.0 
41932076087537 41932075799000 61.0 
41932143296537 41932142491000 57.0 
41932210480621 41932210129000 62.0 
41932276259288 41932275857000 61.0 
41932342826329 41932342526000 69.0 
41932409597162 41932409134000 64.0 
41932476200829 41932475865000 71.0 
41932542922579 41932542550000 67.0 
41932617808288 41932609684000 71.0 
41932676421204 41932675844000 69.0 
41932742724787 41932742445000 64.0 
41932809784204 41932809125000 61.0 
41932876744662 41932875894000 62.0 
41932942842746 41932942522000 56.0 
41933009491996 41933009247000 59.0 
41933078319454 41933075958000 54.0 
41933142822996 41933142474000 49.0 
41933209493954 41933209158000 45.0 
41933279048746 41933275874000 42.0 
41933342803663 41933342479000 40.0 
41933409987121 41933409590000 37.0 
41933477467455 41933477116000 42.0 
41933542915080 41933542586000 40.0 
41933609638746 41933609284000 44.0 
41933676228246 41933675949000 44.0 
41933742911580 41933742651000 44.0 
41933809434871 41933809114000 40.0 
41933878478996 41933878113000 39.0 
41933944656371 41933944385000 33.0 
41934009449913 41934009174000 37.0 
41934076093205 41934075836000 37.0 
41934142669496 41934142441000 33.0 
41934209634079 41934209336000 35.0 
41934276141455 41934275875000 37.0 
41934342874539 41934342556000 8.0 
41934409428205 41934409183000 35.0 
41934477396414 41934475896000 30.0 
41934542910539 41934542516000 23.0 
41934609465830 41934609188000 16.0 
41934676312414 41934675924000 18.0 
41934742793371 41934742516000 13.0 
41934809610371 41934809198000 13.0 
41934876237747 41934875837000 13.0 
41934953843538 41934943336000 13.0 
41935020364122 41935011386000 6.0 
41935087214205 41935076182000 13.0 
41935153487288 41935142473000 5.0 
41935219496788 41935209146000 13.0 
41935286780538 41935275851000 4.0 
41935352558455 41935342598000 16.0 
41935419166038 41935409132000 6.0 
41935486732373 41935476386000 8.0 
41935554188122 41935544273000 16.0 
41935622806538 41935609224000 7.0 
41935676082997 41935675826000 11.0 
41935742679038 41935742469000 15.0 
41935809570413 41935809309000 10.0 
41935876810705 41935875873000 10.0 
41935948258705 41935942581000 13.0 
41936037317955 41936009210000 5.0 
41936102888080 41936076487000 10.0 
41936169227497 41936142468000 13.0 
41936222862247 41936209137000 10.0 
41936276150040 41936275874000 13.0 
41936342709165 41936342469000 5.0 
41936409477789 41936409214000 10.0 
41936476315581 41936475926000 13.0 
41936542888581 41936542581000 5.0 
41936609448706 41936609200000 10.0 
41936676156665 41936675899000 10.0 
41936742897165 41936742564000 10.0 
41936809871081 41936809453000 13.0 
41936876328415 41936875973000 5.0 
41936943361831 41936942771000 5.0 
41937009804831 41937009288000 13.0 
41937079225289 41937078489000 13.0 
41937143049789 41937142696000 10.0 
41937209547664 41937209260000 13.0 
41937276902331 41937275914000 13.0 
41937342835414 41937342531000 13.0 
41937409775498 41937409335000 13.0 
41937476140666 41937475843000 5.0 
41937542795248 41937542476000 13.0 
41937609530915 41937609164000 5.0 
41937676356457 41937676013000 13.0 
