#SysTm EventTmStmp Rot:x Rot:y Rot:z
294112494289152 1378840596140333986 0.22201423 -0.145358 -0.6456613 
294112508328523 1378840596394636965 0.2144583 -0.15233244 -0.6447902 
294112564241847 1378840596457808352 0.213538 -0.15298824 -0.64470065 
294112632271756 1378840596521742678 0.21289097 -0.15315199 -0.64537495 
294112688062997 1378840596584914065 0.21180874 -0.15334405 -0.6461066 
294112756031866 1378840596648878908 0.21057448 -0.15286984 -0.6461554 
294112817988221 1378840596712080813 0.2102155 -0.15276353 -0.6456236 
294112882966095 1378840596776045656 0.20968166 -0.15349367 -0.6453074 
294112948127089 1378840596839247561 0.20718947 -0.15413162 -0.6458104 
294113005261228 1378840596903181887 0.20457394 -0.15453039 -0.64667255 
294113066851338 1378840596966292238 0.20385304 -0.15512627 -0.647054 
294113132225976 1378840597030287600 0.2043791 -0.15532039 -0.64671993 
294113194395975 1378840597093458986 0.20446116 -0.15517372 -0.64630663 
294113257603665 1378840597157423830 0.20515081 -0.15475395 -0.64600545 
294113319834704 1378840597220595217 0.2055526 -0.15320295 -0.64706045 
294113393632965 1378840597284560061 0.2057429 -0.15204732 -0.6484478 
294113459709570 1378840597347969490 0.2065212 -0.15084326 -0.64923507 
294113533202628 1378840597411934334 0.20607802 -0.1495331 -0.649817 
294113601842945 1378840597475166756 0.20594713 -0.14923558 -0.6498362 
294113641305786 1378840597539070565 0.20625158 -0.14952461 -0.64959955 
294113713578029 1378840597602241951 0.20669657 -0.14934814 -0.64980966 
294113781638458 1378840597666176278 0.20655948 -0.149718 -0.6501582 
294113846158526 1378840597729347664 0.20682581 -0.15083666 -0.6503109 
294113918888573 1378840597793343026 0.2069048 -0.1515455 -0.650559 
294113968026372 1378840597856544930 0.20629545 -0.15189403 -0.6506626 
294114062670047 1378840597920509774 0.20490982 -0.1529144 -0.6505405 
294114109976624 1378840597983742195 0.20345472 -0.15493964 -0.6501114 
294114154292205 1378840598047676522 0.20280652 -0.15569785 -0.6501866 
