4,1,1,1,136,-0.760233,0.100608,1.154808
4,2,1,3,51,-7.839701,5.903090,0.225852
4,3,1,4,107,-1.780962,0.856841,0.200712
4,4,2,1,149,-6.491886,4.904452,1.047361
4,5,2,2,125,-2.856079,2.028016,1.358055
11,1,1,1,86,-1.733227,0.800994,0.033758
11,2,1,2,94,-1.038751,0.265870,0.017679
11,3,2,1,10,-1.963867,1.041440,0.000125
11,4,2,2,57,-5.834923,4.417325,0.232913
11,5,2,3,80,-7.113104,5.349536,0.157606
11,6,3,1,18,-0.513623,0.023636,0.006565
11,7,3,2,22,-0.830457,0.114975,0.004834
11,8,4,1,52,-2.218608,1.365778,0.205181
11,9,4,2,68,-3.779167,2.967100,0.462747
11,10,5,1,26,-1.287719,0.656218,5.371129
11,11,5,2,54,-7.827874,5.894396,0.216973
2  4,1,2,1,146,-1.544942,0.660141,0.218180
2  4,2,2,2,9,-7.664525,5.775475,0.000940
2  6,1,1,1,47,-7.308850,5.502208,0.540808
2  6,2,1,2,1,18.811316,-14.097183,0.000000
2  6,3,1,3,62,-1.775517,0.881819,0.284049
2  6,4,1,4,52,-4.015320,3.145859,0.883410
3  4,1,1,1,61,-4.068631,3.196220,0.552305
3  4,2,1,2,108,-6.490149,4.886722,0.521841
3  4,3,2,1,83,-1.720581,0.790008,0.034347
3  4,4,2,2,109,-1.010427,0.243014,0.019459
3  4,5,3,1,12,-7.444297,5.601011,0.003350
3  4,6,3,2,70,-2.396618,1.568475,0.521273
3  5,1,3,1,72,-6.719393,5.055791,0.429868
5  6,1,3,1,53,-7.383561,5.560162,0.518734
5  8,1,3,2,50,-6.728977,5.065795,0.334113
6  7,1,5,1,1,18.811316,-14.097183,0.000000
6  7,2,5,2,85,-1.548222,0.697029,0.419491
6  7,3,5,3,59,-7.181482,5.404969,0.877461
6  7,4,5,4,54,-4.107332,3.215336,0.958325
1  2  4,1,1,2,84,-6.812736,5.133837,0.571337
1  3  4,1,1,2,116,-6.434843,4.851272,0.642008
1  3  4,2,4,1,81,-1.716146,0.785981,0.033705
1  3  4,3,4,2,110,-1.008362,0.241682,0.019941
1  4  5,1,3,1,84,-1.048744,0.274307,0.014256
1  4  5,2,3,2,76,-1.704562,0.775712,0.032039
1  4  6,1,1,1,88,-0.997801,0.232374,0.010264
1  4  6,2,1,2,68,-1.708798,0.780910,0.040300
1  4  7,1,4,1,95,-1.032091,0.260474,0.016199
1  4  7,2,4,2,81,-1.716680,0.786721,0.034205
1  4  8,1,1,2,138,-6.382696,4.824725,0.991411
1  4  8,2,3,1,111,-1.006152,0.240325,0.020501
1  4  8,3,3,2,84,-1.724818,0.794861,0.036561
3  4  8,1,2,2,137,-6.374372,4.818576,0.983867
3  4  8,2,3,1,86,-1.730086,0.800191,0.038167
3  4  8,3,3,2,110,-1.008362,0.241682,0.019941
3  5  6,1,1,1,25,-6.786011,5.112830,0.035580
3  5  6,2,1,2,44,-1.049074,0.275077,0.006012
3  5  6,3,1,3,20,-3.289170,2.563871,0.030501
3  5  6,4,1,4,51,-1.742721,0.803353,0.023104
4  5  8,1,3,1,78,-6.752493,5.081748,0.484842
4  5  8,2,3,2,40,-3.376180,2.619729,0.230389
4  5  8,3,4,1,76,-1.704562,0.775712,0.032039
4  5  8,4,4,2,84,-1.048744,0.274307,0.014256
4  7  8,1,1,1,80,-1.713889,0.783951,0.033380
4  7  8,2,1,2,95,-1.032091,0.260474,0.016199
4  7  8,3,3,2,77,-2.975920,2.193064,0.769994
5  6  7,1,1,1,7,-7.361167,5.530118,0.001133
