#SysTm EventTmStmp Rot:x Rot:y Rot:z
184070830707081 1379433734634749140 -0.015798692 0.031105245 0.7787353 
184070845051656 1379433734890272821 -0.018842548 0.029227898 0.7823985 
184070921291547 1379433734953016962 -0.018702164 0.03284742 0.78274965 
184070957793912 1379433735016188349 -0.016400415 0.036832564 0.7832867 
184071023901038 1379433735080122675 -0.014670508 0.040148 0.78386104 
184071110456813 1379433735143294062 -0.014017006 0.042902853 0.78437626 
184071164203189 1379433735207258905 -0.014453966 0.04299678 0.7858396 
184071209800625 1379433735270430292 -0.016445799 0.04051294 0.7872863 
184071274992141 1379433735334425653 -0.018230736 0.037713602 0.78827065 
184071338627118 1379433735397627558 -0.018746866 0.03611602 0.78890663 
184071402445216 1379433735461531366 -0.020014498 0.034747776 0.7889665 
184071473832368 1379433735524702753 -0.021241896 0.032721538 0.78836566 
184071529135282 1379433735588698114 -0.022779059 0.030802913 0.78750944 
184071625732261 1379433735651900019 -0.024429359 0.030031983 0.7870743 
184071654848696 1379433735715803827 -0.026560841 0.02986488 0.7876168 
184071716560888 1379433735778975214 -0.028490195 0.030159146 0.78872323 
184071781233557 1379433735842940058 -0.030043827 0.030383086 0.78989786 
184071847218602 1379433735906141962 -0.031948093 0.031023197 0.79040104 
184071910517854 1379433735970106806 -0.034023374 0.0311691 0.790803 
184071971711202 1379433736033247675 -0.034230094 0.031262133 0.7918205 
184072034735770 1379433736097273554 -0.03318391 0.02769479 0.7933164 
184072098859073 1379433736160533335 -0.03408826 0.025470344 0.79408956 
184072223687395 1379433736224650766 -0.037483726 0.030587252 0.7971263 
184072230462919 1379433736287700083 -0.03877247 0.032649532 0.80156446 
184072288604228 1379433736351664927 -0.038217034 0.031956892 0.80362475 
184072352819090 1379433736414836313 -0.038264476 0.034800116 0.80506015 
184072416240424 1379433736478801157 -0.035689723 0.039354756 0.8057569 
184072482927438 1379433736541972544 -0.032981 0.04023528 0.80338764 
184072544059743 1379433736605937388 -0.02881498 0.038234767 0.7977171 
184072606809630 1379433736669108774 -0.023699265 0.036318127 0.7907334 
184072672123226 1379433736733104136 -0.020832976 0.02700301 0.7821314 
184072767346788 1379433736796275522 -0.021261636 0.015057605 0.7728286 
184072798447047 1379433736860209848 -0.022166945 0.016955473 0.7675293 
184072862265147 1379433736923381235 -0.02002856 0.02178709 0.7652158 
184072927487182 1379433736987452334 -0.013691874 0.020113917 0.7608766 
184072990664352 1379433737050623720 -0.008635008 0.023269774 0.75774163 
184073053566839 1379433737114588564 -0.0037364617 0.0317729 0.7569143 
184073116499847 1379433737177759951 -3.299021E-4 0.03795569 0.7564364 
184073183797269 1379433737241724794 -0.00237668 0.04086331 0.7555932 
184073243434076 1379433737304835146 -0.0051239585 0.04246195 0.75578684 
