11,1,1,1,906,-16.703544,16.984054,7.267993
11,2,1,2,683,-17.775983,6.534025,21.768726
11,3,2,1,701,-16.218511,-0.125920,10.206160
11,4,3,1,934,3.695369,-3.084030,11.100582
11,5,3,2,609,5.767696,8.553225,7.058619
11,6,4,1,241,-13.517786,21.347728,1.009552
11,7,4,2,33,-6.213912,-1.059977,16.016472
11,8,4,3,405,-8.809295,19.842738,2.595136
11,9,4,4,306,3.629594,15.776091,1.502338
11,10,4,5,589,-1.922361,17.591435,3.416404
11,11,5,1,95,-7.389511,-0.277616,0.117713
11,12,5,2,118,2.280651,-8.316559,0.508144
11,13,5,3,85,-4.252972,-0.067423,0.374243
11,14,5,4,89,-9.491894,-0.602386,0.282469
