#SysTm EventTmStmp Ori:x Ori:y Ori:z
21497856577768 1374855806254975372 -1.9388882 -0.4104781 0.15907748 
21497862254557 1374855806260010773 -1.9390011 -0.41064313 0.15913582 
21497867473540 1374855806265076691 -1.9391327 -0.41083512 0.1593037 
21497872173678 1374855806270173126 -1.9392936 -0.41105247 0.15958431 
21497877758906 1374855806275116974 -1.939184 -0.41129962 0.15997104 
21497882550604 1374855806280213409 -1.9393367 -0.41158062 0.16041568 
21497887494904 1374855806285218292 -1.9395522 -0.41184917 0.16087049 
21497892378165 1374855806290284210 -1.9398009 -0.4120994 0.16129446 
21497898604321 1374855806295258575 -1.9398345 -0.41230726 0.1616499 
21497903365499 1374855806300324493 -1.9400972 -0.41246405 0.1619264 
21497908096157 1374855806305329376 -1.940405 -0.4125473 0.16212961 
21497912796294 1374855806310425812 -1.9407321 -0.41257668 0.16221626 
21497918473083 1374855806314179474 -1.9407936 -0.41254896 0.16220367 
21497923203741 1374855806320466095 -1.9412249 -0.41245493 0.16204084 
21497928056480 1374855806325470978 -1.9416139 -0.4123384 0.16182941 
21497933519626 1374855806330567413 -1.942029 -0.4122007 0.16157643 
21497938921732 1374855806335572296 -1.9422591 -0.41206402 0.16134088 
21497946155060 1374855806340577179 -1.9426689 -0.41194978 0.16114442 
21497950855198 1374855806345643097 -1.9431046 -0.41184905 0.1609832 
21497955433253 1374855806350709015 -1.9434834 -0.4117916 0.16085887 
21497960743798 1374855806355683380 -1.9436873 -0.4117667 0.16075692 
21497966054343 1374855806360718781 -1.9440291 -0.41180092 0.16070575 
21497971181765 1374855806365754181 -1.9443074 -0.41188937 0.16074122 
21497976156586 1374855806370850617 -1.9445579 -0.4119956 0.16083393 
21497981497652 1374855806375824982 -1.9446002 -0.41207907 0.16095236 
21497986594554 1374855806380921417 -1.9448249 -0.4121476 0.16103356 
21497991538855 1374855806385865265 -1.9450525 -0.41218847 0.16106413 
21497996666278 1374855806390992218 -1.9452796 -0.4122086 0.1610542 
21498003411280 1374855806395966583 -1.9452051 -0.4122281 0.1610281 
21498008202979 1374855806401001984 -1.9453638 -0.41222867 0.16095354 
21498012750514 1374855806406037384 -1.9455029 -0.41219324 0.1608471 
21498017420131 1374855806411133820 -1.9455956 -0.41211897 0.16070414 
21498022852757 1374855806414856964 -1.9454545 -0.41203383 0.16059232 
21498028468506 1374855806421143585 -1.9455289 -0.41190332 0.1604628 
21498033077082 1374855806426178986 -1.9455733 -0.41180927 0.16039789 
21498038479188 1374855806431275421 -1.9455696 -0.41175342 0.16036813 
21498051999712 1374855806436310822 -1.9454037 -0.411726 0.1603501 
21498058744714 1374855806441285187 -1.9454298 -0.4117518 0.16038217 
21498065794920 1374855806446351105 -1.9453775 -0.41186503 0.16046387 
21498074126982 1374855806451417023 -1.9453304 -0.41203976 0.16059512 
21498082123319 1374855806456391388 -1.945045 -0.41225675 0.1607556 
21498092103481 1374855806461426788 -1.9449617 -0.41250196 0.16096854 
21498103975906 1374855806466492706 -1.9448233 -0.41276795 0.16119464 
21498112033285 1374855806471558624 -1.9447081 -0.41301662 0.16140465 
21498118900369 1374855806476532990 -1.9443347 -0.4132474 0.16157222 
21498123814148 1374855806481598908 -1.9441806 -0.4134543 0.16171618 
21498130711753 1374855806486603790 -1.9440573 -0.41362044 0.16182855 
21498135656053 1374855806491700226 -1.9438457 -0.41378155 0.16191801 
21498142553657 1374855806496674591 -1.9434155 -0.41389868 0.16198018 
21498149176578 1374855806501740509 -1.9432052 -0.4139836 0.16202928 
21498154242959 1374855806506745392 -1.9430301 -0.4140261 0.1620728 
21498158943097 1374855806511841827 -1.9428778 -0.41405842 0.1621349 
21498164406243 1374855806515564972 -1.9424689 -0.41408712 0.16219658 
21498170449277 1374855806521851593 -1.9423009 -0.41417262 0.16231826 
21498175149414 1374855806526917511 -1.9421883 -0.41429195 0.16244099 
21498180612561 1374855806531983429 -1.9420645 -0.41446504 0.16256969 
21498186075707 1374855806536957794 -1.9417212 -0.4146627 0.16269565 
21498192271343 1374855806541993195 -1.9416462 -0.4148962 0.16281094 
21498197093562 1374855806547059113 -1.9416151 -0.41514516 0.16291143 
21498202190464 1374855806552125031 -1.9415535 -0.41542464 0.16303311 
21498208965986 1374855806557099396 -1.9412353 -0.41571763 0.16314724 
21498214581736 1374855806562134796 -1.9411662 -0.41602746 0.16324848 
21498219526036 1374855806567170197 -1.9411077 -0.4163315 0.16334656 
21498224500858 1374855806572266632 -1.9409918 -0.41664574 0.16345371 
21498231154299 1374855806577240997 -1.9406266 -0.41694394 0.1635638 
21498242904642 1374855806582306915 -1.9404749 -0.41725072 0.16367918 
21498253373129 1374855806587800079 -1.9403269 -0.4175899 0.16380396 
21498278247233 1374855806592408234 -1.9401963 -0.41788864 0.16390947 
21498302846652 1374855806597382599 -1.9398327 -0.41821915 0.16403009 
21498318686725 1374855806602448517 -1.9397626 -0.41856655 0.16415957 
21498335228767 1374855806607483917 -1.939726 -0.41893086 0.16428268 
21498351282484 1374855806612549835 -1.9397092 -0.41932234 0.16439947 
21498357081354 1374855806616272980 -1.9394932 -0.41960838 0.16449207 
21498362452940 1374855806622559601 -1.939532 -0.42008808 0.16463467 
21498369106381 1374855806627625519 -1.939614 -0.42044604 0.16474128 
21498377194279 1374855806632691437 -1.9397397 -0.4207883 0.16485988 
21498384091883 1374855806637696320 -1.9395498 -0.42114323 0.1649859 
21498457096614 1374855806642701202 -1.9396694 -0.42151293 0.16510868 
21498462590281 1374855806647767120 -1.9398087 -0.4219176 0.16523136 
21498467778744 1374855806652833038 -1.9399462 -0.42237365 0.1653723 
21498473516574 1374855806657807404 -1.9398417 -0.42287272 0.16549963 
21498479162843 1374855806662842804 -1.940026 -0.42345545 0.16562468 
21498484137664 1374855806667908722 -1.9401937 -0.42411578 0.16574429 
21498489112484 1374855806672974640 -1.9402993 -0.42483643 0.16585866 
21498494758753 1374855806677949005 -1.9401464 -0.42556196 0.1659515 
21498499672533 1374855806683014923 -1.9401758 -0.42629838 0.16602756 
21498504555793 1374855806688111359 -1.940194 -0.42701137 0.16609876 
21498509622174 1374855806693116242 -1.9401916 -0.42767495 0.1661729 
21498515939891 1374855806698090607 -1.9399282 -0.42827654 0.16623771 
21498521158876 1374855806703126007 -1.9398888 -0.42885226 0.16632013 
21498525920054 1374855806708191925 -1.9398098 -0.42941847 0.16640918 
21498530925396 1374855806713257843 -1.9397345 -0.42998365 0.16651912 
21498536815828 1374855806717072540 -1.9394206 -0.43039644 0.16660899 
21498542340015 1374855806723267609 -1.9393092 -0.43113348 0.16677344 
21498547253795 1374855806728333527 -1.9392322 -0.43177834 0.16694853 
21498553083186 1374855806733399445 -1.9391427 -0.4324403 0.16713813 
21498572677265 1374855806738404327 -1.93869 -0.43310884 0.1673317 
21498577865728 1374855806743409210 -1.9385927 -0.43378624 0.16752921 
21498584091884 1374855806748475128 -1.9384923 -0.4344697 0.16771674 
21498590501162 1374855806753541046 -1.9383807 -0.43514833 0.16787912 
21498598222816 1374855806758515411 -1.9379218 -0.43578994 0.1680166 
