#SysTm EventTmStmp Gyro:x Gyro:y Gyro:z
95970173284603 1379325659689131418 0.19023 0.14658 0.10837 
95970182837480 1379325659753279367 -0.03087 -0.0051 0.08487 
95970188300627 1379325659943434396 0.00011 0.0184 -0.07214 
95970247723791 1379325660007399240 -0.09816 -0.07452 -0.18002 
95970313342591 1379325660069166818 -0.24449 -0.19736 -0.45987 
95970369164352 1379325660134474435 -0.68349 -0.40137 -0.34131 
95970441406073 1379325660197645822 -0.50938 -0.02219 -0.00699 
95970495976499 1379325660261671701 0.10799 -0.06598 -0.00058 
95970560923852 1379325660324843088 -0.05864 0.07501 0.02933 
95970629411567 1379325660388960519 -0.04689 -0.06384 0.02719 
95970687125592 1379325660451948801 -0.04796 -0.03394 -0.00058 
95970751462536 1379325660516035715 0.01186 -0.07132 0.03146 
95970815036473 1379325660579237619 0.03856 -0.03607 0.01117 
95970878701969 1379325660643110910 0.03429 -0.06171 0.01331 
95970941573935 1379325660706343332 -0.01164 -0.02539 0.05496 
95971005910880 1379325660770247140 -0.05544 -0.04355 0.06244 
95971068111399 1379325660833388010 -0.11739 -0.06491 0.03574 
95971133486038 1379325660897505441 -0.17186 -0.15356 0.03146 
95971195778117 1379325660960731792 -0.18468 0.00665 -0.09244 
95971259229971 1379325661024696636 -0.10777 0.3399 -0.04437 
95971323444835 1379325661087898540 -0.32353 -0.05103 -0.00165 
95971387140851 1379325661151863384 -0.48375 0.05365 0.0101 
95971452027163 1379325661215126323 -0.28615 0.18823 0.18314 
95971513525713 1379325661278297710 -0.02019 -0.15677 0.38608 
95971576641844 1379325661342232036 0.18489 -0.41525 0.1073 
95971641894399 1379325661406257915 0.1443 -0.2796 0.09769 
95971704583245 1379325661469276714 -0.73689 -0.78909 -0.62863 
95971767790935 1379325661533394146 -0.46452 0.25659 -0.59445 
95971831761637 1379325661596412944 0.5128 0.14124 0.01331 
95971896586907 1379325661660377788 0.1881 -0.88736 -0.23557 
95971959214711 1379325661723610210 0.22441 0.12628 -0.74612 
95972021781473 1379325661787497119 0.2885 0.32281 -0.64465 
95972084897605 1379325661850760058 0.22868 -0.18454 -0.29538 
