#SysTm EventTmStmp La:x La:y La:z
508215895215001 1379835380081736367 -0.14320678 0.073884964 -0.23201418 
508215925033404 1379835380272074502 -0.22298896 0.16429472 -0.39725304 
508215995352342 1379835380336008828 0.0959056 0.08011913 0.31490278 
508216053035846 1379835380399149697 -0.0026444793 0.012354851 -0.3471918 
508216118776729 1379835380463175576 0.070658445 0.035090446 0.1252408 
508216181831818 1379835380526346963 -0.14795011 0.032880306 -0.37183142 
508216243086206 1379835380590311807 0.022231936 0.08094931 0.1342187 
508216306232855 1379835380653452676 -0.17041296 0.14403057 -0.44310617 
508216370478239 1379835380717448037 -0.16486996 0.22945213 0.42359543 
508216434967787 1379835380780619424 -0.054789305 0.10942221 -0.54989815 
508216495825409 1379835380844584268 -0.09117299 0.20566511 0.2724595 
508216560772761 1379835380907755654 -0.038511395 0.17917728 -0.2328744 
508216623522646 1379835380971720498 0.1131475 -0.10120916 0.064733505 
508216687462826 1379835381034891885 0.33062065 -0.2381711 -0.2825203 
508216749907509 1379835381098856729 0.6290618 -0.34268045 0.071146965 
508216814427575 1379835381163309854 -1.0055771 0.1329689 -0.10130024 
508216877574226 1379835381225992959 -0.19640774 -0.15443087 0.118145466 
508216942124813 1379835381289164346 0.25571778 -0.19326735 0.27770567 
508217004386372 1379835381353129189 -0.036640093 -0.2219491 -0.8079481 
508217068753839 1379835381416300576 0.94445586 0.17120934 1.9823675 
508217131534244 1379835381480265420 2.474106 0.64664173 1.4495754 
508217194436731 1379835381543436807 1.73494 0.35847378 1.1318159 
508217259750329 1379835381607550394 -0.030539036 -0.24076462 1.7360153 
508217323080100 1379835381670721781 0.3787439 -0.6402807 -0.5041857 
508217385555303 1379835381734686625 -0.14743686 -0.619843 -0.4327631 
508217449922768 1379835381797858012 -0.5327096 -0.767858 0.7802639 
508217512947336 1379835381861822855 -0.85125804 -0.5719266 0.9015622 
508217578413537 1379835381924994242 0.3160305 -0.9420867 1.8861332 
508217641987472 1379835381988959086 -0.18185818 -0.8566632 -0.3540001 
508217704584755 1379835382052099955 -1.4637196 -0.2774434 -2.1287065 
508217766937877 1379835382116095316 -1.4503965 -0.92105865 -1.0169172 
508217831854709 1379835382179266703 -3.3157184 -1.6071696 -1.3073292 
508217894116268 1379835382243231547 -3.7908795 -2.172223 -2.4973712 
508217957964886 1379835382306402933 -5.5238266 -3.9176831 -2.0220485 
508218024041492 1379835382370398295 -2.804259 -2.1204581 -2.5038452 
508218086364095 1379835382433581987 4.8342533 0.52732515 2.705153 
508218148473051 1379835382497577349 4.8847446 0.9443455 2.5283976 
508218213237281 1379835382560748735 2.683992 0.9096017 0.9275546 
508218275529360 1379835382624713579 1.3033603 0.5050726 -0.8942776 
508218340903998 1379835382687884966 0.66886646 0.14056015 -0.49518728 
508218403745445 1379835382751849810 1.6077609 0.8770385 2.1740189 
508218466098565 1379835382815021196 0.010248184 0.18649244 -0.06433439 
508218529794583 1379835382878986040 0.5757286 -0.027227402 -0.33617353 
508218594589332 1379835382942157427 0.04588121 0.0021138191 -0.41898918 
508218657552861 1379835383006122271 1.402268 0.5500965 -0.19523954 
508218720516390 1379835383069232622 0.6088655 0.2592578 -0.12245512 
508218784426049 1379835383133227983 0.40651655 0.18719435 0.07747221 
508218847694782 1379835383196399370 0.29549438 0.107253075 -0.1789341 
508218921767725 1379835383260638872 0.42372677 0.18445206 0.014307022 
508218981648696 1379835383323749224 0.3879509 0.25588226 -0.53830194 
508219054409263 1379835383387744585 0.56571853 0.25366163 -0.10766411 
508219112459011 1379835383450854937 0.48594224 0.18969297 -0.33550072 
508219175330979 1379835383514911333 0.78445345 0.26777172 0.09918976 
508219264450465 1379835383578052202 0.41780686 0.14495182 -0.3425045 
508219320730033 1379835383642047564 0.43749928 0.1761198 -0.13816786 
508219378749260 1379835383704944292 0.47657675 0.22028685 -0.38358212 
508219423736288 1379835383768878618 0.21148539 -0.045356274 0.20115948 
508219487066062 1379835383832080522 0.53541625 0.22202015 -0.043735027 
508219551891332 1379835383896075884 0.33288854 0.06787777 0.07901144 
508219615984114 1379835383959308306 0.5716311 0.36382818 -0.38832474 
508219694482512 1379835384023299192 0.4974715 0.083610535 -0.12761593 
508219740537753 1379835384086501096 0.5917212 0.0108242035 -0.11487675 
508219811436579 1379835384150465940 -0.014491856 0.18582678 0.05133772 
508219875163116 1379835384213667844 0.6697585 -0.0747447 -0.14906216 
508220011711262 1379835384277846311 0.37522417 0.221385 0.046967506 
508220018425744 1379835384340773557 0.49616176 0.22490215 -0.21162605 
508220055752159 1379835384404738401 0.44819504 0.22985697 -0.22746658 
508220118257882 1379835384467909788 0.3079147 0.12190819 -0.06540394 
508220181801297 1379835384531874632 0.18201646 0.0071144104 -0.0119133 
508220246168762 1379835384595046018 0.16018951 0.054774284 0.08970785 
508220320302747 1379835384659346555 0.40779954 0.196908 -0.21703959 
508220383357836 1379835384722426389 0.1980653 0.28061962 0.0564785 
508220466678453 1379835384786421751 0.2460495 0.020507813 -0.03728485 
508220514320754 1379835384849575567 0.3779193 0.18967009 -0.15435171 
508220574629009 1379835384913631963 0.36943656 0.16245699 -0.17496061 
508220641773829 1379835384976742315 0.2958559 0.047473907 0.021663666 
508220707636793 1379835385040768194 0.37954432 0.08558941 0.09814453 
508220766419029 1379835385103848028 0.24507022 0.11105728 -0.24764109 
508220819707599 1379835385167660284 0.21321729 0.0513587 -0.098368645 
508220881663958 1379835385230801153 0.33436495 0.08302927 0.13837814 
508220945329454 1379835385294765996 0.42569044 0.25389862 -0.16012764 
508221013267804 1379835385357937383 0.21234998 0.056874275 -0.16507626 
508221086272535 1379835385422237920 0.27888668 0.075127125 0.04663849 
508221149419186 1379835385485409307 0.4449305 0.117627144 -0.013707161 
508221212779478 1379835385549282598 0.32744816 0.14058876 -0.2560892 
508221275529363 1379835385612392950 0.32268125 0.15774584 -0.015627861 
508221341544927 1379835385676449346 0.24533938 0.07994747 0.033041954 
508221405057821 1379835385739559698 0.21643391 0.033887863 -0.036299706 
508221484258188 1379835385803585576 0.3621579 0.10852194 0.007463932 
508221530252388 1379835385866482305 0.19435976 0.030508041 -0.10210943 
508221600846009 1379835385930477666 0.23219064 0.09549284 -0.31451082 
508221656209964 1379835385993771123 0.2795249 0.059718132 0.100320816 
508221723263222 1379835386057858037 0.32219782 0.08460522 0.18236971 
508221785891027 1379835386120937871 0.37986103 0.1476245 -0.08871794 
508221835425590 1379835386184750127 0.59265965 0.257473 -0.137362 
508221899243691 1379835386247890996 0.0038978755 -0.035354614 -0.19786406 
508221962787105 1379835386311855840 -0.295055 -0.19871473 0.16799688 
508222025659073 1379835386375027227 -0.2676141 -0.101332664 -0.0608387 
508222105775049 1379835386439022588 0.17610615 0.13362408 -0.012789726 
508222170508760 1379835386502465797 0.375628 0.14655733 -0.06239319 
508222233228125 1379835386566552711 0.29291666 0.0861969 -0.08980179 
508222294055227 1379835386629663063 0.18320566 0.055791855 0.021155357 
508222354973889 1379835386693719459 0.26510242 0.0562644 -0.041563988 
508222421905067 1379835386756799293 0.33957478 0.15595245 -0.05086422 
508222486303052 1379835386820794655 0.24258044 0.116761684 -0.087340355 
508222549999070 1379835386883935524 0.022865087 -0.039245605 0.04994297 
508222614397055 1379835386947991920 0.29128185 0.12358379 -0.0013055801 
508222673484495 1379835387011041237 0.19485715 0.104026794 -0.16462708 
508222744902167 1379835387075097633 0.13739374 0.058599472 0.086268425 
508222789675553 1379835387138177467 0.10721254 0.033413887 -0.04798317 
508222856148924 1379835387201959205 0.13357246 0.06554842 -0.014282227 
508222916060414 1379835387265175406 0.22343339 0.12229967 -0.095923424 
508222982930550 1379835387329170767 0.19712085 0.043766975 0.0057201385 
508223055416435 1379835387392342154 0.30465287 0.078341484 -0.04909706 
508223111604440 1379835387456276480 -0.028154537 0.008979797 0.028406143 
508223172034778 1379835387519447867 0.40442383 0.13452435 0.23733807 
508223244307019 1379835387583443228 0.47966143 0.10420847 0.049925804 
508223310231023 1379835387646584098 0.6727557 0.1201992 0.063485146 
508223369745750 1379835387708870475 0.19513267 0.23462915 -0.12164116 
508223435425590 1379835387773903433 -0.7226728 -0.071299076 -0.36675262 
508223499274210 1379835387838051383 -0.8649126 -0.27365685 -0.17047119 
508223565167694 1379835387901100699 -0.106821895 -0.065244675 0.3386836 
508223634113215 1379835387965218131 0.16562259 0.07565594 0.15671921 
508223694329910 1379835388028236930 -0.47851932 -0.22195864 -0.121650696 
508223760314955 1379835388092232291 -0.34224868 -0.06344366 0.034041405 
508223820501128 1379835388155373160 -0.35496342 -0.034652233 -0.012523174 
508223885051717 1379835388219490592 -0.069006324 -0.0011458397 0.3445263 
508223946000900 1379835388282539908 0.07063937 0.0112428665 0.08626652 
508224012016464 1379835388346596305 0.21515489 0.22274256 -0.40205908 
508224075010515 1379835388409584586 -0.08934522 0.11228752 -0.07625437 
508224135257730 1379835388473763053 -0.35966992 -0.13713169 -0.3362546 
508224203226599 1379835388536781851 -0.21399903 -0.108697414 0.19824696 
508224265762842 1379835388600899283 -0.10884309 -0.014077663 0.24347973 
508224329092614 1379835388663948600 0.12632287 0.039239883 -0.013089657 
508224394131527 1379835388727974478 -0.08828211 -0.020375252 -0.461545 
508224454104059 1379835388791023795 0.2031579 0.22506714 0.15328693 
508224508430321 1379835388854775016 -0.036528945 -0.083406925 0.50672436 
508224571851656 1379835388917151640 -0.5316205 -0.16636944 -0.4216404 
508224635608713 1379835388982062529 0.022117138 -0.021031857 -0.48218536 
508224699579414 1379835389045203398 0.21405852 0.3492632 0.6189394 
508224847938943 1379835389109198759 -0.4128754 -0.21478415 -0.04474449 
508224865457636 1379835389172370146 0.058351398 0.0032720566 -0.23486948 
508224887005021 1379835389236334990 -0.33788276 -0.055494785 -0.22706127 
508224949999070 1379835389299506377 0.29174578 0.1262722 0.43856907 
508225014122372 1379835389363471220 -0.050883174 -0.04411888 -0.10373211 
508225078184633 1379835389426612090 -0.075045586 0.015030384 -0.12945795 
508225154943368 1379835389490973662 -0.12361467 0.010727406 0.033970356 
508225216106196 1379835389554022978 0.095606804 0.033258438 0.15979862 
508225286364092 1379835389618109892 0.0029776096 0.032344818 -0.1712923 
508225367304119 1379835389681189726 -0.043861628 -0.032442093 -0.060552597 
508225395688065 1379835389744955648 -0.1393174 -0.0131316185 0.110981464 
508225459506164 1379835389808127035 -0.12987077 -0.076793194 0.10907745 
508225522835938 1379835389872091878 0.08656299 0.057043552 -0.0900197 
508225590713245 1379835389935263265 -0.053298354 0.0138401985 0.011612415 
508225663748496 1379835389999472249 -0.048568845 -0.034417152 0.21281242 
508225729886143 1379835390062643636 0.068856955 0.08265638 -0.099387646 
508225791873019 1379835390126333822 0.033854365 0.0027284622 0.024442196 
508225854439783 1379835390189749349 -0.14477348 -0.063827515 -0.10013342 
508225914137630 1379835390253805745 0.071071744 0.055674076 0.10451889 
508225981129848 1379835390316916097 -0.029905438 0.08353472 -0.10649824 
508226048061026 1379835390380911458 0.10659051 0.029054165 0.09870148 
508226107941995 1379835390444021810 -0.21740913 -0.042008877 -0.11828518 
508226173347153 1379835390508047689 0.04852271 0.012094021 0.2521143 
508226241163420 1379835390571127523 0.047645926 0.048573494 -0.1881733 
508226299426811 1379835390635183919 -0.19406211 -0.05796337 -0.013478756 
508226363763757 1379835390698263753 0.043393493 7.5674057E-4 0.18548346 
