4,1,1,1,216,-3.221539,-1.808068,0.041001
4,2,1,2,334,-2.945556,-0.312461,0.070671
4,3,1,3,272,-1.296632,-0.139375,0.155347
4,4,2,1,265,0.255486,-1.182297,0.308226
4,5,2,3,494,-2.320799,-1.311307,0.698875
9,1,1,1,36,-1.451382,-0.167508,0.000389
9,2,1,2,79,-3.022714,-0.709804,0.310179
9,3,1,3,37,-1.382110,-0.166097,0.000411
9,4,2,3,382,-2.833670,-1.082797,0.573887
9,5,3,1,115,-0.332690,-1.272188,0.533335
9,6,3,2,176,-3.233365,-1.492487,0.220021
9,7,4,1,137,-1.762520,-1.310635,0.050874
9,8,4,2,132,-1.042752,-0.106623,0.165976
9,9,4,3,146,-3.026634,-0.344450,0.041587
9,10,4,4,61,0.462734,-1.263887,0.000864
9,11,4,5,57,-3.177030,-1.642103,0.101970
11,1,1,1,272,-1.296632,-0.139375,0.155347
11,2,1,2,334,-2.945556,-0.312461,0.070671
11,3,1,3,216,-3.221539,-1.808068,0.041001
11,4,2,1,494,-2.320799,-1.311307,0.698875
11,5,2,3,265,0.255486,-1.182297,0.308226
19,1,1,3,614,-2.865833,-1.486013,0.367022
22,1,1,1,321,-2.913818,-0.242628,0.205912
22,2,1,2,541,-1.430110,-0.673701,0.576230
22,3,1,3,245,0.341506,-1.245764,0.079445
22,4,1,4,451,-3.128213,-1.576815,0.124934
1  4,1,1,1,148,-1.474826,-0.168789,0.024723
1  4,2,1,2,56,-0.616397,-0.038533,0.017285
1  4,3,1,3,266,-3.097264,-0.995043,0.597024
1  4,4,2,1,183,-2.915811,-0.283168,0.060249
1  4,5,2,2,70,-1.488383,-0.159573,0.073893
1  4,6,2,3,99,-3.211186,-1.798028,0.051425
1  4,7,3,1,198,-0.287703,-1.249847,0.591297
1  4,8,3,2,191,-2.674869,-1.358570,0.369550
1  4,9,4,1,194,-2.574519,-1.347374,0.332273
1  4,10,4,3,121,0.421889,-1.264571,0.031168
1  7,1,2,1,229,-0.385387,-1.147089,0.718488
1  7,2,2,3,218,-2.751342,-1.438761,0.384622
4  5,1,2,1,296,-2.917195,-0.282375,0.058073
4  5,2,2,2,138,-3.228603,-1.804931,0.034511
4  5,3,2,3,272,-1.296632,-0.139375,0.155347
4  7,1,2,2,230,0.294201,-1.253966,0.141319
4  7,2,2,3,344,-2.253922,-1.327538,0.692497
4  7,3,4,1,44,-1.982944,-1.320080,0.004085
4  7,4,4,2,94,-3.080140,-1.327289,0.089451
4  7,5,4,3,22,0.413463,-1.047846,0.201944
4  7,6,4,4,25,-1.049504,-1.280210,0.048361
4  7,7,4,5,9,-0.908911,1.195137,0.790510
4  8,1,1,1,127,-1.690627,-1.307073,0.145535
4  8,2,1,3,111,-3.034461,-1.369182,0.066368
4  8,3,1,4,123,0.413055,-1.238981,0.078215
4  8,4,3,2,188,-2.695222,-1.359346,0.358039
4  8,5,3,3,200,-0.302150,-1.250426,0.597332
4  8,6,4,1,73,-1.510152,-0.160685,0.080567
4  8,7,4,2,191,-2.918637,-0.283878,0.057906
4  8,8,4,3,101,-3.210640,-1.802314,0.050845
5  7,1,1,1,386,-1.342732,-0.496227,0.636331
5  7,2,1,3,159,0.325535,-1.243582,0.111651
6  7,1,3,1,421,-1.078954,-0.729451,0.867187
7  8,1,2,1,223,-2.747380,-1.438036,0.386299
7  8,2,2,2,240,-0.391824,-1.157892,0.708262
