#SysTm EventTmStmp Gyro:x Gyro:y Gyro:z
6844095116916 1375077920921096000 0.09293 0.01405 -0.04524 
6844110193980 1375077920984908256 0.16342 -0.21986 -0.05913 
6844115779208 1375077921048232231 0.09293 -0.08742 -0.06447 
6844140836434 1375077921112075004 -0.0032 0.03648 -0.04951 
6844166351465 1375077921175368461 -0.03311 0.09737 0.00389 
6844231359859 1375077921239302788 -0.07263 -0.03508 0.03273 
6844293804540 1375077921302504692 -0.0737 -0.16219 0.09575 
6844357561597 1375077921366377983 -0.04807 0.03862 0.04982 
6844422783634 1375077921429640922 -0.10468 -0.04149 0.12245 
6844484129581 1375077921493483696 0.01709 0.076 0.17906 
6844547123630 1375077921557051811 -0.06409 0.05144 0.10323 
6844611002770 1375077921620619926 -0.25955 0.14436 0.00603 
6844675217632 1375077921683943901 -0.19119 -0.05537 -0.04631 
6844739615619 1375077921747750814 -0.20935 -0.10237 -0.01213 
6844805814306 1375077921811044271 -0.06622 -0.10558 0.07118 
6844864962788 1375077921874887044 -0.18478 -0.21559 0.11711 
6844928078918 1375077921938180501 0.04913 -0.33949 0.06157 
6844992080139 1375077922001992757 0.07904 -0.08101 -0.08263 
6845055898237 1375077922065438802 0.16235 0.02794 -0.11894 
6845121120272 1375077922129190023 -0.05875 -0.46553 -0.22789 
6845183687036 1375077922192422445 -0.05875 0.19243 -0.03029 
6845247260972 1375077922256326253 0.10468 0.54277 0.16731 
6845310651784 1375077922319589193 0.23392 0.22768 -0.04631 
6845374408843 1375077922383401449 0.08224 -0.05751 -0.27916 
6845437524972 1375077922446725423 -0.57571 -0.01051 -0.12642 
6845504913956 1375077922510598714 -0.20721 0.43916 -0.0634 
6845564825446 1375077922573831136 -0.04593 -0.05965 0.03487 
6845628826668 1375077922637673909 0.19119 -0.05217 -0.0869 
6845691393430 1375077922700997884 0.29587 -0.04683 -0.00359 
6845755486211 1375077922764810140 0.26489 -0.23161 0.17906 
6845820280962 1375077922828134115 -0.36209 0.03328 0.21858 
6845882725644 1375077922892007406 -0.345 -0.27647 0.19722 
6845945658652 1375077922955209310 0.04059 0.31419 -0.1339 
6846009842995 1375077923019113118 -0.10681 0.79912 0.16945 
6846073203288 1375077923082406575 -0.60883 0.79485 0.33287 
6846137021386 1375077923146249349 0.3418 -0.05431 -0.25139 
6846201388852 1375077923209512288 0.09399 -0.50078 -0.25032 
6846264443942 1375077923273385579 0.1944 -0.49437 -0.22148 
6846327224347 1375077923336679036 -0.22644 -0.04149 0.0605 
6846392354822 1375077923400521810 -0.2243 0.06319 -0.00572 
6846454952105 1375077923463815267 -0.08972 -0.17821 -0.14458 
6846519014366 1375077923527658040 -0.2211 -0.37581 -0.07408 
6846581977896 1375077923590920980 -0.12604 -0.73897 -0.15739 
6846650251968 1375077923655029875 0.20828 -0.05537 0.04448 
6846709766694 1375077923718353850 0.07477 -0.01585 -0.28023 
6846772516579 1375077923782166106 -0.05447 -0.44844 -0.36568 
6846835846353 1375077923845490080 0.4187 -0.05751 -0.07622 
6846899817052 1375077923909332854 0.21683 0.35051 0.00069 
6846966443025 1375077923972595793 0.18799 0.123 0.14168 
6847028979268 1375077924036530119 0.38452 0.1497 0.24315 
6847096581892 1375077924099732024 0.12924 0.25865 0.28587 
6847153319266 1375077924161865813 0.19119 0.06746 0.40443 
6847218175056 1375077924226898772 -0.01282 0.30779 0.40977 
6847281779512 1375077924290741545 -0.03738 -0.42174 0.19188 
6847344376796 1375077924354096037 -0.04059 0.02153 0.14061 
6847412437227 1375077924417877776 0.05341 0.04076 0.11177 
6847474179940 1375077924481171233 0.25208 -0.0778 0.08614 
6847536075254 1375077924544983488 0.12924 -0.03615 -0.04738 
6847598458896 1375077924608333727 0.06516 -0.16859 -0.0634 
6847664688104 1375077924672145983 0.10681 -0.15257 -0.11253 
6847728628284 1375077924735439440 0.00107 0.02901 -0.08049 
6847798001090 1375077924799282213 -0.43793 -0.26472 -0.28343 
6847856264481 1375077924862575670 0.12711 0.50218 -0.06874 
6847921791720 1375077924926448961 -0.00107 -0.18889 -0.20653 
6847982008415 1375077924989833971 0.06729 -0.01265 -0.25459 
6848046803167 1375077925053524156 0.07477 0.45305 -0.21614 
6848106653616 1375077925116970201 0.12177 0.10591 0.07973 
6848171570448 1375077925180660387 0.01495 -0.19209 0.07439 
6848234228772 1375077925243953844 -0.03952 0.09737 0.09575 
6848299817052 1375077925307827135 0.02563 0.17427 0.19295 
6848361590287 1375077925370082994 -0.10468 -0.01799 0.20363 
6848432763794 1375077925434932848 -0.03525 0.03328 0.14702 
6848491637593 1375077925498256822 -0.20935 -0.28716 0.24529 
6848552342613 1375077925562069078 -0.01602 0.06105 0.07439 
6848615641865 1375077925625362535 -0.09613 0.41566 0.11604 
6848679765168 1375077925689235826 0.24139 0.31206 0.05089 
6848747093109 1375077925752590318 0.3183 0.076 0.12459 
6848810148198 1375077925816402574 0.31296 -0.2925 0.10216 
6848873966297 1375077925879634996 0.1506 -0.04256 0.07652 
6848936319417 1375077925943569322 -0.20294 0.03648 -0.14885 
6849002243422 1375077926006771227 -0.52124 -0.47514 -0.41481 
6849065542674 1375077926070705553 -0.0032 0.26186 -0.13496 
6849125148961 1375077926133907457 0.03525 -0.28502 -0.11467 
