#SysTm EventTmStmp Light
6844582099976 1375077921593520317 6.0 
6844709797215 1375077921720681722 14.0 
6844837067168 1375077921847787435 18.0 
6844963665671 1375077921975045736 7.0 
6845090996665 1375077922102059896 1.0 
6846362780580 1375077923373452718 2.0 
6846489470646 1375077923500558431 3.0 
6846616679559 1375077923627960783 8.0 
6846743644307 1375077923755097014 28.0 
6846870761658 1375077923882233244 42.0 
6846998886181 1375077924009552580 62.0 
6847124965840 1375077924136566740 86.0 
6847253883892 1375077924262695891 105.0 
6847379902509 1375077924390808684 111.0 
6847506531534 1375077924517914397 92.0 
6847634595017 1375077924645046373 3.0 
6847761498726 1375077924772213121 1.0 
6849159850624 1375077926170742174 2.0 
6849287334221 1375077926297878404 3.0 
6849414970417 1375077926425136705 7.0 
6849542087769 1375077926552597702 18.0 
6849674424102 1375077926680161178 50.0 
6849803891521 1375077926806778610 77.0 
6849922341087 1375077926933823288 92.0 
6850049458438 1375077927060929001 83.0 
6850178254409 1375077927188217819 2.0 
6850304852914 1375077927315354049 1.0 
6852338272721 1375077929349828601 2.0 
6852465267990 1375077929476812244 3.0 
6852592293780 1375077929603948474 11.0 
6852721150793 1375077929731054187 41.0 
6852847047329 1375077929858251453 75.0 
6852973889995 1375077929985326648 106.0 
6853101159948 1375077930112462878 110.0 
6853228216258 1375077930239629626 98.0 
6853355516732 1375077930366853145 59.0 
6853482450961 1375077930493958858 6.0 
6853610422881 1375077930621735957 1.0 
6854753929672 1375077931765321162 2.0 
6854881413267 1375077931892518428 3.0 
6855008439057 1375077932019624141 13.0 
6855135709010 1375077932146760371 51.0 
6855263070524 1375077932274099236 85.0 
6855389852150 1375077932401174431 115.0 
6855517030541 1375077932528280144 120.0 
6855643964770 1375077932655446892 111.0 
6855771326284 1375077932782613640 28.0 
6855899450808 1375077932909871941 1.0 
6857047169409 1375077934054021048 2.0 
6857305188636 1375077934308507132 3.0 
6857428857186 1375077934434849906 8.0 
6857554875804 1375077934562535453 38.0 
6857682908765 1375077934689941981 77.0 
6857809079984 1375077934816956141 109.0 
6857932840094 1375077934944061854 122.0 
6858076011160 1375077935071381190 117.0 
6858186922194 1375077935198439883 66.0 
6858314192147 1375077935325576114 1.0 
6859842530313 1375077936852310512 2.0 
6859967358634 1375077936978592250 4.0 
6860093987659 1375077937105636928 12.0 
6860221288133 1375077937232773159 31.0 
6860348405485 1375077937359922528 79.0 
6860475614395 1375077937487150311 95.0 
6860603189552 1375077937614194989 98.0 
6860729879617 1375077937741361737 94.0 
6860856996969 1375077937868497967 84.0 
6860984114319 1375077937995634198 69.0 
6861111292711 1375077938122739911 26.0 
6861238471102 1375077938249935472 14.0 
6861365863137 1375077938377346361 16.0 
6861492766844 1375077938504238450 4.0 
6861619945237 1375077938631313646 1.0 
6862510285539 1375077939521297777 2.0 
6862764153997 1375077939775539720 4.0 
6862891362907 1375077939902798021 11.0 
6863018419217 1375077940029812181 42.0 
6863145689170 1375077940157214530 75.0 
6863273844214 1375077940284503348 99.0 
6863401144688 1375077940411639579 101.0 
6863528048395 1375077940538745292 90.0 
6863655257306 1375077940665912040 11.0 
6863783076626 1375077940793353446 2.0 
6863909492009 1375077940920184501 5.0 
6864051625383 1375077941047320731 14.0 
6864162780579 1375077941174421101 11.0 
6864290569377 1375077941301557332 1.0 
6865052846197 1375077942064313679 2.0 
6865181916852 1375077942190595418 3.0 
6865308271194 1375077942318769246 6.0 
6865435571666 1375077942445874959 35.0 
6865566290422 1375077942573041707 66.0 
6865688493993 1375077942700025349 94.0 
6865816069149 1375077942827161580 97.0 
6865943491703 1375077942954297810 92.0 
6866069968126 1375077943081576771 8.0 
6866197543282 1375077943209048694 1.0 
6866451594862 1375077943463015980 5.0 
6866580451874 1375077943590304798 16.0 
6866705890604 1375077943717318958 5.0 
6866833252118 1375077943844455189 1.0 
6867977827123 1375077944988710148 2.0 
6868104913952 1375077945115907413 3.0 
6868231848180 1375077945243013126 9.0 
6868358629807 1375077945370179874 32.0 
6868485838719 1375077945497316105 72.0 
6868613291794 1375077945624421817 117.0 
6868740714349 1375077945751619083 123.0 
6868867801179 1375077945878868705 89.0 
6868994796450 1375077946006096489 15.0 
6869121822238 1375077946133202202 8.0 
6869248725946 1375077946260246879 17.0 
6869503204810 1375077946514580375 9.0 
6869630718928 1375077946641686088 1.0 
6870265847876 1375077947277393535 2.0 
6870392965227 1375077947404529766 3.0 
6870520357260 1375077947531665996 8.0 
6870647535651 1375077947658924297 23.0 
6870774897165 1375077947785968975 47.0 
6870901526191 1375077947913044170 77.0 
6871028857184 1375077948040180400 83.0 
6871283152926 1375077948294452861 32.0 
6871410331317 1375077948421589092 1.0 
6871793636676 1375077948803263984 4.0 
6872048664906 1375077949057505927 0.0 
6873573065943 1375077950584204531 1.0 
