#SysTm EventTmStmp Mag:x Mag:y Mag:z
286972024825621 1378833455651538516 -20.159912 5.279541 -27.359009 
286972066058644 1378833455968951846 -19.73877 5.039978 -28.019714 
286972172300061 1378833456032916690 -19.619751 4.8599243 -28.079224 
286972190948008 1378833456094684268 -19.558716 4.978943 -28.138733 
286972255620676 1378833456159991885 -19.73877 5.0994873 -28.079224 
286972320171265 1378833456223224307 -19.73877 4.9194336 -27.89917 
286972383012711 1378833456287433292 -19.619751 4.8599243 -27.89917 
286972453301128 1378833456350360538 -19.799805 4.978943 -27.719116 
286972509824857 1378833456414264346 -20.098877 5.1589966 -27.539063 
286972573032550 1378833456477496768 -19.979858 5.218506 -27.659607 
286972639200716 1378833456541492129 -20.159912 5.279541 -27.598572 
286972705246802 1378833456604663516 -20.518494 5.1589966 -27.539063 
286972783775721 1378833456668567325 -20.579529 5.279541 -27.418518 
286972827358812 1378833456731769229 -20.458984 5.218506 -27.418518 
286972891237952 1378833456795673038 -20.639038 5.218506 -27.479553 
286972954506683 1378833456858905459 -20.579529 5.1589966 -27.479553 
286973018477383 1378833456922839786 -20.339966 5.1589966 -27.659607 
286973081624035 1378833456986338492 -20.339966 4.9194336 -27.598572 
286973145594734 1378833457050303336 -20.219421 4.798889 -27.479553 
286973208893987 1378833457113535758 -20.039368 4.73938 -27.479553 
286973273383533 1378833457177500602 -19.918823 4.73938 -27.479553 
286973339368578 1378833457240671988 -20.159912 4.8599243 -27.479553 
286973401874302 1378833457303965445 -20.27893 4.6798706 -27.479553 
286973463128688 1378833457367777701 -20.518494 4.6188354 -27.479553 
286973527313031 1378833457431681510 -20.698547 4.73938 -27.418518 
286973590764885 1378833457494913932 -20.878601 4.798889 -27.23999 
286973654216740 1378833457558878776 -20.878601 5.039978 -27.539063 
286973717729634 1378833457622050162 -20.698547 5.039978 -27.539063 
286973805567265 1378833457685953971 -20.698547 4.9194336 -27.418518 
286973844785944 1378833457749186393 -20.698547 4.73938 -27.479553 
286973911930763 1378833457813090201 -20.518494 4.798889 -27.479553 
286973971689653 1378833457876322623 -20.339966 4.9194336 -27.479553 
286974035629832 1378833457940287467 -20.159912 4.73938 -27.359009 
286974098807003 1378833458003428336 -20.159912 4.73938 -27.539063 
286974162747183 1378833458067362662 -20.159912 4.3792725 -27.359009 
286974226168516 1378833458130625602 -20.039368 4.0786743 -27.418518 
286974290474942 1378833458194559928 -20.159912 4.3792725 -27.659607 
286974353255347 1378833458257761832 -19.979858 4.499817 -27.719116 
286974417744894 1378833458321726676 -20.098877 4.4387817 -27.598572 
286974486873538 1378833458384867545 -20.159912 4.559326 -27.539063 
286974567691484 1378833458448832389 -20.098877 4.4387817 -27.719116 
286974607367968 1378833458511973258 -20.039368 4.3792725 -27.659607 
286974671338669 1378833458575938102 -19.979858 4.6188354 -27.659607 
286974734546359 1378833458639225455 -20.098877 4.8599243 -27.719116 
286974798700182 1378833458703159781 -19.979858 4.8599243 -27.598572 
286974868469754 1378833458766361686 -20.159912 4.73938 -27.598572 
286974927099389 1378833458830296012 -19.979858 4.9194336 -27.778625 
286975013929848 1378833458893864127 -20.039368 4.978943 -27.83966 
286975074665389 1378833458957859488 -20.339966 5.1589966 -27.778625 
286975129327375 1378833459020725699 -20.219421 5.279541 -27.719116 
286975179960674 1378833459084537955 -20.098877 5.3390503 -27.719116 
286975259405202 1378833459147739859 -20.098877 5.279541 -27.719116 
286975307078024 1378833459211674186 -19.979858 4.978943 -27.83966 
286975370438317 1378833459274906607 -19.918823 4.978943 -27.719116 
286975456109002 1378833459338871451 -19.918823 4.8599243 -27.659607 
286975497830352 1378833459402042838 -19.859314 4.73938 -27.418518 
286975561465328 1378833459465977164 -19.619751 4.73938 -27.479553 
286975644358659 1378833459529209586 -19.73877 4.798889 -27.539063 
286975760366594 1378833459593265982 -20.039368 4.73938 -27.359009 
286975768149288 1378833459656589957 -20.219421 4.798889 -27.23999 
286975815700030 1378833459720249625 -20.27893 4.978943 -27.23999 
286975878846680 1378833459783421012 -20.27893 5.039978 -27.2995 
286975942847900 1378833459847385855 -20.518494 5.0994873 -27.178955 
286976006025071 1378833459910557242 -20.27893 5.218506 -27.539063 
286976069934730 1378833459974491568 -20.27893 5.279541 -27.418518 
286976133172943 1378833460037723990 -20.098877 5.0994873 -27.539063 
286976197143643 1378833460101658316 -19.859314 5.279541 -27.778625 
286976260442896 1378833460164860221 -19.799805 5.279541 -27.778625 
286976329785181 1378833460228794547 -19.799805 5.1589966 -27.778625 
286976454796626 1378833460291965934 -19.979858 5.039978 -27.719116 
286976461999433 1378833460356022330 -19.799805 5.039978 -27.89917 
286976514555517 1378833460419071646 -19.918823 4.73938 -27.89917 
286976578678818 1378833460483067008 -19.859314 4.6188354 -28.019714 
286976641764427 1378833460546268912 -20.039368 4.73938 -27.83966 
