#SysTm EventTmStmp Pressure
523504758604025 1379850668925047701 992.81433 
523504775786996 1379850669115416354 992.78436 
523504852362609 1379850669179381197 992.7044 
523504893656672 1379850669242613619 992.7544 
523504954727938 1379850669306517428 992.67444 
523505019644770 1379850669369719332 992.7044 
523505083188184 1379850669433745211 992.61444 
523505145938071 1379850669497160738 992.67444 
523505210397097 1379850669560789889 992.67444 
523505273116463 1379850669623991793 992.72437 
523505336904040 1379850669687926119 992.6444 
523505404476146 1379850669751097506 992.72437 
523505462068088 1379850669815092867 992.7544 
523505525794624 1379850669878264254 992.7544 
523505590436773 1379850669942198580 992.72437 
523505653888628 1379850670005400485 992.7544 
523505716730074 1379850670069365328 992.72437 
523505789307519 1379850670132536715 992.72437 
523505874550920 1379850670196440524 992.81433 
523505906414188 1379850670259581393 992.7044 
523505970384889 1379850670323546237 992.7544 
523506034813395 1379850670386839694 992.67444 
523506098845136 1379850670450835055 992.67444 
523506162449592 1379850670514152947 992.72437 
523506225321558 1379850670578117791 992.7544 
523506289292259 1379850670641258660 992.7544 
523506352316829 1379850670705254022 992.67444 
523506416134927 1379850670768425408 992.7544 
523506480197190 1379850670832390252 992.7044 
523506543313319 1379850670895531121 992.6444 
523506607375579 1379850670959526483 992.7044 
523506670522230 1379850671022667352 992.72437 
523506733485758 1379850671086662713 992.72437 
523506799989650 1379850671150261346 992.61444 
523506861549240 1379850671213798944 992.72437 
523506924054964 1379850671276953460 992.7044 
523506990314691 1379850671340918303 992.6444 
523507051599600 1379850671404120208 992.61444 
523507116424870 1379850671468085051 992.7044 
523507178533829 1379850671531225921 992.7044 
523507242412968 1379850671595221282 992.7044 
523507305468056 1379850671658423186 992.72437 
523507369713440 1379850671722357512 992.6444 
523507435027037 1379850671785498382 992.7044 
523507496861312 1379850671850104094 992.67444 
523507560893053 1379850671912573577 992.6444 
523507629960656 1379850671976568938 992.67444 
523507697166515 1379850672039648772 992.67444 
523507792237474 1379850672104223968 992.67444 
523507817996670 1379850672167151214 992.72437 
523507877602957 1379850672230841399 992.6444 
523507940780128 1379850672294012786 992.7044 
523508007711303 1379850672358740569 992.72437 
523508099852308 1379850672421606780 992.72437 
523508162937917 1379850672485602141 992.6444 
523508197609061 1379850672548285247 992.72437 
523508265303247 1379850672612250091 992.67444 
523508327198561 1379850672675482512 992.6444 
523508393610891 1379850672739447356 992.7544 
523508457978358 1379850672802710296 992.7044 
523508518805459 1379850672866583587 992.72437 
523508582623558 1379850672929962494 992.72437 
523508659016050 1379850672993927338 992.7044 
523508722864668 1379850673057129242 992.72437 
523508783386567 1379850673121490815 992.6444 
523508852606771 1379850673184570649 992.72437 
523508910961723 1379850673248230317 992.81433 
523508989490641 1379850673311371186 992.72437 
523509037377105 1379850673375793793 992.7044 
523509099730227 1379850673438843110 992.78436 
523509166600362 1379850673502960541 992.78436 
523509232249683 1379850673566040375 992.72437 
523509319141184 1379850673630066254 992.72437 
523509359458595 1379850673693160196 992.72437 
523509403407932 1379850673756728311 992.72437 
523509466615622 1379850673819930216 992.7044 
523509530708405 1379850673883864542 992.6444 
523509607100897 1379850673947066446 992.7544 
523509701530928 1379850674011489054 992.6444 
523509721094487 1379850674074141641 992.72437 
523509785431432 1379850674138411661 992.72437 
523509850470345 1379850674202071329 992.7544 
523509945022459 1379850674268019815 992.72437 
523509998005825 1379850674329238077 992.7544 
523510056025053 1379850674394179483 992.7544 
523510143649042 1379850674456282755 992.72437 
523510175176586 1379850674520339151 992.72437 
523510230784706 1379850674583693643 992.6344 
523510294511243 1379850674647414347 992.6344 
523510360893053 1379850674712477823 992.60443 
523510438872604 1379850674775374552 992.72437 
523510501225724 1379850674838423868 992.8443 
523510555918232 1379850674899733682 992.7044 
523510614700469 1379850674963393350 992.7044 
523510692313776 1379850675028578897 992.81433 
523510754575335 1379850675091658731 992.7544 
523510815463477 1379850675155715128 992.7044 
523510885935018 1379850675218794962 992.72437 
523510942519788 1379850675282424112 992.72437 
523511027244341 1379850675346173836 992.78436 
523511073696348 1379850675410199715 992.7544 
523511133333156 1379850675473279549 992.7044 
523511199837048 1379850675537274910 992.6644 
523511261091434 1379850675600385262 992.7544 
523511345205581 1379850675664472176 992.7044 
523511373833690 1379850675727185799 992.7044 
523511436339412 1379850675789685799 992.7044 
523511500920520 1379850675854260994 992.78436 
523511567088688 1379850675918195320 992.7544 
523511670796912 1379850675981763435 992.78436 
523511692069613 1379850676045362068 992.6644 
523511755979271 1379850676108533455 992.6644 
523511820499339 1379850676172543255 992.6944 
523511884714202 1379850676235684124 992.6944 
523511952957757 1379850676299710003 992.72437 
