#SysTm EventTmStmp Mag:x Mag:y Mag:z
2323147846045 1375072847536018817 0.059509277 -15.179443 -46.199036 
2323172628587 1375072847600166766 0.47912598 -15.119934 -46.618652 
2323184775695 1375072847663155048 1.3198853 -14.6987915 -46.85974 
2323193260358 1375072847727058856 1.7990112 -14.15863 -46.97876 
2323199883279 1375072847790260761 2.4597168 -13.859558 -47.21985 
2323251859473 1375072847854164569 3.3599854 -13.139343 -46.798706 
2323286774778 1375072847917427509 4.319763 -11.938477 -46.739197 
2323351844212 1375072847981270282 5.819702 -10.198975 -46.618652 
2323417493534 1375072848044533221 7.1395874 -8.758545 -46.4386 
2323481281112 1375072848108437030 7.798767 -7.258606 -46.31958 
2323549585704 1375072848171699969 8.399963 -5.819702 -46.07849 
2323610779051 1375072848235542743 8.938599 -4.499817 -45.899963 
2323671331471 1375072848298836200 9.059143 -3.239441 -45.47882 
2323736217781 1375072848362678973 8.758545 -2.6992798 -45.47882 
2323799425472 1375072848425941913 7.9193115 -2.6397705 -45.17975 
2323867974229 1375072848489815204 6.7199707 -3.2989502 -44.87915 
2323947968125 1375072848553108661 4.978943 -3.3599854 -44.758606 
2323986393273 1375072848616981952 3.3599854 -3.9596558 -44.3985 
2324049784088 1375072848680214374 1.3198853 -4.559326 -44.099426 
2324113724267 1375072848744118182 -0.47912598 -4.9194336 -43.79883 
2324177176120 1375072848807655780 -2.1591187 -5.1589966 -43.499756 
2324241482545 1375072848871254413 -3.4194946 -5.5786133 -43.078613 
2324305453246 1375072848934517352 -4.4387817 -5.6991577 -42.77954 
2324368874580 1375072848998360126 -5.3390503 -5.519104 -42.539978 
2324431288741 1375072849061653583 -5.279541 -5.5786133 -42.23938 
2324495198401 1375072849125526874 -5.3390503 -5.039978 -41.999817 
2324558406091 1375072849188789813 -4.978943 -4.4387817 -41.999817 
2324623628128 1375072849252632587 -4.6798706 -4.4387817 -41.758728 
2324690589824 1375072849315926044 -4.258728 -4.319763 -41.63971 
2324754804688 1375072849379971088 -4.1992188 -3.8986206 -41.578674 
2324812640794 1375072849443234028 -4.019165 -3.779602 -41.279602 
2324877588145 1375072849507137836 -4.019165 -3.5995483 -41.09955 
2324939849705 1375072849570370258 -4.319763 -3.3599854 -40.859985 
2325003728846 1375072849634243549 -4.559326 -3.4194946 -40.79895 
2325068554116 1375072849697537006 -5.5786133 -3.479004 -40.499878 
2325130815676 1375072849761379780 -6.478882 -2.8793335 -40.25879 
2325194023367 1375072849824642719 -7.499695 -2.3986816 -40.078735 
2325258085627 1375072849888546528 -8.399963 -2.0385742 -40.019226 
2325321201759 1375072849951778949 -9.1796875 -1.2588501 -40.019226 
2325385477662 1375072850015957416 -9.899902 -0.35858154 -40.13977 
2325448471711 1375072850078945698 -10.198975 0.17852783 -40.13977 
2325575772183 1375072850142818989 -10.559082 0.95977783 -40.019226 
2325581998339 1375072850206051410 -10.139465 1.5594482 -40.19928 
2325639407161 1375072850269955219 -9.47876 1.979065 -40.379333 
2325702736932 1375072850333336000 -9.059143 2.5787354 -40.559387 
2325766829715 1375072850397148256 -8.639526 3.239441 -40.79895 
2325830159487 1375072850460472231 -8.459473 3.479004 -41.279602 
2325893794465 1375072850524345522 -8.399963 3.5995483 -41.578674 
2325972323382 1375072850587700014 -8.758545 3.718567 -41.999817 
2326037148652 1375072850651573305 -8.81958 3.779602 -42.539978 
2326101699240 1375072850714836245 -9.298706 3.8391113 -43.078613 
2326166616072 1375072850778801088 -9.959412 3.779602 -43.618774 
2326230251049 1375072850841988641 -10.618591 3.4194946 -44.039917 
2326289124847 1375072850905861932 -11.51886 3.1188965 -44.3985 
2326357185278 1375072850969124872 -12.298584 2.8793335 -44.639587 
2326402294388 1375072851032998163 -12.779236 2.3391724 -44.87915 
2326468920360 1375072851096169549 -13.198853 1.8585205 -44.87915 
2326530663074 1375072851160073358 -13.739014 1.4389038 -44.999695 
2326594633774 1375072851223580438 -14.099121 0.8392334 -45.059204 
2326667119658 1375072851287209588 -14.338684 0.23956299 -45.17975 
2326732738458 1375072851350442010 -14.279175 -0.47912598 -45.41931 
2326798387779 1375072851414254266 -14.039612 -1.499939 -45.71991 
2326859733729 1375072851477578241 -14.099121 -2.279663 -45.77942 
2326933470947 1375072851541451532 -14.219666 -2.8198242 -45.959473 
2326974246166 1375072851604683954 -14.4592285 -3.5385132 -46.258545 
2327038338947 1375072851668679315 -14.639282 -4.319763 -46.4386 
2327118821168 1375072851731850702 -15.058899 -5.0994873 -46.4386 
2327165273176 1375072851795780673 -15.539551 -5.8792114 -46.4386 
2327233730371 1375072851859013095 -16.079712 -6.539917 -46.258545 
2327292176884 1375072851922916903 -16.499329 -7.019043 -45.899963 
2327355445615 1375072851986179843 -17.158508 -7.739258 -45.899963 
2327419446837 1375072852050083651 -17.999268 -8.459473 -45.599365 
2327493855504 1375072852113407626 -18.598938 -9.059143 -45.599365 
2327561000324 1375072852177311434 -19.018555 -9.719849 -45.41931 
2327621064416 1375072852240543856 -19.499207 -9.959412 -45.298767 
2327685828646 1375072852304478182 -20.039368 -10.198975 -45.059204 
2327758192448 1375072852367710604 -20.339966 -10.618591 -44.93866 
2327822376792 1375072852431614413 -20.579529 -11.039734 -44.999695 
2327876825136 1375072852494846835 -20.458984 -11.399841 -44.999695 
2327943298507 1375072852558720126 -20.159912 -11.938477 -44.999695 
2328019629959 1375072852622349276 -19.979858 -12.298584 -44.999695 
2328085401361 1375072852685703768 -19.799805 -12.599182 -45.059204 
2328118363363 1375072852749027743 -19.558716 -12.838745 -44.93866 
2328182242502 1375072852812931552 -19.558716 -13.139343 -45.118713 
2328245724877 1375072852876163973 -19.67926 -13.378906 -45.359802 
2328316715264 1375072852940037264 -19.67926 -13.55896 -45.298767 
2328387553047 1375072853003361239 -19.799805 -13.859558 -45.298767 
2328470568460 1375072853067234530 -19.979858 -13.919067 -45.359802 
2328534691762 1375072853130497470 -20.219421 -13.978577 -45.17975 
2328568691457 1375072853194279208 -20.698547 -13.679504 -44.87915 
2328628358786 1375072853257572665 -21.058655 -13.499451 -45.118713 
2328690864508 1375072853321415438 -20.939636 -13.378906 -45.118713 
2328757856725 1375072853384708895 -20.878601 -13.139343 -45.059204 
2328842306595 1375072853448551669 -21.11969 -12.779236 -45.239258 
2328881281110 1375072853511814608 -20.759583 -12.359619 -45.17975 
2328952088375 1375072853575687899 -20.579529 -12.059021 -45.17975 
2329008428982 1375072853638950839 -20.159912 -11.819458 -45.298767 
2329072430203 1375072853702965678 -19.439697 -11.698914 -45.47882 
2329135973617 1375072853766259135 -18.659973 -11.698914 -45.239258 
2329203850925 1375072853828759135 -18.23883 -11.338806 -44.999695 
2329271911357 1375072853893395366 -17.819214 -11.099243 -44.81964 
2329356483308 1375072853957421244 -17.338562 -11.099243 -44.578552 
2329391703819 1375072854021630229 -17.279053 -10.618591 -44.3985 
2329455491396 1375072854084404887 -17.158508 -10.258484 -44.459534 
2329516928905 1375072854147667827 -16.918945 -9.959412 -44.33899 
2329593351917 1375072854211510600 -17.158508 -9.658813 -44.158936 
2329662755245 1375072854274804057 -17.63916 -9.4192505 -44.039917 
2329779404108 1375072854338799418 -17.878723 -9.599304 -43.73932 
2329804095089 1375072854401940287 -18.23883 -9.599304 -43.319702 
2329860130494 1375072854465783061 -18.47992 -9.599304 -43.019104 
2329898647203 1375072854529046000 -18.359375 -9.899902 -42.77954 
2329971499331 1375072854592949809 -18.058777 -10.438538 -42.419434 
2330037484376 1375072854656363686 -17.878723 -10.438538 -42.23938 
2330107803315 1375072854720267495 -17.63916 -10.679626 -42.118835 
2330165578379 1375072854783499917 -16.859436 -10.85968 -42.118835 
2330231258220 1375072854847403725 -16.259766 -10.679626 -42.29889 
2330293550300 1375072854910636147 -15.7196045 -10.618591 -42.599487 
2330357643082 1375072854974539956 -14.878845 -10.679626 -42.77954 
2330417951339 1375072855037039956 -14.4592285 -10.379028 -43.019104 
2330488392357 1375072855101706704 -14.15863 -9.779358 -43.319702 
2330546686269 1375072855164908608 -13.978577 -9.599304 -43.43872 
2330636751887 1375072855229392251 -13.919067 -9.118652 -43.67981 
2330661687031 1375072855291983803 -14.099121 -8.338928 -43.97888 
2330749158419 1375072855355948647 -14.15863 -7.739258 -44.33899 
2330788468658 1375072855419089516 -14.219666 -6.9595337 -44.3985 
2330852378318 1375072855482932290 -14.579773 -6.1187744 -44.699097 
2330932005969 1375072855546225747 -14.99939 -5.6396484 -44.999695 
2330983860081 1375072855610068520 -15.419006 -4.9194336 -45.118713 
2331051981554 1375072855673392495 -15.9591675 -4.0786743 -45.298767 
