#SysTm EventTmStmp Ori:x Ori:y Ori:z
2323169759672 1375072847590950458 0.0911001 -0.44586253 0.06286246 
2323182456147 1375072847653938739 0.1534712 -0.43748775 0.1024211 
2323191795381 1375072847717812030 0.19981672 -0.44078112 0.13728112 
2323198143618 1375072847781044452 0.24710843 -0.43675178 0.14701027 
2323247464539 1375072847844917743 0.303565 -0.41606906 0.17750913 
2323281677876 1375072847908211200 0.35586047 -0.3604811 0.23004116 
2323348700613 1375072847972023456 0.42521974 -0.27445322 0.28026205 
2323414105773 1375072848035316913 0.4895795 -0.22585575 0.31576517 
2323478320635 1375072848099190204 0.5412172 -0.21693103 0.3174482 
2323543237467 1375072848162483661 0.60764927 -0.20312384 0.29283854 
2323606262036 1375072848226295917 0.6803597 -0.19344841 0.28635132 
2323667607984 1375072848289619891 0.7376572 -0.20560545 0.27450117 
2323733684591 1375072848353462665 0.7766407 -0.22482868 0.24562016 
2323797136444 1375072848416725604 0.82479507 -0.23433426 0.22754247 
2323862907847 1375072848480568378 0.88398945 -0.23419334 0.2025041 
2323946197943 1375072848543892352 0.9435701 -0.24437451 0.16665305 
2323981815218 1375072848607735126 0.9979199 -0.23786868 0.09351588 
2324047037254 1375072848670998065 1.0503542 -0.25586027 0.030178769 
2324110885873 1375072848734901874 1.0907596 -0.29708144 -0.0060754954 
2324174459807 1375072848798439471 1.1366423 -0.2879236 -0.035119638 
2324237972702 1375072848862007587 1.1929383 -0.25905234 -0.0309143 
2324302279127 1375072848925301044 1.2354168 -0.25431734 -0.011239311 
2324365730981 1375072848989143817 1.2598507 -0.2578632 -0.0025323555 
2324428236703 1375072849052437274 1.2844405 -0.24867535 0.012175588 
2324492146364 1375072849116310565 1.3049254 -0.2429194 0.030127339 
2324555445615 1375072849179573505 1.3197622 -0.23073453 0.024829336 
2324619965684 1375072849243385761 1.3290383 -0.21910287 0.023372546 
2324688239756 1375072849306709735 1.3255132 -0.22811976 0.028578658 
2324749555184 1375072849370754780 1.3209028 -0.23582277 0.016694939 
2324808276381 1375072849434017719 1.3318254 -0.22765309 0.013652739 
2324874810792 1375072849497891010 1.339029 -0.22992559 0.0116896825 
2324936522985 1375072849561153949 1.3384104 -0.23758225 0.0013139539 
2325000432645 1375072849625027240 1.3364457 -0.24031638 -0.020673273 
2325064922191 1375072849688320698 1.3356267 -0.24675477 -0.05327845 
2325127305834 1375072849752132953 1.3478957 -0.23426367 -0.11560408 
2325189872596 1375072849815426410 1.3510863 -0.20696865 -0.15906987 
2325254514744 1375072849879299701 1.3439339 -0.2020221 -0.14263937 
2325316715264 1375072849942562641 1.340764 -0.19232294 -0.12426527 
2325380869086 1375072850006710590 1.3505424 -0.16347906 -0.10514503 
2325445053429 1375072850069729389 1.3634658 -0.16052482 -0.071546584 
2325512625534 1375072850133602680 1.3619711 -0.17249665 -0.047114134 
2325580441800 1375072850196835102 1.3647953 -0.17161527 -0.032891504 
2325635347951 1375072850260708393 1.3716745 -0.16485481 -0.012222685 
2325699990099 1375072850324001850 1.3749311 -0.15334396 0.005134776 
2325763380913 1375072850387962465 1.3861547 -0.12885316 0.016296117 
2325827382133 1375072850451255922 1.3790357 -0.13663125 0.025001494 
2325890925550 1375072850515129213 1.3655578 -0.15952888 0.020753328 
2325964540687 1375072850578392153 1.3541144 -0.15919626 0.0048179054 
2326031532903 1375072850642265444 1.3410878 -0.15772042 -0.001195533 
2326094740595 1375072850705497866 1.3186795 -0.16629875 -0.0048210495 
2326159901590 1375072850769462709 1.2977165 -0.17996861 -0.016502148 
2326222254712 1375072850832634096 1.2885095 -0.19178395 -0.030233402 
2326283753261 1375072850896554071 1.280503 -0.20455723 -0.047531076 
2326355628739 1375072850959786493 1.291487 -0.19022444 -0.07033092 
2326397289047 1375072851023751336 1.3017207 -0.1784658 -0.06565188 
2326463609815 1375072851086953241 1.2977849 -0.19739239 -0.043588493 
2326524864204 1375072851150826532 1.290117 -0.21390234 -0.038941998 
2326588590740 1375072851214364129 1.2991471 -0.21606965 -0.03208111 
2326661961715 1375072851277962762 1.309874 -0.22122042 -0.010745341 
2326723155061 1375072851341225702 1.3069259 -0.23135398 0.0053562005 
2326791032369 1375072851405037957 1.2973437 -0.23732583 0.009693708 
2326853721215 1375072851468361932 1.2834457 -0.2420049 0.006143314 
2326923857030 1375072851532235223 1.274702 -0.23052104 -0.0032044023 
2326972079220 1375072851595498163 1.2689928 -0.21843314 -0.006351105 
2327035286910 1375072851659463006 1.2656248 -0.22231022 -0.0037773687 
2327113846348 1375072851722634393 1.2495561 -0.22718292 -0.016435226 
2327160450958 1375072851786477166 1.2395662 -0.22608045 -0.02603886 
2327232356954 1375072851849796786 1.2261473 -0.23013362 -0.023596488 
2327287934552 1375072851913670077 1.2105873 -0.2380793 -0.02482622 
2327350653917 1375072851976963534 1.2019262 -0.24522872 -0.031785082 
2327414349935 1375072852040836825 1.1967626 -0.24997282 -0.04694635 
2327488606000 1375072852104069247 1.204973 -0.24125575 -0.0667939 
2327553065027 1375072852167973055 1.2257018 -0.21375377 -0.07624378 
2327615845432 1375072852231205477 1.233863 -0.2003368 -0.08125093 
2327680884346 1375072852295139803 1.2490156 -0.1970627 -0.08842088 
2327753095546 1375072852358372225 1.2743996 -0.18844946 -0.07725949 
2327816547401 1375072852422276034 1.2868042 -0.1891393 -0.058066327 
2327870629500 1375072852485508456 1.2870799 -0.19533049 -0.048251163 
2327936645066 1375072852549381747 1.2889675 -0.19921017 -0.045647 
2328018073420 1375072852613041415 1.278255 -0.21056746 -0.042290848 
2328083875342 1375072852676456942 1.2798032 -0.20063595 -0.029930826 
2328113449583 1375072852739811434 1.2699883 -0.2016372 -0.012824036 
2328176931957 1375072852803623690 1.2642684 -0.2068566 -0.015728874 
2328241787749 1375072852866947665 1.2610815 -0.19945103 -0.032837894 
2328312717095 1375072852930790438 1.2677636 -0.19758591 -0.03577201 
2328379831393 1375072852994022860 1.2694136 -0.20127933 -0.035551134 
2328461137665 1375072853057926669 1.2732033 -0.20673144 -0.040842023 
2328522544654 1375072853121159091 1.2750751 -0.21384165 -0.05665681 
2328559077540 1375072853185062899 1.2789595 -0.21674821 -0.07237022 
2328622681997 1375072853248356356 1.3060877 -0.1845979 -0.073507495 
2328687629348 1375072853312168612 1.3200406 -0.1567319 -0.06272829 
2328749951949 1375072853375492587 1.3135785 -0.17635751 -0.050684 
2328822926158 1375072853439304843 1.3076845 -0.19679548 -0.056395415 
2328876764095 1375072853502598300 1.3289908 -0.18473749 -0.066877134 
2328950684438 1375072853566441073 1.3495358 -0.17881642 -0.04945023 
2329003362600 1375072853629734530 1.3533978 -0.18896644 -0.02249578 
2329067699545 1375072853693718852 1.3491815 -0.19690774 -0.012555557 
2329130632552 1375072853757042827 1.3570812 -0.1974646 -0.005400883 
2329199913797 1375072853819512309 1.3569684 -0.19697066 -9.837075E-4 
2329264830631 1375072853884179057 1.3536606 -0.18092674 9.886924E-4 
2329355018330 1375072853948082866 1.3477919 -0.17656502 0.009054424 
2329388102415 1375072854011284770 1.3445569 -0.1899483 0.0098076295 
2329450394494 1375072854075158061 1.3450583 -0.1887815 -0.0067229723 
2329514304153 1375072854138451518 1.35876 -0.17324975 -0.014976659 
2329588590739 1375072854202294291 1.3646744 -0.1691194 -0.012452453 
2329657231058 1375072854265587748 1.3621167 -0.17766413 -0.016557127 
2329777847569 1375072854329461039 1.3588312 -0.19052097 -0.03001845 
2329794633773 1375072854392723979 1.3416016 -0.22061001 -0.05218754 
2329857780424 1375072854456536235 1.3230261 -0.24800356 -0.07329214 
2329896358175 1375072854519829692 1.3366314 -0.23729739 -0.077196054 
2329965151093 1375072854583733500 1.3571796 -0.22614694 -0.05794256 
2330032479035 1375072854646965922 1.3641981 -0.2470645 -0.029583912 
2330096083492 1375072854710929116 1.3724424 -0.25713804 -0.023386428 
2330159932110 1375072854774161538 1.4033613 -0.23632546 -0.01970784 
2330222254711 1375072854838095864 1.4232073 -0.22891295 4.241929E-4 
2330285981247 1375072854901297768 1.416997 -0.23413983 0.01616691 
2330351050681 1375072854965201577 1.4077554 -0.22803852 0.01797337 
2330412305070 1375072855027701577 1.3957947 -0.2104077 0.016800517 
2330479602490 1375072855092368325 1.3832189 -0.18087058 0.014362855 
2330541497805 1375072855155570229 1.3614563 -0.16551246 0.019106163 
2330624421657 1375072855219504555 1.3474811 -0.16170067 0.02320154 
2330659703207 1375072855282736977 1.3347254 -0.15409581 0.006718899 
2330746930432 1375072855346701821 1.3229775 -0.14522825 -0.006397628 
2330784378928 1375072855409873208 1.3106632 -0.14556105 -0.012290057 
2330849417842 1375072855473685463 1.2957754 -0.1542712 -0.018945029 
2330927763638 1375072855537009438 1.284351 -0.16257402 -0.030538982 
2330979831392 1375072855600821694 1.2806551 -0.16407104 -0.049740173 
2331044565103 1375072855664145669 1.2934351 -0.14351904 -0.065017715 
2331108474762 1375072855727988442 1.3241565 -0.09663999 -0.06676804 
2331172231820 1375072855791281899 1.3447733 -0.0790388 -0.05521955 
2331239651323 1375072855855185708 1.3535122 -0.0925341 -0.05096792 
2331299227089 1375072855918448647 1.3615094 -0.102762654 -0.054471217 
2331367104398 1375072855982291421 1.3793473 -0.10725528 -0.048292294 
2331432265392 1375072856045523842 1.3897222 -0.11108535 -0.037541583 
2331505911052 1375072856109427651 1.3889534 -0.116474524 -0.030242763 
2331577237161 1375072856172660073 1.3785144 -0.120938644 -0.029296251 
2331611114774 1375072856236502846 1.3665109 -0.12442537 -0.02558325 
2331680548621 1375072856299826821 1.363003 -0.1131468 -0.014335124 
2331751264324 1375072856363822182 1.3512671 -0.10538756 0.003602195 
2331814502536 1375072856426932534 1.3388014 -0.11035803 0.014841151 
2331876672535 1375072856490836342 1.3263222 -0.1116661 0.006101129 
2331936980790 1375072856554068764 1.3135016 -0.11401802 -0.004507622 
2332003515201 1375072856618208222 1.2958044 -0.12405082 -0.008754639 
2332063976059 1375072856681440644 1.2816454 -0.13092332 -0.015890907 
2332123155062 1375072856745313935 1.2710131 -0.13502115 -0.031166878 
