#SysTm EventTmStmp Light
2323314517796 1375072847944984882 2.0 
2323441726710 1375072848072060077 1.0 
2323568905099 1375072848199257343 2.0 
2323823231363 1375072848453499286 3.0 
2323950592877 1375072848580696552 15.0 
2324077496586 1375072848707802264 25.0 
2324204858099 1375072848834938495 3.0 
2324331761806 1375072848962074725 0.0 
2324742962784 1375072849343452899 1.0 
2325476947218 1375072850107082905 2.0 
2325730540993 1375072850360893374 6.0 
2325857688863 1375072850487999086 24.0 
2325991215492 1375072850615409975 82.0 
2326112778135 1375072850742424135 108.0 
2326240383813 1375072850869637567 123.0 
2326366127747 1375072850996590692 100.0 
2326493794463 1375072851123818475 17.0 
2326620759212 1375072851250893670 1.0 
2328273559456 1375072852903721346 2.0 
2328539208777 1375072853158085360 4.0 
2328656986895 1375072853285099520 35.0 
2328784043204 1375072853412235751 56.0 
2328941192602 1375072853539341464 90.0 
2329036080439 1375072853666508212 97.0 
2329163594555 1375072853793785991 68.0 
2329293794464 1375072853920372905 2.0 
2329417646135 1375072854048119487 1.0 
2330310336505 1375072854938559731 0.0 
2330943390068 1375072855573752602 1.0 
2331325871374 1375072855955435952 2.0 
2331580350239 1375072856209464272 4.0 
2331708688404 1375072856337577065 30.0 
2331834584942 1375072856463980874 65.0 
2331961824373 1375072856591230683 97.0 
2332087873510 1375072856718275361 107.0 
2332215875953 1375072856845503144 20.0 
2332383615918 1375072856972669892 1.0 
2333869317124 1375072858498407917 2.0 
2333995915628 1375072858625544148 9.0 
2334122300490 1375072858752619343 38.0 
2334249173678 1375072858879694538 77.0 
2334376413111 1375072859006857085 100.0 
2334505087001 1375072859134145903 112.0 
2334632265391 1375072859261282134 93.0 
2334759138580 1375072859388418364 19.0 
2334887110501 1375072859515554595 1.0 
2336157917765 1375072860786916899 2.0 
2336284699393 1375072860914258425 3.0 
2336413556403 1375072861041425173 6.0 
2336537896400 1375072861168439333 20.0 
2336665746240 1375072861295575563 51.0 
2336792802551 1375072861422711794 91.0 
2336919584178 1375072861549878542 110.0 
2337049021076 1375072861677075808 104.0 
2337173849400 1375072861804059450 25.0 
2337325291486 1375072861931252280 1.0 
2338830861454 1375072863457070151 2.0 
2339081952558 1375072863711342612 4.0 
2339209588755 1375072863838620508 21.0 
2339336858707 1375072863965817773 47.0 
2339464159181 1375072864092709863 77.0 
2339591001848 1375072864220029199 99.0 
2339741253641 1375072864347043359 89.0 
2339844809265 1375072864474454248 58.0 
2339971987656 1375072864601468408 16.0 
2340099349171 1375072864728572379 2.0 
2340227015888 1375072864855708609 1.0 
2341752607221 1375072866381373892 2.0 
2342006628278 1375072866635882128 3.0 
2342138445767 1375072866763048876 4.0 
2342259550603 1375072866889971484 15.0 
2342387492005 1375072867017107714 46.0 
2342514884039 1375072867144427050 89.0 
2342642001391 1375072867271563281 105.0 
2342770156433 1375072867398699511 109.0 
2342896693897 1375072867525683154 8.0 
2343051126981 1375072867652906474 1.0 
2344421247538 1375072869051538857 2.0 
2344675390677 1375072869305811318 5.0 
2344803087915 1375072869432917031 36.0 
2344943329026 1375072869560205850 63.0 
2345056986893 1375072869687281045 87.0 
2345184165284 1375072869814325723 103.0 
2345313296979 1375072869941492471 91.0 
2345460069450 1375072870068598184 7.0 
2345565303694 1375072870195795449 1.0 
2345949066855 1375072870577326211 7.0 
2346075024432 1375072870704462441 5.0 
2346211297895 1375072870831629189 1.0 
2347728618205 1375072872357434372 2.0 
2347855399833 1375072872484570603 3.0 
2347992466825 1375072872611523728 4.0 
2348111343675 1375072872738812546 11.0 
2348236996049 1375072872865979294 52.0 
2348363991318 1375072872993115525 95.0 
2348490559301 1375072873120129685 113.0 
2348617005204 1375072873247235398 128.0 
2348744275156 1375072873374371628 75.0 
2348894313308 1375072873501629929 2.0 
2348999364429 1375072873628766160 1.0 
2351541436762 1375072876171799195 2.0 
2351923826506 1375072876553417268 3.0 
2352052347797 1375072876680614534 7.0 
2352178580055 1375072876807720246 21.0 
2352310458583 1375072876934825959 50.0 
2352431471861 1375072877061870637 71.0 
2352559382742 1375072877188945832 93.0 
2352707376026 1375072877316204133 114.0 
2352812854433 1375072877443218293 117.0 
2352941131558 1375072877570324006 53.0 
2353067272257 1375072877697460237 3.0 
2353194633772 1375072877824718537 1.0 
2354212091423 1375072878841922115 0.0 
2354343878391 1375072878969119381 1.0 
2355488148192 1375072880113218944 2.0 
2355610290722 1375072880240416209 3.0 
2355737438594 1375072880367491405 8.0 
2355887354662 1375072880494749705 22.0 
2355995213657 1375072880622069041 54.0 
2356118973768 1375072880748930614 98.0 
2356249784083 1375072880876158397 112.0 
2356400859927 1375072881003438853 92.0 
2356501516115 1375072881130697154 1.0 
2356755750816 1375072881385030650 13.0 
2356883844818 1375072881512166880 20.0 
2357137163909 1375072881766408824 10.0 
2357263090966 1375072881893545054 1.0 
2358281677872 1375072882910752587 2.0 
2358535485289 1375072883164964013 4.0 
2358662602639 1375072883292130761 15.0 
2358792466824 1375072883419266991 45.0 
2358951203280 1375072883546555810 77.0 
2359043008560 1375072883673386864 105.0 
2359170797359 1375072883800523095 106.0 
2359298280955 1375072883928014639 35.0 
2359425764550 1375072884055150869 2.0 
2359551935770 1375072884182165029 1.0 
2361606933479 1375072886216465121 2.0 
2361713174896 1375072886343479281 3.0 
2361840780573 1375072886470615512 16.0 
2361969576545 1375072886597904330 53.0 
2362095656203 1375072886725306749 90.0 
2362222132625 1375072886852320910 118.0 
2362418500701 1375072886979670763 120.0 
2362507986432 1375072887106562853 99.0 
2362606231512 1375072887233729601 40.0 
2362731517640 1375072887360957384 2.0 
2362858512908 1375072887488093615 1.0 
2364384348404 1375072889013815770 2.0 
2364512717091 1375072889140952000 3.0 
2364639315594 1375072889268057713 5.0 
2364765730976 1375072889395193944 27.0 
2364893519776 1375072889522360692 66.0 
2365028023057 1375072889649516282 110.0 
2365145221286 1375072889775706467 130.0 
2365273315289 1375072889903758225 44.0 
2365401409291 1375072890030894456 1.0 
2367181571049 1375072891811043959 2.0 
2367309726093 1375072891938149672 3.0 
2367436477200 1375072892065285902 4.0 
2367563075705 1375072892192757826 16.0 
2367689369005 1375072892319436293 37.0 
2367816486355 1375072892446747129 64.0 
2367943573186 1375072892573883360 100.0 
2368071697709 1375072892701050108 124.0 
2368199181305 1375072892828338926 86.0 
2368366127740 1375072892955292051 2.0 
2368452317273 1375072893082489317 1.0 
2368707192903 1375072893336853330 30.0 
2368834554416 1375072893464046526 42.0 
2368961671768 1375072893591182756 26.0 
2369088941719 1375072893718563127 11.0 
2369216028551 1375072893845272112 2.0 
2369342230289 1375072893972408342 1.0 
2370360267829 1375072894989650774 2.0 
2370615082417 1375072895243892717 7.0 
2370742077688 1375072895371292558 16.0 
2370969546022 1375072895498398271 32.0 
2371002263862 1375072895625412431 59.0 
2371121995283 1375072895752548662 95.0 
2371249997725 1375072895879684892 116.0 
2371377756002 1375072896006943193 119.0 
2371505483761 1375072896134720293 116.0 
2371631685501 1375072896261366577 89.0 
2371815845427 1375072896388472290 35.0 
2371885187714 1375072896515516968 9.0 
2372012762871 1375072896642592163 12.0 
2372140429587 1375072896769850464 3.0 
2372267394336 1375072896897017212 1.0 
2372394511687 1375072897024153442 0.0 
2373030708849 1375072897659865112 1.0 
2373793107750 1375072898422856960 2.0 
2373921049150 1375072898550328884 5.0 
2374047311931 1375072898677037868 14.0 
2374173666273 1375072898804143581 35.0 
2374301912878 1375072898931554470 72.0 
2374486011763 1375072899058507595 92.0 
2374555933935 1375072899185670169 96.0 
2374683631174 1375072899312989505 80.0 
2374811114769 1375072899440003665 59.0 
2374936889223 1375072899567017825 45.0 
