#SysTm EventTmStmp Gyro:x Gyro:y Gyro:z
312936757252008 1379577444407343319 -0.05806 0.35617 0.05022 
312936772451153 1379577444597956112 0.00069 0.17317 0.19476 
312936831111309 1379577444661524227 -0.37921 -0.06537 0.16023 
312936892304655 1379577444723505428 -0.33755 0.13614 -0.11711 
312936955603907 1379577444788660457 0.27945 0.21446 0.33362 
312937018872639 1379577444852228572 0.41013 -0.46271 0.17519 
312937082385534 1379577444915766170 -0.13745 -0.24196 -0.14096 
312937145562705 1379577444979364803 0.07829 0.26823 -0.61237 
312937209563926 1379577445042963436 -0.01712 -0.19354 -0.04413 
312937275518451 1379577445106165340 -0.05379 -0.34023 0.05414 
312937336589715 1379577445170038631 -0.27026 -0.25798 0.04274 
312937463157700 1379577445303840390 -0.0043 0.06422 0.02744 
312937526548513 1379577445367011777 0.25204 -0.06822 0.03918 
312937590397132 1379577445430976621 -0.10898 -0.27757 -0.17017 
312937653604822 1379577445494148007 -0.34824 0.08345 -0.35815 
312937717575523 1379577445558143369 0.20078 -0.2263 -0.14987 
312937780630613 1379577445621284238 0.55753 -0.14406 -0.38379 
312937846188372 1379577445685371152 -0.33649 0.08879 -0.02917 
312937907931086 1379577445748420468 0.07687 -0.04579 0.12784 
312937971871265 1379577445812415830 0.26807 0.11122 -0.02704 
312938035262079 1379577445875648251 0.10678 0.21803 0.01675 
312938098866536 1379577445939552060 0.11319 0.24153 0.02103 
312938162135267 1379577446002784482 0.2435 0.28532 0.14706 
312938226136488 1379577446066657773 0.08328 0.33873 0.09152 
312938289313658 1379577446129859677 -0.50204 0.00655 -0.05908 
312938353436960 1379577446193946591 -0.19763 0.39427 0.10007 
312938416369969 1379577446256995908 0.25204 -0.29039 0.20367 
312938480401710 1379577446320930234 0.11212 -0.15688 0.33398 
312938543823043 1379577446384193173 0.00745 0.05461 0.21008 
312938607519061 1379577446448096982 0.1431 -0.24767 0.23358 
312938670879353 1379577446511329404 0.09503 -0.16222 0.25494 
312938734636412 1379577446575233212 0.00211 0.00121 0.08939 
312938797874623 1379577446638404599 0.10892 -0.15688 -0.12424 
312938862028445 1379577446702522031 -0.03848 -0.1024 -0.14774 
312938925053015 1379577446765540830 -0.08121 0.36971 -0.10715 
312938989328918 1379577446829597226 0.10571 0.45729 -0.12424 
312939052445049 1379577446892977796 0.63229 -0.69734 -0.36456 
312939116049504 1379577446956881605 -0.0011 -0.05434 -0.22784 
312939179470838 1379577447020114027 0.03522 -0.04366 0.01355 
312939243288937 1379577447084017835 0.50946 -0.25835 -0.22678 
312939306740790 1379577447147250257 0.06406 0.15715 -0.24387 
312939370528370 1379577447211154066 -0.12393 0.22017 -0.1926 
312939433644499 1379577447274325452 -0.07693 0.14326 -0.20969 
312939497889883 1379577447338381849 -0.6676 -0.05327 -0.11676 
312939560700810 1379577447401461683 -0.18375 0.39641 0.03171 
312939624763071 1379577447465396009 -0.01605 -0.2263 0.17056 
312939688092844 1379577447528658949 0.17407 -0.34166 0.13959 
312939751910941 1379577447592562757 -0.08548 0.04927 0.08191 
312939815484877 1379577447655795179 -0.2457 -0.06181 0.07977 
312939879211416 1379577447719774608 -0.11646 0.02791 0.05093 
312939942113902 1379577447782823925 -0.0011 0.00014 -0.02277 
312940006481368 1379577447846941356 0.0192 -0.06502 -0.03024 
312940069566977 1379577447909990673 -0.44116 0.17958 -0.00354 
312940133659759 1379577447974047069 0.26486 0.26717 -0.11356 
312940196562247 1379577448037126903 0.06833 -0.21349 -0.22144 
312940260655028 1379577448101091747 -0.12714 0.00868 -0.08792 
312940324015322 1379577448164324169 0.04376 -0.13658 -0.08151 
312940388932153 1379577448228197460 -0.07907 -0.33418 -0.06335 
312940451132674 1379577448291460399 -0.29697 -0.00627 0.05307 
312940514767649 1379577448355333690 0.02026 0.00227 0.099 
312940578372104 1379577448418535595 -0.01926 0.0482 0.01035 
312940642342805 1379577448482591991 -0.26172 -0.10561 0.04025 
312940705123212 1379577448545671825 -0.02994 -0.11842 0.08832 
312940769215993 1379577448609728222 0.35352 -0.06609 0.26028 
312940834224386 1379577448672960644 0.02988 0.11122 0.25067 
312940897676240 1379577448737017040 0.04056 0.34193 0.27737 
312940968910790 1379577448800188427 -0.01178 0.06529 0.30194 
312941025556601 1379577448863878612 0.03201 -0.35234 0.23251 
312941090870197 1379577448927049999 0.1933 -0.03725 0.17056 
312941151636258 1379577448991991405 -0.00964 -0.15794 0.06696 
