#SysTm EventTmStmp Gyro:x Gyro:y Gyro:z
185501712684634 1379435165556895467 -0.2254 -0.10583 0.09613 
185501718880269 1379435165620860311 -0.14529 0.08536 0.10254 
185501767041416 1379435165811167928 0.11853 -0.01932 0.47531 
185501809342654 1379435165875132772 0.16766 -0.04495 0.32684 
185501872489303 1379435165938273641 0.20291 -0.06525 0.2948 
185501936460003 1379435166002238485 0.35886 -0.13147 0.37064 
185501999850816 1379435166065409871 0.28302 -0.18167 0.30014 
185502063729956 1379435166129496785 0.00211 -0.17419 -0.02029 
185502126724006 1379435166192576619 0.0224 -0.00436 0.08224 
185502190725227 1379435166256541463 -0.13568 -0.19876 -0.0502 
185502254054998 1379435166319773885 -0.43369 0.09177 -0.35568 
185502317537372 1379435166382975789 -0.1752 0.07788 -0.07477 
185502381538593 1379435166446940633 -0.15918 0.10672 -0.05661 
185502445173572 1379435166510844442 -0.06839 0.02554 0.24139 
185502508350741 1379435166573985311 0.02988 -0.09302 0.34393 
185502572443523 1379435166638072225 -0.00323 -0.09515 0.22324 
185502635315489 1379435166701152059 0.08435 -0.50317 0.36423 
185502699713475 1379435166765208455 -0.55118 -0.39636 -0.41016 
185502762677005 1379435166828257772 -0.14529 -0.35898 -0.08865 
185502829333497 1379435166892222616 0.4176 -0.18594 0.21255 
185502889824874 1379435166955363485 0.37381 0.06079 0.09079 
185502953520891 1379435167019328328 -0.04169 -0.03 -0.2916 
185503018620845 1379435167082560750 0.01279 0.4122 -0.30228 
185503090404762 1379435167146525594 0.34924 -0.01825 0.0972 
185503144029055 1379435167209848322 0.38342 -0.14215 -0.08759 
185503208243919 1379435167273904718 -0.02994 0.07147 -0.21362 
185503271146407 1379435167336954035 0.1431 0.1142 0.07904 
185503335269710 1379435167401040949 -0.00003 0.08536 0.10468 
185503398507921 1379435167464151300 0.02347 -0.03534 0.05447 
185503462264978 1379435167528085626 -0.35999 -0.14215 -0.10468 
185503526205158 1379435167591318048 -0.17413 0.00952 -0.14526 
185503589412849 1379435167655191339 0.35565 0.26373 0.21896 
185503652528980 1379435167718332208 0.30652 -0.25003 0.20615 
185503716804883 1379435167782449640 -0.13141 -0.37393 -0.4187 
185503779829453 1379435167845529474 -0.0545 0.2648 -0.2478 
185503843861193 1379435167909585871 0.22214 0.10992 0.24353 
185503906885763 1379435167972635187 -0.05023 -0.03961 0.38452 
185503970795422 1379435168036675648 -0.01605 -0.12186 0.26703 
185504035620694 1379435168099938587 0.02454 -0.0332 0.09506 
185504098004335 1379435168163842396 0.08542 -0.39636 0.02136 
185504161456188 1379435168227074818 -0.2457 -0.71466 -0.26062 
185504225152205 1379435168290948109 0.06085 -0.34937 -0.14526 
185504288359896 1379435168354088978 0.30652 0.53931 0.05661 
185504352452678 1379435168418206409 0.0224 0.05545 -0.10468 
185504415660370 1379435168481286243 -0.03421 0.20178 -0.4155 
185504479753151 1379435168545342640 0.1698 0.15692 -0.0769 
185504542869282 1379435168608452991 -0.02139 0.16013 -0.13138 
185504606534778 1379435168672387318 -0.07159 0.08536 -0.00534 
185504669925592 1379435168735619740 0.00745 0.17508 0.06516 
185504734201496 1379435168799493031 0.04056 0.11313 0.14313 
185504797256584 1379435168862755970 -0.16772 -0.07486 -0.07156 
185504861135724 1379435168926751331 -0.078 -0.22119 0.08865 
185504923977171 1379435168989831165 -0.64944 -0.29276 -0.34073 
185504988344637 1379435169053887562 -0.0513 0.04904 0.11963 
185505051277644 1379435169116936878 0.2403 0.07681 0.24887 
185505115126264 1379435169180871204 -0.00323 -0.07059 0.09933 
185505178425516 1379435169244103626 -0.16986 -0.2041 0.00427 
185505242457256 1379435169308068470 -0.11005 -0.14536 0.04166 
185505305848070 1379435169371331409 -0.28735 -0.17526 0.00107 
185505369666168 1379435169435265736 -0.82889 -0.19449 -0.44113 
185505433301145 1379435169498345570 0.1666 0.38443 -0.0737 
185505496905600 1379435169562401966 0.73483 -0.21265 0.35141 
185505560418495 1379435169625628307 -0.09082 -0.07272 -0.4454 
185505624022952 1379435169689715221 0.1431 0.39618 -0.19012 
185505687078041 1379435169752764538 0.18582 0.17615 0.05127 
185505750804579 1379435169816729381 0.0459 0.09924 -0.00214 
185505814286953 1379435169879992321 0.04803 0.04584 0.10574 
185505878135571 1379435169943865612 0.13562 -0.0332 -0.00748 
185505941984191 1379435170007098034 -0.04703 0.0405 -0.09186 
185506005252922 1379435170071001842 -0.11966 -0.27673 -0.13351 
185506068704776 1379435170134173229 0.20718 0.12595 0.39093 
185506134109935 1379435170198534801 0.45926 -0.2244 0.37598 
185506195913689 1379435170261339977 -0.13568 -0.23294 -0.11002 
185506261685091 1379435170325609997 -0.04489 0.15692 0.01816 
185506325411629 1379435170388720348 0.05338 0.04584 0.28839 
185506388466717 1379435170452790515 -0.02353 -0.04175 0.10147 
185506450117871 1379435170515748279 -0.13568 -0.06311 -0.01389 
185506513874928 1379435170579621570 -0.21045 -0.02679 -0.15274 
185506577174179 1379435170642792957 -0.47961 0.01913 -0.18051 
185506641114359 1379435170706818836 -0.64517 -0.21585 -0.05661 
185506704169449 1379435170769929187 -0.11111 -0.01932 0.06088 
185506768414834 1379435170834016101 0.09183 0.07574 0.01602 
185506834491439 1379435170897248523 -0.09296 -0.19342 -0.40802 
185506895379583 1379435170961030262 0.03094 0.22314 -0.23819 
185506959075599 1379435171024262683 0.40479 0.17935 0.10895 
185507029516618 1379435171088502185 0.13562 0.09604 0.06622 
185507085765665 1379435171151429431 0.01385 0.07468 0.11963 
185507151231863 1379435171215302722 0.13242 0.16974 0.32684 
185507215202564 1379435171278443592 -0.03528 -0.0065 0.16556 
185507280577201 1379435171343537586 -0.33435 -0.02359 -0.26382 
185507343143964 1379435171405640857 -0.05984 0.0939 0.14847 
185507409495255 1379435171469666736 0.10999 -0.24469 0.31937 
185507473069189 1379435171532929676 0.11639 0.18362 0.24139 
185507536154799 1379435171596986072 0.10999 -0.08661 0.36209 
185507603848985 1379435171660157459 -0.05984 -0.13681 0.13031 
185507665561177 1379435171724213855 -0.02994 -0.18274 0.10681 
185507732278712 1379435171787934558 0.0256 -0.08127 0.1474 
185507792037601 1379435171851350086 -0.05664 -0.03214 0.13779 
185507854146559 1379435171914399402 -0.37173 -0.42734 -0.17197 
185507914058050 1379435171978242176 0.05978 0.56174 -0.19867 
185507980348298 1379435172041560041 0.51587 0.30539 0.26489 
185508041694247 1379435172105646955 -0.05023 -0.46045 -0.19867 
185508106214314 1379435172168635237 0.06726 0.21033 -0.50201 
185508173481214 1379435172232569563 0.15485 0.34491 -0.2681 
185508236200580 1379435172295954573 0.05231 0.01593 -0.28519 
