7,1,4,2,38,-26.082550,2.886923,0.732445
16,1,2,1,12,-10.707650,1.056067,0.003618
16,2,2,2,5,-10.439287,1.028791,0.000084
16,3,2,3,6,-23.932388,2.446769,0.000067
16,4,2,4,5,-25.664639,2.802254,0.000557
16,5,3,1,4,-10.772214,1.056465,0.000012
16,6,3,2,5,-10.740124,1.056283,0.000019
16,7,4,1,1543,-21.552928,2.192975,11.625825
16,8,5,1,16,-14.466460,1.316343,2.612809
16,9,5,2,23,-22.560102,2.299588,9.728770
16,10,5,3,42,-10.438029,1.040378,0.210545
16,11,5,4,15,-4.306070,0.267547,1.063474
18,1,1,1,14,-24.507574,2.563038,0.597656
18,2,1,3,28,-12.597280,1.278282,6.609770
18,3,2,1,6,68.359292,-7.748586,3.109833
18,4,4,1,4,-25.510270,2.766415,0.000348
18,5,4,2,4,-25.575267,2.781505,0.000348
1  7,1,1,1,173,-27.275681,3.131338,0.348064
