#SysTm EventTmStmp Pressure
93504657368891 1374956679332703821 888.8015 
93504668997154 1374956679396546595 888.9514 
93504680442293 1374956679459840052 888.8915 
93504694481664 1374956679523713343 888.8915 
93504735714687 1374956679586976282 888.92145 
93504759612138 1374956679650819056 888.91144 
93504829076505 1374956679714112513 888.8915 
93504895458316 1374956679777955286 888.92145 
93504959581618 1374956679841218226 888.8915 
93505014945574 1374956679905122034 888.8315 
93505080442292 1374956679968323939 889.0314 
93505146213694 1374956680032258265 888.9414 
93505205667381 1374956680095551722 888.8015 
93505268661429 1374956680159516566 888.7415 
93505337179665 1374956680222657435 888.91144 
93505395290453 1374956680286530726 888.7915 
93505457948778 1374956680349824183 888.7915 
93505546946183 1374956680413636439 888.91144 
93505583967395 1374956680476990931 888.8015 
93505648792666 1374956680540772669 888.85144 
93505712458162 1374956680604035609 888.8815 
93505774933366 1374956680667939417 888.91144 
93505839392391 1374956680731202357 888.8215 
93505903057888 1374956680795379570 888.8815 
93505966784426 1374956680858550957 888.8215 
93506047938096 1374956680922393730 888.85144 
93506092284197 1374956680985626152 888.91144 
93506156163336 1374956681049529961 888.85144 
93506221019127 1374956681112792900 888.9414 
93506283677452 1374956681176666191 888.8815 
93506346763060 1374956681239929130 888.8215 
93506413236433 1374956681303802421 888.8815 
93506472354393 1374956681365508964 888.91144 
93506537790071 1374956681430908134 888.9314 
93506609390865 1374956681494201591 888.85144 
93506665975636 1374956681557983330 888.8815 
93506728023553 1374956681621291341 888.8815 
93506791933213 1374956681685195150 888.7915 
93506855262984 1374956681748458089 888.87146 
93506919691491 1374956681812300863 888.9014 
93506982502418 1374956681875594320 888.9314 
93507046381557 1374956681939437093 888.8415 
93507111023705 1374956682002700033 888.87146 
93507191353325 1374956682066603841 888.9014 
93507236645557 1374956682129866781 888.9014 
93507300555218 1374956682193709554 888.9014 
93507363793429 1374956682256972494 888.8115 
93507429717433 1374956682320876302 888.9014 
93507507971668 1374956682384139242 888.9014 
93507568951371 1374956682448073568 888.9014 
93507634142888 1374956682511275472 888.92145 
93507698449311 1374956682574416341 888.9514 
93507769470218 1374956682638442220 888.9014 
93507832372706 1374956682702315511 888.92145 
93507876779847 1374956682765792074 888.9514 
93507939987539 1374956682829451742 888.92145 
93507999532785 1374956682892684164 888.9514 
