#SysTm EventTmStmp Light
36537569528634 36537513043000 15.0 
36537575060717 36537522504000 15.0 
36537579130425 36537533356000 15.0 
36537583207800 36537542550000 15.0 
36537587527217 36537552499000 16.0 
36537591343842 36537562709000 16.0 
36537621644217 36537572556000 16.0 
36537625240259 36537582519000 16.0 
36537629726134 36537592518000 15.0 
36537633584467 36537602861000 15.0 
36537637420926 36537612494000 15.0 
36537665420842 36537622507000 15.0 
36537671234342 36537632494000 16.0 
36537675389509 36537642502000 16.0 
36537679269050 36537652905000 16.0 
36537682978092 36537663071000 16.0 
36537712134676 36537674286000 20.0 
36537716890176 36537682556000 20.0 
36537720876342 36537692559000 20.0 
36537724151134 36537702621000 20.0 
36537754548342 36537712594000 20.0 
36537759414134 36537722512000 16.0 
36537763257134 36537732517000 16.0 
36537768270634 36537744607000 16.0 
36537771429009 36537752616000 16.0 
36537815039467 36537762560000 16.0 
36537819344925 36537772503000 16.0 
36537823195301 36537782508000 16.0 
36537827548717 36537792511000 16.0 
36537831367259 36537802622000 20.0 
36537858111717 36537813558000 20.0 
36537863297134 36537822506000 20.0 
36537867670759 36537832496000 20.0 
36537871454884 36537842506000 20.0 
36537875161801 36537852502000 20.0 
36537903213884 36537862748000 20.0 
36537909305217 36537872496000 20.0 
36537913146842 36537882636000 16.0 
36537916969842 36537892661000 16.0 
36537920296509 36537902548000 16.0 
36537950678426 36537912501000 16.0 
36537954083843 36537922511000 16.0 
36537957902968 36537932507000 16.0 
36537961614468 36537942519000 16.0 
36538006744885 36537952502000 16.0 
36538007701259 36537962950000 16.0 
36538011637843 36537972502000 16.0 
36538016544593 36537982501000 16.0 
36538021209676 36537993054000 16.0 
36538051797468 36538002586000 20.0 
36538056381051 36538012552000 20.0 
36538062931176 36538023255000 20.0 
36538067476760 36538033247000 20.0 
36538071406385 36538045910000 13.0 
36538102326926 36538053483000 13.0 
36538105860926 36538062532000 13.0 
36538111316801 36538073245000 13.0 
36538114236759 36538083167000 15.0 
36538118105093 36538092516000 15.0 
36538165806718 36538103166000 15.0 
36538172816134 36538113565000 15.0 
36538176460885 36538122503000 20.0 
36538180519385 36538132506000 20.0 
36538184507676 36538142493000 20.0 
36538186288551 36538152505000 20.0 
36538190208093 36538162507000 20.0 
36538218721843 36538172506000 20.0 
36538223194843 36538183636000 20.0 
36538227471843 36538192517000 20.0 
36538231638676 36538202522000 16.0 
36538235383010 36538212604000 16.0 
36538265359385 36538222504000 16.0 
36538269595134 36538232504000 16.0 
36538277236051 36538251020000 18.0 
36538314141468 36538262525000 18.0 
36538320236218 36538272515000 18.0 
36538324435843 36538282519000 16.0 
36538329271301 36538292699000 16.0 
36538332209885 36538302512000 16.0 
36538336439343 36538312637000 16.0 
36538373642759 36538324279000 20.0 
36538377762801 36538332741000 20.0 
36538378250884 36538343804000 20.0 
36538383029593 36538352898000 20.0 
36538391452051 36538362532000 20.0 
36538420678218 36538372505000 13.0 
36538427602135 36538382514000 13.0 
36538431689010 36538393938000 13.0 
36538435653801 36538402511000 13.0 
36538439977009 36538412510000 15.0 
36538468908093 36538422524000 15.0 
36538474888884 36538432519000 15.0 
36538479345718 36538442515000 15.0 
36538483122468 36538452518000 20.0 
36538487277718 36538462519000 20.0 
36538530929759 36538472520000 20.0 
36538535878884 36538482501000 20.0 
36538539889676 36538492504000 11.0 
36538543575301 36538502500000 11.0 
36538547877551 36538512524000 11.0 
36538552078384 36538527463000 16.0 
36538583982884 36538542503000 16.0 
36538589894259 36538552504000 16.0 
36538594234176 36538562509000 16.0 
36538599617676 36538572505000 15.0 
36538641385926 36538582611000 15.0 
36538650207426 36538592726000 15.0 
36538655156259 36538602632000 15.0 
36538660458051 36538612570000 15.0 
36538665286218 36538622561000 15.0 
36538671329759 36538632623000 15.0 
36538720918343 36538642608000 15.0 
36538727832842 36538652558000 18.0 
36538732254092 36538662553000 18.0 
36538737855176 36538672558000 18.0 
36538742697634 36538682558000 18.0 
36538747124301 36538692651000 5.0 
36538750717884 36538702564000 5.0 
36538754452259 36538712570000 5.0 
36538782420926 36538722624000 5.0 
36538788080176 36538732609000 16.0 
36538792120884 36538742866000 16.0 
36538796401468 36538752770000 16.0 
36538799841384 36538764784000 16.0 
36538803768301 36538773430000 15.0 
36538807201509 36538782548000 15.0 
36538836353301 36538792496000 15.0 
36538840467801 36538802497000 15.0 
36538843417342 36538812888000 1.0 
36538847374718 36538822505000 1.0 
36538886467510 36538834024000 1.0 
36538890174427 36538842941000 1.0 
36538893982051 36538853086000 18.0 
36538898092885 36538863107000 18.0 
36538903365510 36538880574000 18.0 
36538944950468 36538892505000 10.0 
36538950484968 36538903763000 10.0 
36538954942218 36538912505000 10.0 
36538959076676 36538922515000 10.0 
36538962943218 36538932529000 10.0 
36538994033509 36538942662000 10.0 
36539000723343 36538952505000 10.0 
36539004473467 36538962508000 10.0 
36539007973717 36538972847000 18.0 
36539011767634 36538982519000 18.0 
36539015902801 36538992503000 18.0 
36539044681592 36539002506000 18.0 
36539049587676 36539012505000 18.0 
36539053911634 36539022541000 5.0 
36539058761051 36539032548000 5.0 
36539087201259 36539042856000 5.0 
36539093679468 36539052540000 5.0 
36539097887301 36539062537000 13.0 
36539103893426 36539072503000 13.0 
36539108556468 36539082537000 13.0 
36539139210009 36539092590000 13.0 
36539143728551 36539102502000 16.0 
36539147937676 36539112495000 16.0 
36539152193634 36539122500000 16.0 
36539158305759 36539132590000 16.0 
36539202934093 36539142661000 5.0 
36539210427176 36539152629000 5.0 
36539223925634 36539162505000 5.0 
36539228251634 36539172497000 5.0 
36539232988093 36539184147000 11.0 
36539237503676 36539192693000 11.0 
36539268783468 36539202783000 11.0 
36539276631259 36539212506000 11.0 
36539292321926 36539222494000 20.0 
36539297298759 36539233079000 20.0 
36539303032718 36539242570000 20.0 
36539306905634 36539253928000 20.0 
36539314688051 36539262545000 7.0 
36539350522926 36539272511000 7.0 
36539355740218 36539282598000 7.0 
36539360569801 36539292512000 7.0 
36539367219551 36539302638000 16.0 
36539372223551 36539312551000 16.0 
36539377209218 36539322570000 16.0 
36539382071176 36539332574000 16.0 
36539386707384 36539342648000 8.0 
36539420550468 36539352546000 8.0 
36539425348509 36539362588000 8.0 
36539428925134 36539372542000 8.0 
36539433536884 36539382564000 11.0 
36539438035759 36539392545000 11.0 
36539442267384 36539402547000 11.0 
36539446632426 36539412518000 11.0 
36539476571676 36539422593000 16.0 
36539482888801 36539433246000 16.0 
36539487106093 36539442510000 16.0 
36539491096801 36539452522000 16.0 
36539495700676 36539462512000 11.0 
36539500540801 36539472605000 11.0 
36539556306384 36539483353000 11.0 
36539564431468 36539492497000 11.0 
36539570422676 36539502513000 16.0 
36539579419134 36539512505000 16.0 
36539583673593 36539522527000 16.0 
36539588120384 36539533185000 16.0 
36539592051676 36539542501000 16.0 
36539622129134 36539552858000 16.0 
36539627092968 36539562584000 16.0 
36539631719009 36539572496000 16.0 
36539636290093 36539582521000 13.0 
36539640913759 36539592492000 13.0 
36539645307134 36539603664000 13.0 
36539650131968 36539613677000 13.0 
36539680494426 36539624401000 13.0 
36539687007426 36539632755000 13.0 
36539689890343 36539642541000 13.0 
36539693931843 36539652550000 13.0 
36539700543759 36539662758000 16.0 
36539706021343 36539672701000 16.0 
36539738884093 36539683678000 16.0 
36539745474468 36539692962000 16.0 
36539751051884 36539702554000 16.0 
36539755514301 36539712558000 16.0 
36539759009801 36539722507000 16.0 
36539759833093 36539733027000 16.0 
36539789248843 36539742512000 16.0 
36539794211343 36539752503000 16.0 
36539799188843 36539762711000 16.0 
36539803100218 36539772517000 16.0 
36539806970009 36539783101000 16.0 
36539870451509 36539792512000 11.0 
36539877053593 36539802507000 11.0 
36539888716843 36539812583000 11.0 
36539898523676 36539824023000 11.0 
36539902964968 36539832529000 13.0 
36539907061509 36539842582000 13.0 
36539911180968 36539852536000 13.0 
36539941119426 36539862508000 13.0 
36539947223259 36539872675000 8.0 
36539951922884 36539882524000 8.0 
36539955718968 36539892550000 8.0 
36539960273218 36539902506000 8.0 
36539964581176 36539912500000 13.0 
36539968661093 36539922518000 13.0 
36539972446509 36539932584000 13.0 
36540003078551 36539942924000 13.0 
36540008709884 36539952501000 13.0 
36540012626593 36539962501000 13.0 
36540016367384 36539972502000 13.0 
36540019743218 36539982503000 13.0 
36540023732343 36539992533000 16.0 
36540026854384 36540002538000 16.0 
36540073789009 36540012500000 16.0 
36540074201926 36540029511000 7.0 
36540079849593 36540043004000 7.0 
36540085188759 36540052569000 7.0 
36540090454218 36540062504000 7.0 
36540122427509 36540072600000 16.0 
36540128190551 36540082621000 16.0 
36540131988259 36540092617000 16.0 
36540135793884 36540102628000 16.0 
36540139676051 36540112934000 15.0 
36540167614801 36540123036000 15.0 
36540172013926 36540135157000 15.0 
36540180398134 36540152499000 7.0 
36540183834801 36540162568000 7.0 
36540214577801 36540172806000 7.0 
36540220042551 36540182514000 7.0 
36540224270093 36540192499000 16.0 
36540228381968 36540204446000 16.0 
36540232172218 36540212520000 16.0 
36540260216134 36540222504000 16.0 
36540264438634 36540232500000 8.0 
36540268303426 36540242498000 8.0 
36540272639801 36540252512000 8.0 
36540300631093 36540262501000 8.0 
36540305416093 36540273764000 13.0 
36540309255593 36540282566000 13.0 
36540312999343 36540292657000 13.0 
36540340757636 36540302500000 13.0 
36540345241928 36540312494000 15.0 
36540349109969 36540322505000 15.0 
36540352866302 36540332513000 15.0 
36540415949511 36540343793000 15.0 
36540420210219 36540352550000 15.0 
36540423749135 36540362563000 15.0 
36540427924677 36540372499000 15.0 
36540432102344 36540382520000 15.0 
36540436805469 36540392500000 15.0 
36540442989177 36540402537000 16.0 
36540472967886 36540412668000 16.0 
36540475131928 36540422518000 16.0 
36540480363469 36540432516000 16.0 
36540483942969 36540442616000 11.0 
36540487949636 36540452516000 11.0 
36540491976636 36540462581000 11.0 
36540496411552 36540472546000 11.0 
36540525841677 36540482512000 11.0 
36540530238553 36540492506000 11.0 
36540534087427 36540502514000 11.0 
36540536376636 36540512579000 11.0 
36540562283802 36540522494000 16.0 
36540568399552 36540532513000 16.0 
36540575181136 36540552160000 16.0 
36540614255219 36540562591000 13.0 
36540620067511 36540572999000 13.0 
36540624388010 36540583010000 13.0 
36540628840635 36540592504000 13.0 
36540633198386 36540602500000 16.0 
36540637014927 36540612755000 16.0 
36540665739011 36540623874000 16.0 
36540670866969 36540632524000 16.0 
36540678580385 36540652528000 8.0 
36540704248219 36540662713000 8.0 
36540709879135 36540672493000 8.0 
36540714301177 36540682504000 10.0 
36540718295802 36540693115000 10.0 
36540721079344 36540702638000 10.0 
36540751553761 36540712633000 10.0 
36540754600094 36540722510000 13.0 
36540758424761 36540732854000 13.0 
36540762128094 36540742509000 13.0 
36540793558052 36540752646000 13.0 
36540796491552 36540762503000 16.0 
36540800369261 36540772497000 16.0 
36540804173344 36540782496000 16.0 
36540833130177 36540792521000 16.0 
36540837575761 36540802492000 13.0 
36540840959178 36540812496000 13.0 
36540844652635 36540822500000 13.0 
36540887790552 36540832500000 13.0 
36540893294719 36540842497000 16.0 
36540897120761 36540854435000 16.0 
36540901263427 36540863509000 16.0 
36540903241469 36540872498000 16.0 
36540906688844 36540882651000 16.0 
36540935298844 36540892707000 16.0 
36540939978094 36540902628000 16.0 
36540941424427 36540912530000 16.0 
36540946551594 36540923466000 13.0 
36540949702219 36540932520000 13.0 
36540978374969 36540942960000 13.0 
36540983250094 36540953028000 13.0 
36540987141511 36540962514000 16.0 
