#SysTm EventTmStmp Rot:x Rot:y Rot:z
42916308993838 42915924843000 -0.062296834 0.013089893 0.99796385 
42916317143963 42915991544000 -0.07973486 0.013618246 0.9967228 
42916339602338 42916058213000 0.07102334 -0.012769433 -0.9973669 
42916348828463 42916124926000 0.078751855 -0.0035328798 -0.99680847 
42916376596963 42916191577000 0.08327909 -0.006273865 -0.99634045 
42916396597296 42916258365000 0.076768704 -0.006126429 -0.99670786 
42916434770963 42916324889000 0.08217209 0.0033570498 -0.9959355 
42916442885338 42916391551000 0.07002436 -2.8795513E-4 -0.9968934 
42916471550338 42916458220000 0.08969473 0.0033866528 -0.994672 
42916528783713 42916524869000 0.084623344 -0.0077560693 -0.994989 
42916597600213 42916591695000 0.0823421 0.004050101 -0.9950521 
42916662375254 42916658212000 0.088883616 -0.0069186077 -0.9942151 
42916729489838 42916724874000 0.087007724 -0.0050054775 -0.994537 
42916795868129 42916791559000 0.095312 -0.0014380718 -0.99319714 
42916861601796 42916858185000 0.09072192 -0.010205978 -0.9941222 
42916931073171 42916924876000 0.084795624 -0.0073912605 -0.99478066 
42916997767879 42916991610000 0.082056545 0.0023552754 -0.99449366 
42917063302713 42917058263000 0.06564041 -0.008611733 -0.99595624 
42917128871380 42917124898000 0.067071654 0.005527513 -0.99581903 
42917198645547 42917192448000 0.061381288 -0.0075534764 -0.9958776 
42917262552131 42917258233000 0.043709405 0.008210673 -0.99633247 
42917339076547 42917324901000 0.043713607 -0.0060409964 -0.9958525 
42917395172548 42917391561000 0.027259836 -8.7636226E-4 -0.99628717 
42917462165339 42917458242000 0.052408073 0.010268766 -0.99460554 
42917528492381 42917524892000 0.026992843 -0.0041148574 -0.99429184 
42917595119506 42917591549000 0.04870194 -0.008498322 -0.9934766 
42917663224797 42917658224000 0.048317086 -0.0053834347 -0.9931913 
42917731886922 42917724906000 0.073830314 -0.013531582 -0.9908312 
42917797418630 42917791594000 0.09170438 -0.0138764875 -0.9867387 
42917863362589 42917858312000 0.103316 -0.017565519 -0.98679185 
42917928853006 42917924881000 0.11092624 -0.0039029447 -0.98248637 
42917995909673 42917991627000 0.12819193 -0.0012524566 -0.9803708 
42918063030215 42918058276000 0.13078535 -0.004537724 -0.97849524 
42918128587339 42918124901000 0.11407945 -0.0066777808 -0.97911817 
42918196410298 42918191599000 0.13562511 -0.0055350997 -0.97984916 
42918263820339 42918258353000 0.18038674 -0.0026963456 -0.9680124 
42918339979381 42918324917000 0.1140652 -0.021674335 -0.98090005 
