#SysTm EventTmStmp Pressure
28183444581329 28182985482000 1009.8517 
28183537283329 28183025666000 1009.90967 
28183553031537 28183065573000 1009.7952 
28183572037287 28183105685000 1009.77496 
28183592157496 28183145579000 1009.87354 
28183611019787 28183185630000 1009.77014 
28183633273621 28183225651000 1009.7427 
28183651261704 28183265680000 1009.8107 
28183666479537 28183305688000 1009.8068 
28183679577995 28183345738000 1009.8392 
28183695302079 28183385725000 1009.9093 
28183709592829 28183425715000 1009.8839 
28183725320288 28183465696000 1009.73267 
28183739604162 28183505517000 1009.99335 
28183806199371 28183545530000 1009.90356 
28183825884163 28183585509000 1009.86285 
28183859058370 28183625600000 1009.8713 
28183883862954 28183665485000 1009.9064 
28183896943746 28183705485000 1009.95166 
28183912860079 28183745599000 1009.9068 
28183927915871 28183785538000 1009.99927 
28183975690746 28183825542000 1009.83606 
28183992331829 28183865786000 1009.8158 
28184008666329 28183905540000 1009.88525 
28184025218996 28183945764000 1009.89197 
28184068477329 28183985506000 1009.7936 
28184086839662 28184025491000 1009.9064 
28184130496204 28184065524000 1009.8287 
28184163444329 28184105526000 1009.90814 
28184203949912 28184145571000 1009.8566 
28184219822829 28184185506000 1009.8802 
28184262581621 28184225484000 1009.85016 
28184305955288 28184265588000 1009.8481 
28184354040412 28184305526000 1009.8165 
28184370688579 28184345547000 1009.8984 
28184414853871 28184385569000 1009.9328 
28184474715913 28184425493000 1010.0083 
28184515044080 28184465722000 1009.8642 
28184531126080 28184505494000 1009.93744 
28184570135704 28184545984000 1009.83984 
28184607708871 28184585526000 1009.6882 
28184659551037 28184625540000 1009.7414 
28184698829287 28184665531000 1009.7007 
28184737348496 28184705472000 1009.87366 
28184774857287 28184745506000 1009.8005 
28184815292329 28184785490000 1009.8225 
28184855043996 28184825500000 1009.75964 
28184892587496 28184865534000 1009.7498 
28184931954371 28184905523000 1009.8085 
28185001075829 28184945540000 1009.92255 
28185047377245 28184985501000 1009.87915 
28185064528662 28185025506000 1009.90283 
28185102166745 28185065478000 1009.8238 
28185141215787 28185105516000 1010.02045 
28185179841245 28185145515000 1009.9358 
28185218282788 28185185502000 1009.81226 
28185256247205 28185225525000 1009.8887 
28185300090372 28185265492000 1009.8453 
