#SysTm EventTmStmp Mag:x Mag:y Mag:z
28183442127621 28182982954000 -26.699999 8.46 -24.6 
28183454606662 28182994802000 -26.82 8.46 -24.6 
28183464476037 28183004783000 -26.76 8.4 -24.539999 
28183531968746 28183015341000 -26.82 8.34 -24.42 
28183536750704 28183025082000 -26.82 8.4 -24.48 
28183541815746 28183035084000 -26.88 8.22 -24.3 
28183545930037 28183044365000 -26.939999 8.16 -24.3 
28183550450163 28183054448000 -26.939999 8.22 -24.3 
28183554061662 28183065706000 -26.88 8.16 -24.3 
28183558547245 28183075348000 -26.939999 8.099999 -24.42 
28183563181496 28183085347000 -27.0 7.9199996 -24.3 
28183567697496 28183095360000 -26.82 7.8599997 -24.18 
28183573041662 28183105976000 -26.699999 7.8599997 -24.3 
28183579006662 28183115992000 -26.76 7.62 -24.24 
28183583586620 28183125776000 -26.699999 7.44 -24.359999 
28183588116787 28183135765000 -26.519999 7.44 -24.48 
28183593165746 28183146463000 -26.4 7.44 -24.66 
28183597843454 28183156265000 -26.279999 7.44 -24.66 
28183602611871 28183166149000 -26.4 7.2599998 -24.66 
28183607078537 28183175914000 -26.4 7.14 -24.84 
28183612086412 28183186954000 -26.519999 7.02 -24.9 
28183616555829 28183196163000 -26.46 7.02 -25.08 
28183620196079 28183206204000 -26.46 6.8999996 -25.019999 
28183623823620 28183216279000 -26.46 6.7799997 -25.08 
28183634552204 28183227050000 -26.519999 6.7799997 -25.14 
28183640521829 28183236443000 -26.519999 6.8999996 -25.26 
28183644387245 28183246672000 -26.46 7.02 -25.32 
28183648110496 28183256672000 -26.699999 6.8999996 -25.439999 
28183652126912 28183267121000 -26.82 6.8999996 -25.38 
28183655772663 28183276852000 -26.939999 6.96 -25.38 
28183659437745 28183286962000 -27.06 7.02 -25.5 
28183663237079 28183297145000 -27.0 6.8999996 -25.5 
28183667447037 28183307178000 -27.0 6.96 -25.56 
28183671255871 28183317343000 -26.939999 6.8399997 -25.56 
28183674948537 28183328157000 -26.88 6.8399997 -25.56 
28183678588787 28183337744000 -26.939999 6.8399997 -25.32 
28183680855163 28183347859000 -26.88 6.8399997 -25.26 
28183684462037 28183359572000 -27.06 6.7799997 -25.08 
28183688084454 28183368666000 -27.0 6.7799997 -25.08 
28183692017454 28183379121000 -27.0 6.7799997 -24.96 
28183696132662 28183389429000 -26.82 6.8999996 -24.96 
28183699679370 28183399409000 -26.76 6.72 -24.9 
28183703444329 28183409524000 -26.76 6.7799997 -24.9 
28183710576496 28183427221000 -26.58 6.8399997 -24.84 
28183714579287 28183437215000 -26.46 6.8399997 -24.9 
28183718247287 28183447639000 -26.4 6.8399997 -24.96 
28183722080162 28183458497000 -26.279999 6.8999996 -24.84 
28183726126746 28183467786000 -26.4 6.96 -24.779999 
28183727880246 28183477873000 -26.46 6.8999996 -24.779999 
28183731593287 28183488089000 -26.58 7.02 -24.84 
28183736165662 28183498386000 -26.46 7.02 -24.9 
28183740568829 28183508147000 -26.34 7.14 -25.019999 
28183744303412 28183518142000 -26.279999 7.14 -24.9 
28183789559745 28183528285000 -26.279999 7.3199997 -24.84 
28183802426037 28183538277000 -26.4 7.3799996 -24.9 
28183807256121 28183548346000 -26.4 7.44 -25.019999 
28183811042746 28183558474000 -26.519999 7.3199997 -25.019999 
28183815052496 28183568556000 -26.46 7.3799996 -25.019999 
28183821389829 28183578639000 -26.519999 7.44 -25.019999 
28183827087829 28183588757000 -26.519999 7.56 -24.9 
28183832699829 28183598858000 -26.519999 7.68 -24.84 
28183837406871 28183608875000 -26.58 7.68 -24.84 
28183854506287 28183618904000 -26.58 7.7999997 -24.84 
28183860070246 28183630144000 -26.46 7.98 -24.84 
28183873337371 28183639908000 -26.64 8.16 -24.72 
28183877062746 28183650032000 -26.519999 8.16 -24.539999 
28183880618079 28183660100000 -26.58 8.34 -24.42 
28183884668704 28183670189000 -26.58 8.4 -24.359999 
28183888283871 28183680286000 -26.58 8.46 -24.48 
28183890109663 28183690711000 -26.519999 8.4 -24.42 
28183893761871 28183700473000 -26.4 8.46 -24.539999 
28183897738287 28183710664000 -26.46 8.46 -24.42 
28183901734871 28183720668000 -26.46 8.639999 -24.42 
28183905510538 28183730692000 -26.519999 8.76 -24.3 
28183909083121 28183740784000 -26.4 8.76 -24.359999 
28183913668162 28183751104000 -26.46 8.639999 -24.42 
28183917304121 28183761225000 -26.58 8.5199995 -24.48 
28183923423912 28183772737000 -26.519999 8.5199995 -24.6 
28183927141829 28183783396000 -26.519999 8.4 -24.539999 
28183957156621 28183793183000 -26.519999 8.28 -24.539999 
28183970139496 28183802902000 -26.519999 8.34 -24.539999 
28183973943454 28183812792000 -26.64 8.4 -24.72 
28183975231329 28183822639000 -26.64 8.34 -24.779999 
28183979228662 28183832753000 -26.699999 8.22 -24.779999 
28183983497829 28183842961000 -26.82 8.16 -24.72 
28183988131954 28183854558000 -26.82 8.28 -24.84 
28183991325913 28183863083000 -27.0 8.28 -24.779999 
28183995752454 28183873164000 -27.06 8.4 -24.84 
28184000531871 28183884672000 -27.0 8.28 -24.779999 
28184004591037 28183894515000 -27.06 8.22 -24.84 
28184008254954 28183904522000 -27.119999 8.4 -24.779999 
28184012284829 28183915130000 -27.119999 8.46 -24.72 
28184016486287 28183924388000 -27.06 8.46 -24.779999 
28184020634038 28183934141000 -27.119999 8.5199995 -24.539999 
28184024330579 28183944257000 -27.18 8.58 -24.6 
28184055848663 28183954680000 -27.18 8.639999 -24.6 
28184059773787 28183966055000 -27.0 8.5199995 -24.6 
28184064888870 28183975424000 -26.939999 8.58 -24.6 
28184069443079 28183986128000 -27.06 8.7 -24.539999 
28184073748996 28183995500000 -26.939999 8.7 -24.48 
28184077312621 28184005131000 -26.82 8.82 -24.48 
28184083046037 28184015920000 -26.76 8.88 -24.42 
28184087738371 28184025959000 -26.519999 8.88 -24.359999 
28184091357954 28184035571000 -26.4 8.82 -24.18 
28184095199454 28184045707000 -26.4 9.0 -24.119999 
28184124941245 28184055673000 -26.46 8.88 -24.06 
28184131904412 28184066392000 -26.76 8.94 -24.0 
28184143443787 28184075816000 -26.88 9.059999 -24.06 
28184155670579 28184086170000 -26.76 9.179999 -24.0 
28184159360621 28184096074000 -26.699999 9.179999 -24.0 
28184164310121 28184106418000 -26.82 9.24 -23.88 
28184168313996 28184116148000 -26.88 9.3 -23.699999 
28184198234871 28184130970000 -27.0 9.42 -23.58 
28184203132329 28184139562000 -27.06 9.48 -23.519999 
28184204790787 28184150163000 -26.82 9.48 -23.279999 
28184208359121 28184160068000 -26.82 9.54 -23.4 
28184212544204 28184170509000 -26.82 9.48 -23.4 
28184216720663 28184180566000 -26.939999 9.48 -23.279999 
28184220698204 28184190738000 -27.119999 9.42 -23.22 
28184251008704 28184201232000 -27.0 9.48 -23.22 
28184255203621 28184210894000 -27.119999 9.36 -23.22 
28184258713662 28184220892000 -27.0 9.42 -23.34 
28184263466037 28184230985000 -26.82 9.42 -23.4 
28184267550162 28184241053000 -26.699999 9.36 -23.4 
28184298045496 28184251345000 -26.82 9.42 -23.279999 
28184305506413 28184261840000 -26.88 9.54 -23.279999 
28184307154496 28184271572000 -26.64 9.54 -23.34 
28184316537663 28184282299000 -26.76 9.599999 -23.46 
28184320456621 28184291830000 -26.64 9.599999 -23.699999 
28184353134162 28184302326000 -26.58 9.42 -23.64 
28184357692621 28184312815000 -26.64 9.36 -23.88 
28184361315579 28184323030000 -26.82 9.42 -23.82 
28184366664746 28184334535000 -26.939999 9.48 -23.88 
28184370253996 28184344684000 -26.82 9.3 -23.88 
28184402612037 28184355473000 -26.76 9.3 -23.82 
28184406899413 28184366358000 -26.939999 9.24 -23.699999 
28184411230121 28184375554000 -26.82 9.179999 -23.76 
28184415945829 28184386912000 -26.88 9.3 -23.699999 
28184462443496 28184398839000 -26.82 9.12 -23.76 
28184467178413 28184407338000 -26.82 9.179999 -23.64 
28184471404455 28184417861000 -26.76 9.179999 -23.64 
28184475788872 28184427592000 -26.82 9.12 -23.58 
28184479715288 28184437747000 -26.82 9.12 -23.64 
28184484253704 28184447726000 -26.76 9.059999 -23.64 
28184488519580 28184458975000 -26.76 9.0 -23.58 
28184516100747 28184467842000 -26.82 9.12 -23.58 
28184519841538 28184477915000 -27.0 9.12 -23.4 
28184523541121 28184488009000 -26.939999 9.059999 -23.46 
28184527342996 28184498139000 -27.119999 8.88 -23.34 
28184532023080 28184508301000 -27.119999 9.0 -23.519999 
28184559572079 28184518291000 -27.18 9.24 -23.58 
28184563420412 28184528367000 -27.119999 9.179999 -23.699999 
28184567007204 28184538431000 -27.06 9.36 -23.82 
28184570966412 28184548829000 -27.119999 9.179999 -23.76 
28184598251245 28184558678000 -27.119999 9.24 -23.58 
28184602765120 28184568682000 -27.119999 9.24 -23.699999 
28184604588704 28184578780000 -26.939999 9.179999 -23.82 
28184608529954 28184588920000 -27.0 9.12 -23.88 
28184648034495 28184598944000 -27.119999 9.179999 -23.82 
28184652761121 28184608987000 -27.06 9.0 -23.82 
28184656425662 28184619514000 -27.119999 9.0 -23.88 
28184660456996 28184629199000 -27.0 8.76 -24.06 
28184664121370 28184639324000 -26.82 8.76 -24.119999 
28184691205496 28184649527000 -26.64 8.76 -24.06 
28184695707162 28184659520000 -26.46 8.88 -24.24 
28184699662704 28184669611000 -26.58 8.76 -24.18 
28184703385787 28184679974000 -26.519999 8.7 -24.24 
28184729367662 28184690610000 -26.519999 8.76 -24.42 
28184733906370 28184700113000 -26.519999 8.82 -24.359999 
28184738171329 28184710119000 -26.519999 8.76 -24.48 
28184741849871 28184720512000 -26.4 8.76 -24.779999 
28184767036329 28184730310000 -26.46 8.76 -24.72 
28184771530954 28184740356000 -26.699999 8.639999 -24.6 
28184775714912 28184750507000 -26.699999 8.58 -24.6 
28184779711245 28184760595000 -26.699999 8.5199995 -24.6 
28184807657954 28184770652000 -26.64 8.7 -24.6 
28184812095912 28184781163000 -26.58 8.76 -24.48 
28184816114037 28184790807000 -26.58 8.82 -24.42 
28184819531662 28184801193000 -26.64 8.88 -24.42 
28184847165787 28184811040000 -26.76 9.12 -24.24 
28184851690912 28184821013000 -26.699999 9.059999 -24.119999 
28184855875704 28184831125000 -26.519999 9.179999 -24.06 
28184859336370 28184841375000 -26.58 8.94 -23.939999 
28184887976996 28184852221000 -26.46 9.12 -23.76 
28184891735121 28184862659000 -26.46 9.059999 -23.82 
28184895867204 28184872825000 -26.46 9.179999 -23.699999 
28184899380079 28184882484000 -26.58 9.12 -23.64 
28184927247662 28184892642000 -26.519999 9.059999 -23.699999 
28184931081329 28184902765000 -26.34 9.179999 -23.82 
28184935399246 28184913087000 -26.279999 9.179999 -23.88 
28184976368079 28184924861000 -26.16 9.179999 -23.82 
28184982461496 28184934683000 -26.22 9.12 -24.0 
28184994589704 28184945212000 -26.34 9.179999 -24.06 
28185005246579 28184953725000 -26.46 9.179999 -24.0 
28185009859704 28184964978000 -26.519999 9.12 -24.0 
28185042557454 28184975938000 -26.519999 8.94 -24.06 
28185048420495 28184986129000 -26.519999 8.94 -24.06 
28185053003662 28184995612000 -26.58 8.94 -24.119999 
28185057729995 28185004828000 -26.64 9.0 -24.119999 
28185061338412 28185016140000 -26.699999 8.82 -24.119999 
28185065370412 28185026154000 -26.82 8.7 -24.06 
28185068968829 28185035847000 -26.939999 8.7 -24.0 
28185095221912 28185045948000 -26.82 8.82 -23.76 
28185098985829 28185055718000 -26.82 8.94 -23.699999 
28185102996995 28185065941000 -26.939999 8.94 -23.82 
28185106802787 28185075440000 -27.0 9.0 -23.82 
28185110614620 28185085518000 -27.0 9.059999 -23.64 
28185137871829 28185095728000 -26.82 8.94 -23.4 
28185142125954 28185106619000 -26.88 8.88 -23.46 
28185145758954 28185115707000 -26.82 8.88 -23.519999 
28185149320662 28185126336000 -26.82 8.88 -23.4 
28185175715412 28185136030000 -26.939999 8.94 -23.46 
28185180738412 28185146535000 -26.88 8.94 -23.58 
28185184374579 28185156015000 -26.82 8.94 -23.699999 
28185188062620 28185166133000 -26.82 9.0 -23.88 
28185214424746 28185176675000 -27.0 9.0 -23.88 
28185219119330 28185186509000 -26.939999 9.059999 -23.82 
28185222830788 28185196341000 -26.939999 9.059999 -23.82 
28185226471830 28185206491000 -26.82 8.94 -23.939999 
28185252497872 28185216569000 -26.699999 9.0 -23.88 
28185257107288 28185226587000 -26.76 9.059999 -23.699999 
28185260715580 28185236681000 -26.64 9.059999 -23.699999 
28185264997871 28185246906000 -26.699999 9.12 -23.939999 
28185296482663 28185256956000 -26.699999 9.3 -24.0 
28185300985455 28185266960000 -26.82 9.179999 -24.0 
28185304990205 28185279196000 -26.82 9.12 -24.0 
28185308658663 28185287748000 -26.82 9.179999 -24.06 
28185334987955 28185297847000 -26.88 9.36 -24.0 
28185341799538 28185307897000 -26.88 9.36 -24.0 
28185346842455 28185317992000 -27.0 9.36 -24.0 
28185358242705 28185328526000 -26.88 9.36 -24.06 
28185389929413 28185338707000 -26.699999 9.48 -24.0 
28185394832663 28185348457000 -26.519999 9.42 -24.0 
28185398519580 28185358511000 -26.58 9.599999 -24.0 
28185402231080 28185368508000 -26.699999 9.66 -23.82 
28185405833913 28185378716000 -26.88 9.599999 -24.0 
28185433520871 28185388702000 -26.88 9.54 -24.06 
28185437922122 28185398688000 -26.939999 9.42 -24.06 
28185441651122 28185408860000 -27.06 9.24 -24.119999 
28185445296330 28185418843000 -27.18 9.24 -24.06 
28185449241830 28185428972000 -27.06 9.36 -24.0 
28185478203288 28185439536000 -27.119999 9.42 -24.06 
28185482703455 28185449094000 -27.06 9.48 -24.06 
28185486348955 28185459181000 -27.06 9.179999 -24.06 
28185490258914 28185469252000 -27.119999 9.12 -23.939999 
28185530290122 28185479384000 -27.24 9.179999 -23.82 
28185535594163 28185489397000 -27.3 9.3 -23.699999 
28185539584996 28185499487000 -27.42 9.12 -23.699999 
28185544203038 28185509600000 -27.539999 9.12 -23.76 
28185548049913 28185519740000 -27.42 9.0 -23.82 
28185575976205 28185531094000 -27.539999 8.88 -23.88 
28185580317372 28185539795000 -27.48 8.82 -23.699999 
28185584395038 28185549855000 -27.42 8.94 -23.699999 
28185588541330 28185559931000 -27.48 9.059999 -23.699999 
28185592998038 28185570101000 -27.48 9.059999 -23.519999 
28185622048788 28185580084000 -27.48 9.059999 -23.64 
28185626911705 28185590146000 -27.48 9.059999 -23.64 
28185630515122 28185600250000 -27.42 9.12 -23.699999 
28185634210246 28185610544000 -27.539999 9.12 -23.699999 
28185637757747 28185620730000 -27.24 9.24 -23.76 
28185666935122 28185630503000 -27.119999 9.24 -23.939999 
28185670586539 28185641085000 -27.06 9.12 -24.119999 
28185674130455 28185650657000 -27.06 9.0 -24.0 
28185677865872 28185660844000 -27.06 9.0 -23.88 
28185704288454 28185670857000 -27.119999 9.0 -23.88 
28185709487204 28185680972000 -27.18 8.88 -23.88 
28185713445788 28185690994000 -27.119999 8.94 -24.0 
28185716991204 28185701210000 -27.18 8.88 -24.0 
28185745662996 28185711155000 -27.24 8.94 -23.939999 
28185749851663 28185721369000 -27.119999 8.76 -23.939999 
28185756836621 28185734737000 -27.119999 8.88 -24.0 
28185808713413 28185744708000 -27.119999 8.82 -24.06 
28185814107246 28185754991000 -27.119999 8.82 -24.119999 
28185817934329 28185764436000 -27.18 8.82 -24.0 
28185822225413 28185774832000 -27.18 8.7 -24.0 
28185826047205 28185784797000 -27.24 8.7 -23.939999 
28185830111830 28185795097000 -27.42 8.82 -23.76 
28185862399538 28185807590000 -27.3 8.88 -23.58 
28185868661538 28185817596000 -27.3 8.88 -23.64 
28185875281746 28185827668000 -27.18 9.0 -23.76 
28185879634288 28185837754000 -27.18 8.94 -23.76 
28185885235371 28185847864000 -27.06 9.0 -23.82 
28185917178413 28185857951000 -27.0 9.0 -23.88 
28185926562371 28185867982000 -26.939999 9.0 -23.88 
