#SysTm EventTmStmp Acc:x Acc:y Acc:z
41442737587596 41441931366000 0.21068975 1.6376339 9.605537 
41442747469012 41441992615000 0.2873042 2.4229321 8.647857 
41442759342054 41442052423000 0.79487497 2.8538885 8.341399 
41442768404387 41442113307000 1.0151415 2.566584 9.758766 
41442777055762 41442173775000 0.8619126 2.3942018 10.266336 
41442785639179 41442234724000 0.90021986 2.767697 8.66701 
41442797606596 41442294182000 0.91937345 2.585738 8.456321 
41442808701762 41442354540000 0.5650316 2.183512 9.3182335 
41442821930512 41442421436000 0.63206923 2.3175871 9.203311 
41442836392179 41442487991000 0.5650316 2.7102363 9.088389 
41442846559554 41442555272000 0.48841715 2.930503 9.203311 
41442863216096 41442621527000 0.49799395 2.7389667 9.5385 
41442879031387 41442688505000 0.5267244 2.0111294 10.084377 
41442926002471 41442755406000 0.30645782 1.484405 10.113108 
41442935414846 41442822010000 0.30645782 1.7142484 8.820239 
41442943375846 41442888895000 -0.009576807 1.6280571 9.165004 
41443030178554 41442955623000 -0.009576807 1.5801731 9.299079 
41443038738346 41443022307000 0.16280572 1.6376339 9.509769 
41443090359929 41443090067000 0.25857377 1.6472107 9.490616 
41443156133846 41443155919000 0.12449849 1.8770541 9.404425 
41443222987887 41443222703000 -0.23942018 2.0207062 9.595961 
41443292370387 41443289571000 -0.25857377 2.030283 9.452309 
41443356836137 41443356418000 -0.095768064 1.9536686 9.050082 
41443424048554 41443423587000 -0.076614454 2.0494366 9.059659 
41443490697596 41443490276000 -0.06703765 1.9536686 9.232041 
41443557546137 41443557134000 -0.2681506 2.2505496 9.32781 
41443625267138 41443624697000 -0.2777274 2.3942018 9.289502 
41443691434221 41443690822000 -0.31603462 2.528277 8.944737 
41443758185929 41443757960000 -0.34476504 2.4612393 9.385271 
41443824371346 41443824001000 -0.29688102 2.5570073 9.184157 
41443892097221 41443891823000 -0.095768064 2.6527755 9.097966 
41443958912846 41443958439000 -0.038307227 2.6431987 9.040505 
41444024657138 41444024350000 -0.39264908 2.825158 9.3182335 
41444091540180 41444091206000 -0.4309563 2.8443117 9.414001 
41444158833680 41444158494000 -0.2681506 2.585738 9.222465 
