#SysTm EventTmStmp Prox
41443270513387 41443270179000 0.0 
41443335447137 41443335160000 8.0 
41443475076513 41443474408000 0.0 
41443780972304 41443780584000 8.0 
41451536934767 41451526334000 0.0 
41451693585142 41451693213000 8.0 
41482175730990 41482175394000 0.0 
41482240621865 41482240308000 8.0 
41543172433269 41543171939000 0.0 
41543525309936 41543524342000 8.0 
41543904980769 41543904609000 0.0 
41544146131478 41544145722000 8.0 
