#SysTm EventTmStmp Ori:x Ori:y Ori:z
41442735694304 41441924303000 3.066886 -0.2652949 -0.06615419 
41442746186971 41441990518000 3.0746582 -0.26490086 -0.059202116 
41442765092346 41442057119000 3.0691893 -0.26642933 -0.054610047 
41442774424304 41442125164000 3.0643065 -0.257213 -0.05383277 
41442783884595 41442192013000 3.0730238 -0.2563762 -0.068642005 
41442795702429 41442257936000 3.0637748 -0.27781984 -0.0720792 
41442807140054 41442323779000 3.0680418 -0.25978905 -0.07336486 
41442819338637 41442390527000 3.071662 -0.26666465 -0.08617278 
41442834353595 41442457239000 3.0696378 -0.27049765 -0.07603136 
41442844816429 41442523804000 3.065735 -0.26251587 -0.0706925 
41442860819554 41442590781000 3.0482073 -0.26396236 -0.06408378 
41442876703596 41442657317000 3.0369592 -0.26391074 -0.05951889 
41442886805096 41442723866000 3.0256171 -0.26700646 -0.05621046 
41442933220762 41442790547000 3.0232377 -0.26026794 -0.05047452 
41442941357679 41442857163000 3.0089092 -0.27004436 -0.04017797 
41442950483012 41442923948000 3.0078478 -0.2431245 -0.043554872 
41443036608721 41442990623000 3.0098174 -0.24250147 -0.02740308 
41443062117637 41443057161000 3.0116653 -0.24381092 -0.019308832 
41443128791512 41443123813000 3.0107107 -0.23834592 -0.009820574 
41443196677929 41443190515000 3.01315 -0.23955314 -0.009648152 
41443263326512 41443257163000 3.0131614 -0.23526631 -0.014487771 
41443328905804 41443323883000 3.013898 -0.2409223 -0.015341686 
41443395343763 41443390544000 3.0110524 -0.2411382 -0.008538943 
41443466389679 41443457231000 3.0079365 -0.2386744 -0.0040083705 
41443529900762 41443523890000 3.013658 -0.23406471 -5.5503566E-4 
41443596317554 41443590550000 3.011162 -0.23089176 9.3334453E-4 
41443663589429 41443657181000 3.0100813 -0.22563095 0.001657913 
41443730955429 41443723874000 3.0058336 -0.22577773 0.0046280716 
41443797494346 41443790532000 3.00583 -0.20570369 0.0059448616 
41443861721263 41443857180000 3.0011594 -0.21880922 0.011158204 
41443938199096 41443923941000 3.0013895 -0.21474431 0.006478265 
41443996514971 41443990516000 3.007618 -0.20876916 0.01354068 
41444062468971 41444057184000 3.0096078 -0.22336914 0.0120194135 
41444127938221 41444123815000 3.0072162 -0.2310858 0.004449665 
41444194670471 41444190474000 3.0070508 -0.23546095 0.012707196 
41444262220805 41444257187000 3.0021517 -0.23885956 0.017652288 
41444329353721 41444323855000 3.0040023 -0.23215652 0.016546376 
41444396169388 41444390561000 3.0046027 -0.2358022 0.0090640765 
41444462448888 41444457193000 3.0079582 -0.22424899 -0.0032042917 
41444527788680 41444523841000 3.0150456 -0.2200566 -0.0125851715 
41444595458264 41444590556000 3.0208564 -0.2179445 -0.020947754 
41444663863847 41444657918000 3.025189 -0.22088215 -0.025566546 
41444728875680 41444723830000 3.0306954 -0.21931268 -0.02636578 
41444797946972 41444790564000 3.0284367 -0.22038993 -0.030059626 
41444861908263 41444857178000 3.0417259 -0.20687556 -0.045320127 
41444927653013 41444923828000 3.043482 -0.22145332 -0.054705214 
41444995229055 41444990518000 3.0479174 -0.21258146 -0.062523566 
41445062056929 41445057216000 3.05533 -0.20823067 -0.06869156 
41445127678596 41445123833000 3.05682 -0.22066186 -0.06955558 
41445195282179 41445190511000 3.0602086 -0.22281437 -0.062790565 
41445266677929 41445257299000 3.0659008 -0.22575067 -0.048698347 
41445328059721 41445323810000 3.0672061 -0.23701121 -0.0407752 
41445394616679 41445390519000 3.0737784 -0.22673722 -0.022836784 
41445464360013 41445457986000 3.088374 -0.21658343 -0.021765737 
41445529450305 41445523854000 3.0861197 -0.22711304 -0.017858677 
41445595436847 41445590495000 3.08858 -0.22149223 -0.019737527 
41445661507888 41445657176000 3.1010962 -0.19254486 -0.013217102 
41445729215846 41445723904000 3.1227052 -0.18191735 -0.014745932 
41445799743346 41445790641000 3.122814 -0.20651464 0.0027449597 
41445863443263 41445857216000 3.1347456 -0.1670388 0.012409419 
41445929937763 41445923987000 -3.13031 -0.16918458 0.008438478 
41445995779722 41445990551000 -3.1245089 -0.18024397 0.016110105 
41446065928764 41446057203000 -3.1178026 -0.1780279 0.013165285 
41446132685764 41446123897000 -3.1066904 -0.18190454 0.0020706917 
41446197991680 41446190542000 -3.111787 -0.19928142 0.0069893394 
41446262760722 41446257259000 -3.1094394 -0.1937456 -0.014437252 
41446328638014 41446323873000 -3.0825455 -0.19549376 -0.01086836 
41446395178181 41446390519000 -3.0944836 -0.22341643 0.0017378456 
41446461570347 41446457186000 -3.1157045 -0.18186225 0.013753679 
41446528297347 41446523858000 -3.083064 -0.16212296 -0.030338502 
41446594354806 41446590530000 -3.0876567 -0.18846104 -9.0519065E-4 
41446660922514 41446657182000 -3.097535 -0.17842025 -0.015641162 
41446729974598 41446724666000 -3.1014729 -0.13241962 -0.0081571555 
41446801558265 41446790622000 -3.1089823 -0.181785 -0.014470406 
41446861926473 41446857212000 -3.1193109 -0.17139456 0.006030952 
41446928027681 41446923858000 -3.1261451 -0.18356313 0.0047538597 
