#SysTm EventTmStmp Ori:x Ori:y Ori:z
74745012125802 1379302194393287005 2.3193526 -0.27001002 0.10600853 
74745101794656 1379302194647736489 2.5023859 -0.19614747 0.104739815 
74745136404759 1379302194711731851 2.53637 -0.20515016 0.1066788 
74745184749028 1379302194774933755 2.570364 -0.21439487 0.0932198 
74745249391178 1379302194838898599 2.6154642 -0.20395085 0.07857444 
74745312934592 1379302194902039468 2.6644595 -0.19310911 0.07137368 
74745383680815 1379302194966034829 2.7053843 -0.19377647 0.06827143 
74745442737736 1379302195029206216 2.7405443 -0.19127892 0.061088357 
74745504236285 1379302195093171060 2.7733905 -0.1862977 0.054846067 
74745567321896 1379302195156372964 2.8024752 -0.1841586 0.051505856 
74745636725222 1379302195220276773 2.8307562 -0.1774221 0.044467326 
74745726027831 1379302195283448159 2.8651843 -0.16271406 0.035788983 
74745757219653 1379302195347413003 2.9025126 -0.15689458 0.026260376 
74745821678679 1379302195410598028 2.9362652 -0.15931724 0.014363268 
74745884916891 1379302195474562871 2.965574 -0.14964153 0.0032442403 
74745947971979 1379302195537734258 2.9817564 -0.14463367 -0.011511861 
74746013468698 1379302195601729619 2.9928913 -0.15554784 -0.026551949 
74746076157544 1379302195664870489 3.0169735 -0.17285201 -0.02671441 
74746159417119 1379302195728835332 3.046111 -0.18379995 -0.008584973 
74746236969385 1379302195792006719 3.0693438 -0.19183797 0.014457436 
74746272769782 1379302195855941045 3.0801964 -0.205074 0.030914381 
74746333932608 1379302195919142950 3.080455 -0.2121307 0.041348092 
74746408249716 1379302195983107793 3.0749905 -0.21156421 0.053086415 
74746477256277 1379302196046279180 3.0595918 -0.21475522 0.059939045 
74746520839369 1379302196110244024 3.0399363 -0.21117142 0.064362645 
74746585847762 1379302196173415411 3.026983 -0.19888574 0.07116314 
74746649330136 1379302196237380254 3.0073283 -0.19581309 0.076178476 
74746713117715 1379302196300582159 2.9888434 -0.1983989 0.083286405 
74746779407963 1379302196364516485 2.9846375 -0.18865184 0.086884566 
74746879728427 1379302196427687871 2.9835587 -0.16796997 0.078815885 
74746906281151 1379302196491683233 2.9773912 -0.15742336 0.0743076 
74746969275199 1379302196554824102 2.964465 -0.1602041 0.073027484 
74747028912007 1379302196618788946 2.9559522 -0.16137755 0.06628127 
74747107898730 1379302196681960332 2.9529853 -0.1597751 0.061963376 
74747177912466 1379302196745528448 2.9464593 -0.15999287 0.048433453 
74747246278100 1379302196809096563 2.9365788 -0.15218177 0.027592644 
74747284733768 1379302196873061407 2.926987 -0.120445505 0.010377239 
74747347422612 1379302196936232793 2.914778 -0.10497957 0.011910283 
74747422563769 1379302197000197637 2.9091518 -0.123870544 0.013841761 
74747498559498 1379302197063581405 2.915957 -0.13511965 0.0063489587 
74747559722324 1379302197127668319 2.9293358 -0.13583961 0.01304851 
74747619755895 1379302197190809188 2.9247081 -0.14570473 0.025193324 
74747686381867 1379302197254712997 2.9097812 -0.16027601 0.026532264 
74747729812357 1379302197317884384 2.8972883 -0.16213605 0.029928416 
74747793630458 1379302197381849227 2.885068 -0.1556049 0.04228027 
74747856685547 1379302197444990097 2.864092 -0.14767808 0.070560075 
74747923677763 1379302197508985458 2.835148 -0.12447303 0.08805306 
74747990364776 1379302197572126327 2.7972147 -0.108237885 0.08162163 
74748060225908 1379302197636121688 2.742726 -0.11253848 0.08094289 
74748128103218 1379302197699354110 2.6892707 -0.10661581 0.09018474 
74748186030884 1379302197763379989 2.6502144 -0.08935706 0.085064575 
74748236725222 1379302197826429306 2.605952 -0.067136034 0.06854597 
74748307898730 1379302197890012089 2.5535212 -0.05384028 0.055660285 
74748368542710 1379302197953580205 2.5035489 -0.051345166 0.047065023 
74748435534928 1379302198017514531 2.458569 -0.05207671 0.032898594 
74748497125039 1379302198080716435 2.419045 -0.057546284 0.01635537 
74748558196304 1379302198144711796 2.381376 -0.06697393 -0.0017023858 
74748624608634 1379302198207822148 2.3630676 -0.05462278 -0.021117192 
74748683940238 1379302198271786992 2.3483062 -0.0388827 -0.033825066 
74748747971979 1379302198335049931 2.313259 -0.052485988 -0.024374135 
74748836633661 1379302198399014775 2.269262 -0.06569048 -0.023616271 
74748872739261 1379302198462064091 2.232728 -0.040819027 -0.032029063 
74748937015166 1379302198526059453 2.1867323 -0.017683292 -0.030959396 
74748998941001 1379302198589230839 2.1191132 -0.017974343 -0.036227148 
74749073960076 1379302198653195683 2.0526419 -0.018968685 -0.043989353 
74749127920095 1379302198716397587 1.9969116 -0.018845798 -0.04070136 
74749191310908 1379302198780362431 1.9380524 -0.026562052 -0.039459 
74749256502424 1379302198843503300 1.8741819 -0.03853113 -0.035638735 
74749319893237 1379302198907498662 1.8140446 -0.028432237 -0.035265014 
74749385756201 1379302198970731084 1.7630389 -0.017945006 -0.024063168 
74749448506086 1379302199034634892 1.7003675 -0.040393297 -0.0094885565 
74749508631219 1379302199097775761 1.6346374 -0.066035435 -0.02262261 
74749572632440 1379302199161740605 1.5983176 -0.06437456 -0.040387783 
74749635473887 1379302199224911992 1.5830302 -0.046321016 -0.036951687 
74749700634882 1379302199288907353 1.5507008 -0.042768635 -0.034233656 
74749763934134 1379302199352078740 1.5080739 -0.052499652 -0.044245366 
74749829003567 1379302199416043584 1.4786234 -0.06499931 -0.056507487 
74749891997617 1379302199479306523 1.4600674 -0.08121698 -0.06434334 
74749959417119 1379302199543387320 1.4456733 -0.09219872 -0.07041588 
74750043928030 1379302199606589224 1.4434817 -0.08282821 -0.082289375 
74750084886370 1379302199670493033 1.4317945 -0.068166986 -0.08546189 
74750147666775 1379302199733664420 1.4063556 -0.066394806 -0.083354294 
74750207730868 1379302199797629263 1.3900592 -0.07550206 -0.09860779 
74750274814646 1379302199860831168 1.405878 -0.07347548 -0.10953656 
74750339456796 1379302199924796011 1.4156643 -0.07129361 -0.098702945 
74750403732699 1379302199987967398 1.4024646 -0.07222712 -0.08061542 
74750477347839 1379302200051871207 1.3861223 -0.06657357 -0.07362822 
74750527828534 1379302200115073111 1.3659685 -0.06343538 -0.07008743 
