#SysTm EventTmStmp Grav:x Grav:y Grav:z
74745010477702 1379302194393287005 -1.0000468 2.6158364 9.398281 
74745018443519 1379302194457282366 -1.0586797 2.4468682 9.437288 
74745100268637 1379302194647736489 -1.00561 1.9112389 9.565892 
74745134939781 1379302194711731851 -1.0222826 1.9977537 9.546429 
74745183161968 1379302194774933755 -0.891951 2.0864258 9.540526 
74745247682037 1379302194838898599 -0.7538053 1.9862378 9.573768 
74745311103370 1379302194902039468 -0.68634313 1.8820055 9.599863 
74745380842421 1379302194966034829 -0.65647304 1.8884279 9.600691 
74745437823956 1379302195029206216 -0.58778036 1.8643879 9.609837 
74745502099859 1379302195093171060 -0.5282844 1.8164071 9.622473 
74745565093909 1379302195156372964 -0.4963398 1.7957879 9.628041 
74745632971216 1379302195220276773 -0.42908865 1.7308024 9.643163 
74745724318691 1379302195283448159 -0.34626 1.5886481 9.670919 
74745755693635 1379302195347413003 -0.25433367 1.5323057 9.682858 
74745819603294 1379302195410598028 -0.13906738 1.5557674 9.681458 
74745883421392 1379302195474562871 -0.031459484 1.4620113 9.697005 
74745946354399 1379302195537734258 0.111711666 1.4134319 9.703614 
74746010874467 1379302195601729619 0.25721145 1.5192595 9.684837 
74746074082159 1379302195664870489 0.25804427 1.6866709 9.657067 
74746157921621 1379302195728835332 0.082769476 1.7923303 9.641114 
74746235321285 1379302195792006719 -0.13917232 1.8697702 9.625746 
74746270969081 1379302195855941045 -0.29676485 1.9970226 9.596573 
74746332284508 1379302195919142950 -0.3962844 2.0647244 9.578635 
74746405502882 1379302195983107793 -0.5087537 2.0592933 9.574491 
74746475547136 1379302196046279180 -0.5739568 2.0898778 9.564171 
74746519252309 1379302196110244024 -0.61673343 2.0555277 9.568952 
74746583406132 1379302196173415411 -0.6835388 1.9375699 9.589004 
74746647193710 1379302196237380254 -0.73206973 1.908023 9.591346 
74746711042330 1379302196300582159 -0.7998139 1.9328896 9.580952 
74746776905292 1379302196364516485 -0.83587694 1.8390884 9.596325 
74746873319149 1379302196427687871 -0.761254 1.6394875 9.638618 
74746904449929 1379302196491683233 -0.7190358 1.5374271 9.658659 
74746967596578 1379302196554824102 -0.706356 1.564354 9.655271 
74747027172345 1379302196618788946 -0.64108205 1.575713 9.657977 
74747106098028 1379302196681960332 -0.59952986 1.5602003 9.663163 
74747176416968 1379302196745528448 -0.46872023 1.562309 9.670051 
74747244630000 1379302196809096563 -0.26742992 1.4866397 9.689622 
74747283207750 1379302196873061407 -0.1010269 1.1783131 9.735079 
74747345988155 1379302196936232793 -0.116154194 1.0276079 9.751969 
74747421129312 1379302197000197637 -0.13469669 1.211651 9.730577 
74747496880878 1379302197063581405 -0.061694276 1.3210425 9.717069 
74747558165785 1379302197127668319 -0.12678033 1.3280383 9.715484 
74747618321438 1379302197190809188 -0.24441783 1.4238249 9.699658 
74747684886369 1379302197254712997 -0.25682777 1.56505 9.677554 
74747726546678 1379302197317884384 -0.2896047 1.5830543 9.673699 
74747790578421 1379302197381849227 -0.40949625 1.5198123 9.679508 
74747855006926 1379302197444990097 -0.68385863 1.4429688 9.675772 
74747921602378 1379302197508985458 -0.85571796 1.2175139 9.69308 
