#SysTm EventTmStmp Pressure
74745015330441 1379302194404547991 996.62225 
74745104053163 1379302194658966958 996.71216 
74745138632746 1379302194722962319 996.6522 
74745191463510 1379302194786164224 996.99207 
74745255525772 1379302194850159585 996.56226 
74745318611381 1379302194913300454 996.62225 
74745388228351 1379302194977417886 996.5923 
74745447926199 1379302195040436685 996.71216 
74745513606041 1379302195104432046 996.6522 
74745576661130 1379302195167633950 996.6822 
74745647987240 1379302195231598794 996.5923 
74745729018828 1379302195294709146 996.7422 
74745763934135 1379302195358643472 996.4923 
74745827233387 1379302195421828496 996.4324 
74745891143047 1379302195485793340 996.56226 
74745954442298 1379302195548995244 996.62225 
74746019969538 1379302195612960088 996.5323 
74746081437569 1379302195676131475 996.71216 
74746162347075 1379302195740065801 996.71216 
74746239288933 1379302195803267705 996.71216 
74746278141368 1379302195867202032 996.71216 
74746336709962 1379302195930403936 996.5323 
74746411759558 1379302195994368780 996.5323 
74746480796640 1379302196057509649 996.62225 
74746526912923 1379302196121505010 996.77216 
74746591310909 1379302196184676397 996.8921 
74746655220567 1379302196248671758 996.71216 
74746717604210 1379302196311843145 996.7422 
74746783161969 1379302196375777471 996.77216 
74746883329831 1379302196438948858 996.71216 
74746908753301 1379302196502944219 996.7422 
74746972601919 1379302196566085088 996.5923 
74747035504407 1379302196630049932 996.5323 
74747111378053 1379302196693343389 996.8621 
74747180079413 1379302196756789434 996.4324 
74747249024933 1379302196820906866 996.56226 
74747315772987 1379302196884322393 996.7422 
74747377698821 1379302196947493780 996.6522 
74747426012571 1379302197011397588 996.7422 
74747501092689 1379302197074811874 996.71216 
74747567047213 1379302197138990341 996.8021 
74747622380647 1379302197202039657 996.7422 
74747688609854 1379302197265912948 996.71216 
74747758959313 1379302197329145370 996.5323 
74747799124125 1379302197393354354 996.56226 
74747893187911 1379302197456251083 996.4923 
74747929476634 1379302197520215927 996.83215 
74747996072085 1379302197583356796 996.71216 
74748062606497 1379302197647321640 996.8021 
74748131094215 1379302197710676132 996.83215 
74748188869279 1379302197774702011 996.8021 
74748243012419 1379302197837690292 996.56226 
74748313636560 1379302197902158086 996.77216 
74748373273367 1379302197965634648 996.77216 
74748439594138 1379302198028775517 996.7422 
74748501062167 1379302198091977421 996.4324 
74748564269858 1379302198155972783 996.7422 
74748630346465 1379302198219052617 996.6822 
74748688762457 1379302198283109013 996.7422 
74748754716982 1379302198346432988 996.77216 
74748838892169 1379302198410306279 996.7422 
74748878660213 1379302198473294560 996.77216 
