16,1,1,1,54,3.970548,0.070634,2.024398
16,2,1,2,372,-0.921221,-0.005311,0.276840
16,3,2,1,4,-0.437494,0.001544,0.000000
16,4,2,2,5,-0.437493,0.001544,0.000000
18,1,1,1,28,4.123761,0.073234,2.616223
18,2,1,2,293,-0.913742,-0.005329,0.326774
18,3,3,1,14,-0.751027,-0.003980,0.237308
18,4,3,2,13,3.531721,0.063188,0.649241
18,5,4,1,70,-0.890949,-0.004623,0.166432
18,6,4,2,12,4.290014,0.076055,1.448678
1  7,1,1,1,2,3.605444,0.064439,0.002083
1  7,2,1,2,36,-1.028629,-0.006421,0.126624
1  7,3,2,1,53,3.936965,0.070064,2.175269
1  7,4,2,2,115,-1.078487,-0.011532,0.477337
1  7,5,3,1,73,-0.453191,0.001571,0.002625
1  7,6,3,2,115,-1.082191,-0.004130,0.011606
1  7,7,4,1,23,-1.125812,-0.006009,0.033705
1  7,8,4,2,18,-0.200374,0.003665,0.283766
2  8,1,1,2,44,-0.457569,-0.004392,0.969428
2  8,2,2,1,126,-1.277074,-0.012287,0.063950
2  8,3,2,2,8,1.779923,0.033461,0.043752
2  8,4,5,1,106,-1.072602,-0.003808,0.006489
2  8,5,5,2,30,-0.475689,0.001610,0.005528
3  4,1,1,1,92,-0.442596,0.001553,0.000570
3  4,2,1,2,13,-0.797714,0.002082,0.007904
3  5,1,1,1,127,-0.838284,-0.003240,0.671357
3  5,2,1,2,27,5.202774,0.091544,0.505579
4  5,1,3,1,104,-1.201978,-0.012288,0.139738
4  5,2,3,2,25,3.012149,0.054371,0.433353
4  6,1,1,1,88,-1.073760,-0.010886,0.412982
4  6,2,2,1,148,-1.104202,-0.007471,0.224666
4  7,1,1,2,197,-1.147931,-0.009220,0.195986
5  8,1,1,1,20,1.049714,0.021070,0.277096
5  8,2,1,2,21,5.020222,0.088446,0.305570
5  8,3,1,3,64,-1.368830,-0.014983,0.026517
5  8,4,5,1,32,-0.479625,0.001617,0.007287
5  8,5,5,2,78,-1.029011,-0.002568,0.011107
6  8,1,1,1,85,-1.158435,-0.006614,0.008034
6  8,2,1,2,49,-0.849564,0.000836,0.026025
2  3  8,1,1,1,51,-1.000594,-0.001583,0.001451
2  3  8,2,1,2,49,-1.132876,-0.005670,0.001698
